fold,validation_start,validation_end,threshold,mode,guard,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,filter_blocked,cooldown_blocked
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,smc,SMC_DIRECTION_CONTROL,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,19183,1628,318,1310,0,1112,0,0,92,106,488.64,-2.27,11.68,1.0584,46.54,9,32,20,62.8122,0.005,318,363.56169162,343.51470566,20.04698596,1.0583584505445487,10039,7508
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,smc,SMC_DIRECTION_CONTROL,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,19465,1686,308,1378,0,1214,0,0,62,102,491.55,-1.69,16.0,1.0741,49.03,15,32,15,61.188,0.005,308,321.02943374,298.88301784,22.1464159,1.0740972707697332,9499,8238
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,smc,SMC_DIRECTION_CONTROL,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,20348,1721,310,1411,0,1365,0,0,35,11,420.8,-15.84,18.05,0.8194,42.26,7,32,12,58.2548,0.005,310,227.16324776,277.23638426,-50.07313649,0.8193846863635975,10308,8263
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,smc,SMC_DIRECTION_CONTROL,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,19495,1738,307,1431,0,1389,0,0,14,28,399.37,-20.13,24.18,0.7402,40.72,10,32,7,55.554,0.005,307,207.55555544,280.41077122,-72.85521578,0.7401839613362989,9737,7964
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,smc,SMC_DIRECTION_CONTROL,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,18926,1619,290,1329,0,1230,0,0,8,91,453.13,-9.37,16.36,0.9174,44.48,10,32,16,55.0203,0.005,290,215.03606254,234.39458688,-19.35852434,0.9174105315553952,10485,6751
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,smc,SMC_DIRECTION_CONTROL,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,17212,1613,332,1281,0,1215,0,0,38,28,435.02,-13.0,19.17,0.8994,44.58,10,32,16,61.5654,0.005,332,305.65957883,339.86053182,-34.20095299,0.8993676823772051,9071,6522
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,smc,SMC_DIRECTION_CONTROL,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,16714,1515,301,1214,0,1184,0,0,3,27,385.82,-22.84,24.87,0.684,38.21,14,32,8,55.5442,0.005,301,187.06799135,273.47221995,-86.40422859,0.6840475109005597,9209,5931
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,smc,SMC_DIRECTION_CONTROL,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,17941,1638,310,1328,0,1252,0,0,54,22,448.73,-10.25,16.12,0.9316,44.19,9,32,15,60.1855,0.005,310,288.33738125,309.51304209,-21.17566084,0.931583946507403,8674,7606
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,smc,SMC_DIRECTION_CONTROL,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,18206,1505,265,1240,0,1000,0,0,0,240,374.82,-25.04,26.72,0.5191,40.0,9,31,5,48.636,0.005,265,108.88983414,209.75337249,-100.86353835,0.5191326978210833,10397,6203
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,smc,SMC_DIRECTION_CONTROL,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,17044,1605,332,1273,0,1260,0,0,13,0,456.04,-8.79,11.87,0.9636,48.49,9,31,14,65.4654,0.005,332,296.81208737,308.03824399,-11.22615662,0.9635559647518342,8498,6891
