fold,validation_start,validation_end,threshold,mode,guard,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,filter_blocked,cooldown_blocked
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,smc,SMC_HYBRID_SCORE_7,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,19183,110,77,33,0,33,0,0,0,0,511.3,2.26,4.65,1.2608,50.65,4,26,17,14.7933,0.005,77,90.38182328,71.68347339,18.6983499,1.2608460362204696,19033,32
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,smc,SMC_HYBRID_SCORE_7,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,19465,152,93,59,0,59,0,0,0,0,469.72,-6.06,9.76,0.7976,44.09,6,31,11,17.3737,0.005,93,85.08582509,106.68182719,-21.59600211,0.7975662521328144,19198,73
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,smc,SMC_HYBRID_SCORE_7,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,20348,141,81,60,0,60,0,0,0,0,473.75,-5.25,6.38,0.7713,44.44,6,29,11,15.1737,0.005,81,62.95426474,81.61839711,-18.66413237,0.7713244436751625,20094,57
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,smc,SMC_HYBRID_SCORE_7,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,19495,143,86,57,0,57,0,0,0,0,484.19,-3.16,7.31,0.9145,45.35,6,29,13,16.9678,0.005,86,78.33006916,85.65773685,-7.32766769,0.9144541058679917,19254,42
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,smc,SMC_HYBRID_SCORE_7,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,18926,136,83,53,0,53,0,0,0,0,512.46,2.49,6.16,1.3316,48.19,7,31,18,16.0637,0.005,83,82.31464047,61.81797612,20.49666435,1.33156479135453,18670,49
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,smc,SMC_HYBRID_SCORE_7,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,17212,164,86,78,0,78,0,0,0,0,515.34,3.07,6.09,1.2684,48.84,4,31,16,16.5597,0.005,86,111.62031456,88.00141491,23.61889965,1.2683922716244174,16944,98
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,smc,SMC_HYBRID_SCORE_7,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,16714,123,72,51,0,51,0,0,0,0,482.95,-3.41,10.52,0.8721,43.06,7,27,12,13.959,0.005,72,68.66255024,78.73385743,-10.0713072,0.8720841639871381,16484,48
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,smc,SMC_HYBRID_SCORE_7,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,17941,101,69,32,0,32,0,0,0,0,508.6,1.72,4.91,1.288,52.17,5,30,16,13.2877,0.005,69,68.1853329,52.93993496,15.24539794,1.2879753811016572,17794,23
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,smc,SMC_HYBRID_SCORE_7,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,18206,94,72,22,0,22,0,0,0,0,505.04,1.01,5.87,1.2308,50.0,7,30,15,14.6872,0.005,72,66.05173875,53.66546201,12.38627674,1.2308053685515357,17980,31
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,smc,SMC_HYBRID_SCORE_7,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,17044,138,104,34,0,34,0,0,0,0,461.22,-7.76,10.83,0.7505,39.42,7,29,14,19.4958,0.005,104,87.32133169,116.35015046,-29.02881877,0.7505046735595453,16804,52
