fold,validation_start,validation_end,threshold,mode,guard,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,filter_blocked,cooldown_blocked
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,smc,SMC_IDM_BOS_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,19183,5,4,1,0,1,0,0,0,0,495.5,-0.9,1.94,0.2049,50.0,1,4,2,0.7532,0.005,4,1.06195822,5.18345798,-4.12149976,0.20487447276840787,19168,2
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,smc,SMC_IDM_BOS_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,19465,0,0,0,0,0,0,0,0,0,500.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,19423,0
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,smc,SMC_IDM_BOS_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,20348,8,7,1,0,1,0,0,0,0,502.25,0.45,2.14,1.6222,57.14,2,6,3,1.4111,0.005,7,7.70800363,4.75146009,2.95654354,1.6222389501971,20284,0
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,smc,SMC_IDM_BOS_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,19495,8,4,4,0,4,0,0,0,0,494.25,-1.15,1.95,0.0,0.0,4,4,0,0.774,0.005,4,0,5.3661219,-5.3661219,0.0,19426,5
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,smc,SMC_IDM_BOS_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,18926,6,6,0,0,0,0,0,0,0,515.58,3.12,1.79,99.0,100.0,0,5,5,1.1533,0.005,6,16.15486176,0,16.15486176,inf,18849,0
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,smc,SMC_IDM_BOS_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,17212,5,5,0,0,0,0,0,0,0,505.63,1.13,1.91,2.642,60.0,2,5,3,0.9842,0.005,5,9.8460118,3.72666303,6.11934876,2.6420450969546057,17201,0
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,smc,SMC_IDM_BOS_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,16714,2,2,0,0,0,0,0,0,0,495.57,-0.89,1.51,0.0,0.0,2,2,0,0.393,0.005,2,0,4.22859437,-4.22859437,0.0,16653,0
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,smc,SMC_IDM_BOS_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,17941,0,0,0,0,0,0,0,0,0,500.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,17918,0
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,smc,SMC_IDM_BOS_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,18206,1,1,0,0,0,0,0,0,0,497.17,-0.57,1.64,0.0,0.0,1,1,0,0.3313,0.005,1,0,2.66562827,-2.66562827,0.0,18104,0
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,smc,SMC_IDM_BOS_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,17044,0,0,0,0,0,0,0,0,0,500.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,16994,0
