fold,validation_start,validation_end,threshold,mode,guard,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,filter_blocked,cooldown_blocked
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,smc,SMC_POI_VC_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,19183,3,3,0,0,0,0,0,0,0,502.02,0.4,1.88,4.1167,66.67,1,2,2,0.5719,0.005,3,3.05154836,0.74126023,2.31028813,4.116703205776227,19171,1
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,smc,SMC_POI_VC_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,19465,2,2,0,0,0,0,0,0,0,497.16,-0.57,0.96,0.0,0.0,2,2,0,0.3742,0.005,2,0,2.65043022,-2.65043022,0.0,19421,0
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,smc,SMC_POI_VC_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,20348,4,4,0,0,0,0,0,0,0,503.14,0.63,1.19,2.4888,50.0,1,4,2,0.7453,0.005,4,5.86476216,2.35646192,3.50830024,2.488799888303012,20285,3
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,smc,SMC_POI_VC_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,19495,3,3,0,0,0,0,0,0,0,504.85,0.97,1.0,60.4024,66.67,1,3,2,0.5905,0.005,3,5.23516247,0.08667141,5.14849106,60.402416030261506,19435,1
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,smc,SMC_POI_VC_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,18926,10,7,3,0,3,0,0,0,0,511.78,2.36,1.82,9.8155,71.43,1,4,3,1.3403,0.005,7,13.85888406,1.41193991,12.44694415,9.815491414598855,18844,1
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,smc,SMC_POI_VC_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,17212,2,2,0,0,0,0,0,0,0,503.03,0.61,0.97,99.0,100.0,0,2,2,0.3843,0.005,2,3.22694915,0,3.22694915,inf,17204,0
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,smc,SMC_POI_VC_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,16714,5,5,0,0,0,0,0,0,0,493.82,-1.24,2.59,0.0,0.0,5,4,0,1.0744,0.005,5,0,5.64045031,-5.64045031,0.0,16650,0
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,smc,SMC_POI_VC_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,17941,9,8,1,0,1,0,0,0,0,490.05,-1.99,3.97,0.304,25.0,5,7,2,1.5592,0.005,8,4.00471316,13.17288688,-9.16817372,0.3040118084105352,17909,0
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,smc,SMC_POI_VC_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,18206,4,4,0,0,0,0,0,0,0,498.01,-0.4,3.22,0.735,25.0,2,4,1,1.0563,0.005,4,4.04304787,5.50072957,-1.4576817,0.7350021150021688,18100,1
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,smc,SMC_POI_VC_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,17044,9,9,0,0,0,0,0,0,0,499.52,-0.1,2.24,1.0451,33.33,5,8,3,1.7299,0.005,9,8.90499397,8.52068186,0.38431211,1.0451034451728354,16984,1
