fold,validation_start,validation_end,threshold,mode,guard,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,filter_blocked,cooldown_blocked
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,smc,SMC_RAID_BOS_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,19183,2,2,0,0,0,0,0,0,0,502.42,0.48,0.97,99.0,100.0,0,2,2,0.3843,0.005,2,2.61401964,0,2.61401964,inf,19173,0
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,smc,SMC_RAID_BOS_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,19465,1,1,0,0,0,0,0,0,0,497.31,-0.54,0.93,0.0,0.0,1,1,0,0.1877,0.005,1,0,2.59384588,-2.59384588,0.0,19421,1
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,smc,SMC_RAID_BOS_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,20348,1,1,0,0,0,0,0,0,0,500.72,0.14,0.97,99.0,100.0,0,1,1,0.1969,0.005,1,0.82271308,0,0.82271308,inf,20290,1
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,smc,SMC_RAID_BOS_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,19495,1,1,0,0,0,0,0,0,0,497.3,-0.54,0.98,0.0,0.0,1,1,0,0.1968,0.005,1,0,2.59838614,-2.59838614,0.0,19438,0
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,smc,SMC_RAID_BOS_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,18926,4,4,0,0,0,0,0,0,0,492.96,-1.41,2.72,0.1742,25.0,3,3,0,1.0347,0.005,4,1.37481893,7.89395094,-6.51913201,0.1741610680446197,18850,1
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,smc,SMC_RAID_BOS_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,17212,7,6,1,0,1,0,0,0,0,498.51,-0.3,2.1,0.8538,33.33,4,5,2,1.2075,0.005,6,5.15513146,6.03781678,-0.88268533,0.8538072021564258,17195,4
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,smc,SMC_RAID_BOS_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,16714,1,1,0,0,0,0,0,0,0,497.72,-0.46,0.98,0.0,0.0,1,1,0,0.1969,0.005,1,0,2.17677572,-2.17677572,0.0,16654,0
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,smc,SMC_RAID_BOS_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,17941,2,2,0,0,0,0,0,0,0,501.24,0.25,1.0,1.5521,50.0,1,2,1,0.3833,0.005,2,4.03307474,2.59838614,1.43468859,1.5521460294399247,17916,0
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,smc,SMC_RAID_BOS_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,18206,3,3,0,0,0,0,0,0,0,500.05,0.01,1.65,2.0224,66.67,1,3,2,0.7496,0.005,3,0.84546197,0.41805315,0.42740881,2.022379118886064,18101,1
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,smc,SMC_RAID_BOS_CHAIN,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,17044,1,1,0,0,0,0,0,0,0,500.75,0.15,0.78,99.0,100.0,0,1,1,0.1567,0.005,1,0.83244248,0,0.83244248,inf,16993,0
