fold,validation_start,validation_end,threshold,mode,guard,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,filter_blocked,cooldown_blocked
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,smc,SMC_SOFT_SCORE,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,19183,1628,356,1272,0,1249,0,0,23,0,491.18,-1.76,7.08,1.0395,46.07,12,32,16,30.9321,0.002183,356,174.87647667,168.23355618,6.64292049,1.0394862989251494,10039,7508
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,smc,SMC_SOFT_SCORE,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,19465,1686,345,1341,0,1338,0,0,3,0,483.55,-3.29,9.33,0.9914,47.25,16,32,13,30.2931,0.002184,345,149.9940845,151.29407426,-1.29998977,0.9914075301905094,9499,8238
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,smc,SMC_SOFT_SCORE,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,20348,1721,322,1399,0,1399,0,0,0,0,461.27,-7.75,9.47,0.8229,41.93,10,32,11,28.9998,0.002245,322,112.5795541,136.81196298,-24.23240888,0.8228779972825006,10308,8263
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,smc,SMC_SOFT_SCORE,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,19495,1738,319,1419,0,1419,0,0,0,0,438.52,-12.3,14.66,0.6724,40.75,9,32,10,27.3605,0.002197,319,98.09000302,145.89122377,-47.80122075,0.6723502654074544,9737,7964
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,smc,SMC_SOFT_SCORE,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,18926,1619,313,1306,0,1306,0,0,0,0,480.17,-3.97,7.5,0.953,44.41,10,32,17,28.4508,0.00228,313,113.67087276,119.27705532,-5.60618256,0.9529986505766082,10485,6751
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,smc,SMC_SOFT_SCORE,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,17212,1613,358,1255,0,1255,0,0,0,0,485.09,-2.98,5.79,1.0049,44.97,10,32,17,31.4386,0.002242,358,164.73281014,163.92555875,0.80725139,1.004924499878552,9071,6522
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,smc,SMC_SOFT_SCORE,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,16714,1515,308,1207,0,1207,0,0,0,0,451.28,-9.74,11.26,0.7274,39.29,11,32,12,26.3692,0.002175,308,94.83526851,130.374181,-35.5389125,0.7274083547705346,9209,5931
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,smc,SMC_SOFT_SCORE,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,17941,1638,329,1309,0,1307,0,0,2,0,470.76,-5.85,7.89,0.8856,43.16,12,32,10,26.4642,0.00205,329,123.88462952,139.89452187,-16.00989236,0.8855574032177814,8674,7606
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,smc,SMC_SOFT_SCORE,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,18206,1505,313,1192,0,1192,0,0,0,0,443.94,-11.21,11.6,0.6055,42.17,8,31,9,26.2627,0.002053,313,65.88111785,108.81207486,-42.93095702,0.6054577851754037,10397,6203
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,smc,SMC_SOFT_SCORE,causal_smc,OK,research_500,500.0,20.0,0.005,0.005,17044,1605,335,1270,0,1270,0,0,0,0,488.23,-2.35,4.12,1.0208,48.96,9,31,13,28.9646,0.00216,335,133.19846438,130.48866375,2.70980063,1.0207665596928122,8498,6891
