symbol,role,sectors,is_core_reference,sector_rankings
INJUSDT,core,,True,{}
TONUSDT,core,,True,{}
DOGEUSDT,core,memes_high_beta,True,"{""memes_high_beta"": 1}"
ARBUSDT,core,layer2_scaling,True,"{""layer2_scaling"": 1}"
NEARUSDT,core,,True,{}
OPUSDT,core,layer2_scaling,True,"{""layer2_scaling"": 2}"
BTCUSDT,discovery,majors_liquid,False,"{""majors_liquid"": 1}"
ETHUSDT,discovery,majors_liquid;layer1_smart_contracts,False,"{""majors_liquid"": 2, ""layer1_smart_contracts"": 1}"
SOLUSDT,discovery,majors_liquid;layer1_smart_contracts;solana_ecosystem,False,"{""majors_liquid"": 3, ""layer1_smart_contracts"": 2, ""solana_ecosystem"": 1}"
BNBUSDT,discovery,layer1_smart_contracts,False,"{""layer1_smart_contracts"": 3}"
POLUSDT,discovery,layer2_scaling,False,"{""layer2_scaling"": 3}"
FETUSDT,discovery,ai_data_compute,False,"{""ai_data_compute"": 1}"
RENDERUSDT,discovery,ai_data_compute;depin_infrastructure,False,"{""ai_data_compute"": 2, ""depin_infrastructure"": 1}"
TAOUSDT,discovery,ai_data_compute,False,"{""ai_data_compute"": 3}"
FILUSDT,discovery,depin_infrastructure,False,"{""depin_infrastructure"": 2}"
ARUSDT,discovery,depin_infrastructure,False,"{""depin_infrastructure"": 3}"
UNIUSDT,discovery,defi_dex_lending,False,"{""defi_dex_lending"": 1}"
AAVEUSDT,discovery,defi_dex_lending,False,"{""defi_dex_lending"": 2}"
LDOUSDT,discovery,defi_dex_lending,False,"{""defi_dex_lending"": 3}"
ONDOUSDT,discovery,rwa_tokenization,False,"{""rwa_tokenization"": 1}"
PENDLEUSDT,discovery,rwa_tokenization,False,"{""rwa_tokenization"": 2}"
OMUSDT,discovery,rwa_tokenization,False,"{""rwa_tokenization"": 3}"
SHIBUSDT,discovery,memes_high_beta,False,"{""memes_high_beta"": 2}"
PEPEUSDT,discovery,memes_high_beta,False,"{""memes_high_beta"": 3}"
IMXUSDT,discovery,gaming_metaverse,False,"{""gaming_metaverse"": 1}"
SANDUSDT,discovery,gaming_metaverse,False,"{""gaming_metaverse"": 2}"
MANAUSDT,discovery,gaming_metaverse,False,"{""gaming_metaverse"": 3}"
LINKUSDT,discovery,oracles_data_services,False,"{""oracles_data_services"": 1}"
PYTHUSDT,discovery,oracles_data_services;solana_ecosystem,False,"{""oracles_data_services"": 2, ""solana_ecosystem"": 3}"
API3USDT,discovery,oracles_data_services,False,"{""oracles_data_services"": 3}"
XRPUSDT,discovery,payments_legacy_value,False,"{""payments_legacy_value"": 1}"
LTCUSDT,discovery,payments_legacy_value,False,"{""payments_legacy_value"": 2}"
BCHUSDT,discovery,payments_legacy_value,False,"{""payments_legacy_value"": 3}"
JUPUSDT,discovery,solana_ecosystem,False,"{""solana_ecosystem"": 2}"
