symbol,side,entry_time,exit_time,entry,stop,exit,r_mult,source,kind,setup_type,trend_context,volatility_regime,structure_type,confidence_hint,target_policy,risk_grade,exit_reason,bars_held,risk_plan_reason,target_rr,stop_pct
AAVEUSDT,long,2026-01-16T15:15:00,2026-01-16T15:45:00,170.47,168.441407,168.441407,-1.0,candle_exit_simulator,range_rotation,range_rotation,range,low,range_rotation,60.0,range_mid_or_opposite_boundary,C,stop_loss,2,setup=range_rotation|trigger=legacy|side=long|trend=range|dir=neutral|structure=range_rotation|vol=low|entry_trend=range|entry_dir=neutral|entry_vol=low|vr=3.121663|vol_state=surge|candle=bear_impulse|prev_candle=neutral|liq=none|pos=0.132867|prev_pos=0.631702|quality=59.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.0119|rr=1.2|policy=range_mid_or_opposite_boundary|risk_grade=C,1.2,0.0119
AAVEUSDT,long,2026-01-16T15:30:00,2026-01-16T19:30:00,169.57,167.552117,171.9914596,1.2,candle_exit_simulator,range_rotation,range_rotation,range,low,range_rotation,62.0,range_mid_or_opposite_boundary,C,take_profit,16,setup=range_rotation|trigger=legacy|side=long|trend=range|dir=neutral|structure=range_rotation|vol=low|entry_trend=range|entry_dir=neutral|entry_vol=low|vr=3.845278|vol_state=surge|candle=neutral|prev_candle=bear_impulse|liq=none|pos=0.101167|prev_pos=0.132867|quality=59.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.0119|rr=1.2|policy=range_mid_or_opposite_boundary|risk_grade=C,1.2,0.0119
AAVEUSDT,short,2026-01-16T15:45:00,2026-01-16T19:30:00,169.19,172.06623,172.06623,-1.0,candle_exit_simulator,breakout,breakout,trend,low,breakdown_continuation,72.0,allow_wider_trend_target,B,stop_loss,15,setup=breakout|trigger=legacy|side=short|trend=trend|dir=down|structure=breakdown_continuation|vol=low|entry_trend=trend|entry_dir=down|entry_vol=low|vr=2.916105|vol_state=surge|candle=neutral|prev_candle=neutral|liq=none|pos=0.162479|prev_pos=0.101167|quality=68.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.017|rr=1.7|policy=allow_wider_trend_target|risk_grade=B,1.7,0.017
AAVEUSDT,short,2026-01-16T16:15:00,2026-01-16T20:15:00,170.47,172.788392,172.788392,-1.0,candle_exit_simulator,pullback,pullback,trend,low,trend_pullback,71.0,normal_target,B,stop_loss,16,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=low|entry_trend=trend|entry_dir=down|entry_vol=low|vr=1.235213|vol_state=normal|candle=neutral|prev_candle=neutral|liq=none|pos=0.376884|prev_pos=0.256281|quality=66.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.0136|rr=1.6|policy=normal_target|risk_grade=B,1.6,0.0136
AAVEUSDT,short,2026-01-16T16:30:00,2026-01-16T20:15:00,170.55,172.86948,172.86948,-1.0,candle_exit_simulator,pullback,pullback,trend,low,trend_pullback,74.0,normal_target,B,stop_loss,15,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=low|entry_trend=trend|entry_dir=down|entry_vol=low|vr=0.81854|vol_state=normal|candle=bull_rejection|prev_candle=neutral|liq=none|pos=0.390285|prev_pos=0.376884|quality=66.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.0136|rr=1.6|policy=normal_target|risk_grade=B,1.6,0.0136
AAVEUSDT,short,2026-01-16T20:15:00,2026-01-16T20:45:00,173.87,175.939053,175.939053,-1.0,candle_exit_simulator,range_rotation,range_rotation,range,low,range_rotation,65.0,range_mid_or_opposite_boundary,C,stop_loss,2,setup=range_rotation|trigger=legacy|side=short|trend=range|dir=neutral|structure=range_rotation|vol=low|entry_trend=range|entry_dir=neutral|entry_vol=low|vr=1.499885|vol_state=above_average|candle=bull_impulse|prev_candle=bull_rejection|liq=none|pos=0.946399|prev_pos=0.688442|quality=61.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.0119|rr=1.2|policy=range_mid_or_opposite_boundary|risk_grade=C,1.2,0.0119
AAVEUSDT,short,2026-01-16T20:30:00,2026-01-17T02:15:00,174.82,176.900358,176.900358,-1.0,candle_exit_simulator,range_rotation,range_rotation,range,low,range_rotation,60.0,range_mid_or_opposite_boundary,C,stop_loss,23,setup=range_rotation|trigger=legacy|side=short|trend=range|dir=neutral|structure=range_rotation|vol=low|entry_trend=range|entry_dir=neutral|entry_vol=low|vr=2.346517|vol_state=surge|candle=bull_impulse|prev_candle=bull_impulse|liq=none|pos=0.980684|prev_pos=0.946399|quality=59.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.0119|rr=1.2|policy=range_mid_or_opposite_boundary|risk_grade=C,1.2,0.0119
AAVEUSDT,short,2026-01-16T20:45:00,2026-01-17T04:45:00,176.06,178.155114,175.32,0.353203,candle_exit_simulator,range_rotation,range_rotation,range,low,range_rotation,60.0,range_mid_or_opposite_boundary,C,time_stop,32,setup=range_rotation|trigger=legacy|side=short|trend=range|dir=neutral|structure=range_rotation|vol=low|entry_trend=range|entry_dir=neutral|entry_vol=low|vr=2.132136|vol_state=surge|candle=bull_impulse|prev_candle=bull_impulse|liq=none|pos=0.983689|prev_pos=0.980684|quality=59.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.0119|rr=1.2|policy=range_mid_or_opposite_boundary|risk_grade=C,1.2,0.0119
AAVEUSDT,short,2026-01-16T21:00:00,2026-01-17T05:00:00,175.7,177.79083,175.34,0.17218,candle_exit_simulator,range_rotation,range_rotation,range,low,range_rotation,58.0,range_mid_or_opposite_boundary,C,time_stop,32,setup=range_rotation|trigger=legacy|side=short|trend=range|dir=neutral|structure=range_rotation|vol=low|entry_trend=range|entry_dir=neutral|entry_vol=low|vr=2.174486|vol_state=surge|candle=neutral|prev_candle=bull_impulse|liq=none|pos=0.914425|prev_pos=0.983689|quality=55.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.0119|rr=1.2|policy=range_mid_or_opposite_boundary|risk_grade=C,1.2,0.0119
AAVEUSDT,long,2026-01-17T02:00:00,2026-01-17T10:00:00,176.3,173.153045,175.64,-0.209727,candle_exit_simulator,breakout,breakout,trend,low,breakout_continuation,78.0,allow_wider_trend_target,A,time_stop,32,setup=breakout|trigger=legacy|side=long|trend=trend|dir=up|structure=breakout_continuation|vol=low|entry_trend=trend|entry_dir=up|entry_vol=low|vr=1.450961|vol_state=above_average|candle=bull_rejection|prev_candle=bull_impulse|liq=none|pos=0.987775|prev_pos=0.97555|quality=70.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.01785|rr=1.85|policy=allow_wider_trend_target|risk_grade=A,1.85,0.01785
