group,value,candidates,allowed,blocked,allowed_pct,avg_risk_pct,min_risk_pct,max_risk_pct,full_risk_trades,reduced_risk_trades,zero_risk_trades
all,all,21801,6,21795,0.03,3e-06,0.0,0.005,0,14,21787
allowed,allowed,6,6,0,100.0,0.005,0.005,0.005,0,6,0
allowed,blocked,21795,0,21795,0.0,2e-06,0.0,0.005,0,8,21787
reason,allowed_full_balanced,6,6,0,100.0,0.005,0.005,0.005,0,6,0
reason,candle_type_filtered,1,0,1,0.0,0.0,0.0,0.0,0,0,1
reason,quality_skip,1576,0,1576,0.0,0.0,0.0,0.0,0,0,1576
reason,setup_filtered,1623,0,1623,0.0,2.5e-05,0.0,0.005,0,8,1615
reason,structure_skip,18595,0,18595,0.0,0.0,0.0,0.0,0,0,18595
universe_state,allowed,21801,6,21795,0.03,3e-06,0.0,0.005,0,14,21787
quality_decision,SKIP,1576,0,1576,0.0,0.0,0.0,0.0,0,0,1576
quality_decision,TAKE,45,0,45,0.0,0.000889,0.0,0.005,0,8,37
quality_decision,WATCH,20180,6,20174,0.03,1e-06,0.0,0.005,0,6,20174
structure_decision,SKIP,19834,0,19834,0.0,0.0,0.0,0.0,0,0,19834
structure_decision,TAKE,881,0,881,0.0,4.5e-05,0.0,0.005,0,8,873
structure_decision,WATCH,1086,6,1080,0.55,2.8e-05,0.0,0.005,0,6,1080
quality_x_structure,SKIP+SKIP,1239,0,1239,0.0,0.0,0.0,0.0,0,0,1239
quality_x_structure,SKIP+TAKE,155,0,155,0.0,0.0,0.0,0.0,0,0,155
quality_x_structure,SKIP+WATCH,182,0,182,0.0,0.0,0.0,0.0,0,0,182
quality_x_structure,TAKE+SKIP,29,0,29,0.0,0.0,0.0,0.0,0,0,29
quality_x_structure,TAKE+TAKE,8,0,8,0.0,0.005,0.005,0.005,0,8,0
quality_x_structure,TAKE+WATCH,8,0,8,0.0,0.0,0.0,0.0,0,0,8
quality_x_structure,WATCH+SKIP,18566,0,18566,0.0,0.0,0.0,0.0,0,0,18566
quality_x_structure,WATCH+TAKE,718,0,718,0.0,0.0,0.0,0.0,0,0,718
quality_x_structure,WATCH+WATCH,896,6,890,0.67,3.3e-05,0.0,0.005,0,6,890
risk_bucket,reduced_risk,14,6,8,42.86,0.005,0.005,0.005,0,14,0
risk_bucket,zero_risk,21787,0,21787,0.0,0.0,0.0,0.0,0,0,21787
target_policy,allow_wider_trend_target,730,0,730,0.0,5.5e-05,0.0,0.005,0,8,722
target_policy,no_trade,19834,0,19834,0.0,0.0,0.0,0.0,0,0,19834
target_policy,normal_target,1029,6,1023,0.58,2.9e-05,0.0,0.005,0,6,1023
target_policy,range_mid_or_opposite_boundary,208,0,208,0.0,0.0,0.0,0.0,0,0,208
setup_type,breakout,17346,0,17346,0.0,2e-06,0.0,0.005,0,6,17340
setup_type,ignition,335,0,335,0.0,0.0,0.0,0.0,0,0,335
setup_type,liquidity_reclaim,1306,0,1306,0.0,0.0,0.0,0.0,0,0,1306
setup_type,pullback,665,0,665,0.0,1.5e-05,0.0,0.005,0,2,663
setup_type,pullback_resumption,7,6,1,85.71,0.004286,0.0,0.005,0,6,1
setup_type,pullback_resumption_strict,4,0,4,0.0,0.0,0.0,0.0,0,0,4
setup_type,range_rotation,2030,0,2030,0.0,0.0,0.0,0.0,0,0,2030
setup_type,watch_impulse,108,0,108,0.0,0.0,0.0,0.0,0,0,108
trend_context,range,835,0,835,0.0,0.0,0.0,0.0,0,0,835
trend_context,trend,20966,6,20960,0.03,3e-06,0.0,0.005,0,14,20952
volatility_regime,high,14914,0,14914,0.0,0.0,0.0,0.0,0,0,14914
volatility_regime,low,1216,2,1214,0.16,3.7e-05,0.0,0.005,0,9,1207
volatility_regime,normal,5671,4,5667,0.07,4e-06,0.0,0.005,0,5,5666
