symbol,side,entry_time,exit_time,entry,stop,exit,r_mult,source,kind,setup_type,trend_context,volatility_regime,structure_type,confidence_hint,target_policy,risk_grade,exit_reason,bars_held,risk_plan_reason,target_rr,stop_pct
AAVEUSDT,short,2025-12-17T14:45:00,2025-12-17T15:00:00,189.46,191.714574,191.714574,-1.0,candle_exit_simulator,range_rotation,range_rotation,range,low,range_rotation,60.0,range_mid_or_opposite_boundary,C,stop_loss,1,setup=range_rotation|trigger=legacy|side=short|trend=range|dir=neutral|structure=range_rotation|vol=low|entry_trend=range|entry_dir=neutral|entry_vol=low|vr=6.49546|vol_state=surge|candle=bull_impulse|prev_candle=bear_impulse|liq=none|pos=0.987277|prev_pos=0.315789|quality=59.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.0119|rr=1.2|policy=range_mid_or_opposite_boundary|risk_grade=C,1.2,0.0119
AAVEUSDT,short,2025-12-17T15:00:00,2025-12-17T15:30:00,191.68,194.36352,188.459776,1.2,candle_exit_simulator,range_rotation,range_rotation,range,normal,range_rotation,70.0,range_mid_or_opposite_boundary,C,take_profit,2,setup=range_rotation|trigger=legacy|side=short|trend=range|dir=neutral|structure=range_rotation|vol=normal|entry_trend=range|entry_dir=neutral|entry_vol=normal|vr=4.243614|vol_state=surge|candle=bull_impulse|prev_candle=bull_impulse|liq=none|pos=0.977473|prev_pos=0.987277|quality=65.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.014|rr=1.2|policy=range_mid_or_opposite_boundary|risk_grade=C,1.2,0.014
AAVEUSDT,long,2025-12-17T15:15:00,2025-12-17T15:30:00,190.44,186.44076,186.44076,-1.0,candle_exit_simulator,breakout,breakout,trend,normal,breakout_continuation,86.0,allow_wider_trend_target,A,stop_loss,1,setup=breakout|trigger=legacy|side=long|trend=trend|dir=up|structure=breakout_continuation|vol=normal|entry_trend=trend|entry_dir=up|entry_vol=normal|vr=2.364684|vol_state=surge|candle=neutral|prev_candle=bull_impulse|liq=none|pos=0.795268|prev_pos=0.977473|quality=74.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.021|rr=1.85|policy=allow_wider_trend_target|risk_grade=A,1.85,0.021
AAVEUSDT,long,2025-12-17T15:30:00,2025-12-17T15:45:00,186.8,183.66176,183.66176,-1.0,candle_exit_simulator,pullback,pullback,trend,normal,trend_pullback,87.0,normal_target,A,stop_loss,1,setup=pullback|trigger=legacy|side=long|trend=trend|dir=up|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=up|entry_vol=normal|vr=2.251351|vol_state=surge|candle=bear_impulse|prev_candle=neutral|liq=none|pos=0.464058|prev_pos=0.795268|quality=78.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A,1.75,0.0168
AAVEUSDT,short,2025-12-17T16:30:00,2025-12-18T00:30:00,179.44,183.20824,178.39,0.278645,candle_exit_simulator,breakout,breakout,trend,normal,breakdown_continuation,89.0,allow_wider_trend_target,A,time_stop,32,setup=breakout|trigger=legacy|side=short|trend=trend|dir=down|structure=breakdown_continuation|vol=normal|entry_trend=trend|entry_dir=down|entry_vol=normal|vr=1.478179|vol_state=above_average|candle=neutral|prev_candle=bear_impulse|liq=none|pos=0.085576|prev_pos=0.0218|quality=76.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.021|rr=1.85|policy=allow_wider_trend_target|risk_grade=A,1.85,0.021
AAVEUSDT,long,2025-12-18T03:30:00,2025-12-18T11:30:00,177.67,175.1026685,176.7,-0.377824,candle_exit_simulator,liquidity_reclaim,liquidity_reclaim,range,low,liquidity_reclaim,70.0,normal_target,B,time_stop,32,setup=liquidity_reclaim|trigger=legacy|side=long|trend=range|dir=neutral|structure=liquidity_reclaim|vol=low|entry_trend=range|entry_dir=neutral|entry_vol=low|vr=1.042756|vol_state=normal|candle=bull_rejection|prev_candle=bear_impulse|liq=low_sweep_reclaim|pos=0.062422|prev_pos=0.05181|quality=58.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.01445|rr=1.35|policy=normal_target|risk_grade=B,1.35,0.01445
AAVEUSDT,short,2025-12-18T04:00:00,2025-12-18T12:00:00,178.39,181.5742615,176.2,0.687758,candle_exit_simulator,breakout,breakout,trend,low,breakdown_continuation,75.0,allow_wider_trend_target,B,time_stop,32,setup=breakout|trigger=legacy|side=short|trend=trend|dir=down|structure=breakdown_continuation|vol=low|entry_trend=trend|entry_dir=down|entry_vol=low|vr=1.318198|vol_state=above_average|candle=neutral|prev_candle=neutral|liq=none|pos=0.16699|prev_pos=0.085992|quality=70.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.01785|rr=1.7|policy=allow_wider_trend_target|risk_grade=B,1.7,0.01785
AAVEUSDT,short,2025-12-18T05:15:00,2025-12-18T08:30:00,177.02,180.02934,180.02934,-1.0,candle_exit_simulator,breakout,breakout,trend,low,breakdown_continuation,74.0,allow_wider_trend_target,B,stop_loss,13,setup=breakout|trigger=legacy|side=short|trend=trend|dir=down|structure=breakdown_continuation|vol=low|entry_trend=trend|entry_dir=down|entry_vol=low|vr=1.83309|vol_state=surge|candle=bear_impulse|prev_candle=bear_impulse|liq=none|pos=0.064695|prev_pos=0.205176|quality=72.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.017|rr=1.7|policy=allow_wider_trend_target|risk_grade=B,1.7,0.017
AAVEUSDT,short,2025-12-18T05:30:00,2025-12-18T08:30:00,177.19,180.3528415,180.3528415,-1.0,candle_exit_simulator,breakout,breakout,trend,low,breakdown_continuation,75.0,allow_wider_trend_target,B,stop_loss,12,setup=breakout|trigger=legacy|side=short|trend=trend|dir=down|structure=breakdown_continuation|vol=low|entry_trend=trend|entry_dir=down|entry_vol=low|vr=1.857144|vol_state=surge|candle=bull_rejection|prev_candle=bear_impulse|liq=none|pos=0.177062|prev_pos=0.064695|quality=68.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.01785|rr=1.7|policy=allow_wider_trend_target|risk_grade=B,1.7,0.01785
AAVEUSDT,short,2025-12-18T05:45:00,2025-12-18T08:15:00,176.31,179.4571335,179.4571335,-1.0,candle_exit_simulator,breakout,breakout,trend,low,breakdown_continuation,79.0,allow_wider_trend_target,A,stop_loss,10,setup=breakout|trigger=legacy|side=short|trend=trend|dir=down|structure=breakdown_continuation|vol=low|entry_trend=trend|entry_dir=down|entry_vol=low|vr=1.320902|vol_state=above_average|candle=bear_impulse|prev_candle=bull_rejection|liq=none|pos=0.017787|prev_pos=0.177062|quality=74.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.01785|rr=1.85|policy=allow_wider_trend_target|risk_grade=A,1.85,0.01785
