scope,setup_type,reason,count,pct_of_scope
all,all,structure_skip,7950,77.4552
all,all,setup_filtered,1993,19.4174
all,all,quality_skip,319,3.108
all,all,volume_ratio_filtered,1,0.0097
all,all,allowed_full_balanced,1,0.0097
setup,breakout,quality_skip,146,1.6104
setup,breakout,setup_filtered,1660,18.3102
setup,breakout,structure_skip,7260,80.0794
setup,ignition,setup_filtered,104,45.614
setup,ignition,structure_skip,124,54.386
setup,liquidity_reclaim,quality_skip,114,15.8774
setup,liquidity_reclaim,setup_filtered,135,18.8022
setup,liquidity_reclaim,structure_skip,469,65.3203
setup,pullback,setup_filtered,10,22.7273
setup,pullback,structure_skip,34,77.2727
setup,pullback_resumption,allowed_full_balanced,1,50.0
setup,pullback_resumption,volume_ratio_filtered,1,50.0
setup,pullback_resumption_strict,setup_filtered,1,100.0
setup,range_rotation,quality_skip,59,29.9492
setup,range_rotation,setup_filtered,77,39.0863
setup,range_rotation,structure_skip,61,30.9645
setup,watch_impulse,setup_filtered,6,75.0
setup,watch_impulse,structure_skip,2,25.0
