group,value,candidates,allowed,blocked,allowed_pct,avg_risk_pct,min_risk_pct,max_risk_pct,full_risk_trades,reduced_risk_trades,zero_risk_trades
all,all,21521,60,21461,0.28,1.8e-05,0.0,0.005,0,77,21444
allowed,allowed,60,60,0,100.0,0.005,0.005,0.005,0,60,0
allowed,blocked,21461,0,21461,0.0,4e-06,0.0,0.005,0,17,21444
reason,allowed_full_balanced,60,60,0,100.0,0.005,0.005,0.005,0,60,0
reason,candle_type_filtered,17,0,17,0.0,0.0,0.0,0.0,0,0,17
reason,direction_context_filtered,49,0,49,0.0,0.000204,0.0,0.005,0,2,47
reason,quality_skip,1467,0,1467,0.0,0.0,0.0,0.0,0,0,1467
reason,setup_filtered,8988,0,8988,0.0,8e-06,0.0,0.005,0,15,8973
reason,structure_skip,10934,0,10934,0.0,0.0,0.0,0.0,0,0,10934
reason,volume_ratio_filtered,6,0,6,0.0,0.0,0.0,0.0,0,0,6
universe_state,allowed,21521,60,21461,0.28,1.8e-05,0.0,0.005,0,77,21444
quality_decision,SKIP,1467,0,1467,0.0,0.0,0.0,0.0,0,0,1467
quality_decision,TAKE,40,0,40,0.0,0.002125,0.0,0.005,0,17,23
quality_decision,WATCH,20014,60,19954,0.3,1.5e-05,0.0,0.005,0,60,19954
structure_decision,SKIP,11973,0,11973,0.0,0.0,0.0,0.0,0,0,11973
structure_decision,TAKE,4484,6,4478,0.13,2.6e-05,0.0,0.005,0,23,4461
structure_decision,WATCH,5064,54,5010,1.07,5.3e-05,0.0,0.005,0,54,5010
quality_x_structure,SKIP+SKIP,1039,0,1039,0.0,0.0,0.0,0.0,0,0,1039
quality_x_structure,SKIP+TAKE,186,0,186,0.0,0.0,0.0,0.0,0,0,186
quality_x_structure,SKIP+WATCH,242,0,242,0.0,0.0,0.0,0.0,0,0,242
quality_x_structure,TAKE+SKIP,13,0,13,0.0,0.0,0.0,0.0,0,0,13
quality_x_structure,TAKE+TAKE,17,0,17,0.0,0.005,0.005,0.005,0,17,0
quality_x_structure,TAKE+WATCH,10,0,10,0.0,0.0,0.0,0.0,0,0,10
quality_x_structure,WATCH+SKIP,10921,0,10921,0.0,0.0,0.0,0.0,0,0,10921
quality_x_structure,WATCH+TAKE,4281,6,4275,0.14,7e-06,0.0,0.005,0,6,4275
quality_x_structure,WATCH+WATCH,4812,54,4758,1.12,5.6e-05,0.0,0.005,0,54,4758
risk_bucket,reduced_risk,77,60,17,77.92,0.005,0.005,0.005,0,77,0
risk_bucket,zero_risk,21444,0,21444,0.0,0.0,0.0,0.0,0,0,21444
target_policy,allow_wider_trend_target,4208,20,4188,0.48,3.6e-05,0.0,0.005,0,30,4178
target_policy,no_trade,11973,0,11973,0.0,0.0,0.0,0.0,0,0,11973
target_policy,normal_target,5071,40,5031,0.79,3.9e-05,0.0,0.005,0,40,5031
target_policy,range_mid_or_opposite_boundary,269,0,269,0.0,0.00013,0.0,0.005,0,7,262
setup_type,breakout,17883,0,17883,0.0,2e-06,0.0,0.005,0,8,17875
setup_type,ignition,411,0,411,0.0,0.0,0.0,0.0,0,0,411
setup_type,liquidity_reclaim,1547,0,1547,0.0,0.0,0.0,0.0,0,0,1547
setup_type,pullback,529,44,485,8.32,0.000435,0.0,0.005,0,46,483
setup_type,pullback_resumption,19,10,9,52.63,0.002632,0.0,0.005,0,10,9
setup_type,pullback_resumption_strict,9,6,3,66.67,0.003333,0.0,0.005,0,6,3
setup_type,range_rotation,1100,0,1100,0.0,3.2e-05,0.0,0.005,0,7,1093
setup_type,watch_impulse,23,0,23,0.0,0.0,0.0,0.0,0,0,23
trend_context,range,719,0,719,0.0,4.9e-05,0.0,0.005,0,7,712
trend_context,trend,20802,60,20742,0.29,1.7e-05,0.0,0.005,0,70,20732
volatility_regime,high,17792,0,17792,0.0,0.0,0.0,0.0,0,0,17792
volatility_regime,low,1392,35,1357,2.51,0.000169,0.0,0.005,0,47,1345
volatility_regime,normal,2337,25,2312,1.07,6.4e-05,0.0,0.005,0,30,2307
