symbol,trades,winrate,avg_r,pf,total_r,score,coin_class,allowed_setups,risk_multiplier,reason
SANDUSDT,735,0.5401,0.1983,1.5707,145.7288,24.2501,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
INJUSDT,671,0.5529,0.1306,1.3859,87.6191,18.6007,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
FETUSDT,707,0.512,0.1443,1.3809,102.0109,15.7476,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
ARBUSDT,668,0.524,0.1259,1.3238,84.0836,15.1382,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
FILUSDT,614,0.5163,0.0998,1.2742,61.3016,12.6113,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
LDOUSDT,655,0.5237,0.1073,1.2985,70.3099,12.0133,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
ETHUSDT,637,0.4819,0.1003,1.2998,63.9,11.7635,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
DOGEUSDT,679,0.5022,0.0838,1.2368,56.8791,10.5802,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
OPUSDT,636,0.4858,0.107,1.2737,68.065,9.5408,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
IMXUSDT,717,0.4881,0.0897,1.2211,64.3329,9.4407,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
MANAUSDT,719,0.4757,0.0822,1.2221,59.1045,8.051,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
AAVEUSDT,698,0.5186,0.074,1.2062,51.6612,7.8591,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
XRPUSDT,706,0.5085,0.0561,1.1655,39.6131,7.4152,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
BCHUSDT,637,0.4835,0.0629,1.1915,40.0499,7.2865,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
ONDOUSDT,713,0.4895,0.072,1.1871,51.3496,6.9375,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
TAOUSDT,755,0.4834,0.0612,1.134,46.2359,4.2382,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
BNBUSDT,716,0.4818,0.0516,1.1947,36.9433,3.6154,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
ARUSDT,657,0.4734,0.0417,1.0967,27.3669,3.5601,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
BTCUSDT,733,0.487,0.0381,1.1308,27.9151,1.2625,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
LTCUSDT,611,0.4763,0.0076,1.0238,4.6556,-0.7342,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
POLUSDT,683,0.4817,0.0071,1.0174,4.8466,-1.1413,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
NEARUSDT,679,0.4654,0.0027,1.0066,1.8516,-2.2487,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
PYTHUSDT,689,0.4441,0.0109,1.0258,7.4996,-2.2536,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
OMUSDT,417,0.4604,0.0189,1.0418,7.8831,-2.368,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SOLUSDT,717,0.47,0.0129,1.0351,9.2215,-2.9334,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
JUPUSDT,710,0.4254,-0.0124,0.9741,-8.8208,-4.1085,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
LINKUSDT,668,0.4581,-0.0093,0.9745,-6.1876,-5.4101,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
PENDLEUSDT,659,0.4416,-0.033,0.9291,-21.7482,-6.7368,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
UNIUSDT,662,0.4562,-0.0359,0.9079,-23.7899,-7.5193,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
TONUSDT,677,0.4446,-0.0263,0.9213,-17.8051,-8.3628,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
RENDERUSDT,693,0.3983,-0.0606,0.8834,-42.03,-9.9905,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
API3USDT,603,0.4577,-0.0477,0.8829,-28.7912,-12.2227,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
