scope,setup_type,reason,count,pct_of_scope
all,all,structure_skip,6652,66.1561
all,all,setup_filtered,3304,32.8593
all,all,quality_skip,98,0.9746
all,all,context_alignment_filtered,1,0.0099
setup,breakout,quality_skip,11,0.1234
setup,breakout,setup_filtered,3099,34.7577
setup,breakout,structure_skip,5806,65.1189
setup,ignition,setup_filtered,111,59.6774
setup,ignition,structure_skip,75,40.3226
setup,liquidity_reclaim,quality_skip,71,8.503
setup,liquidity_reclaim,setup_filtered,25,2.994
setup,liquidity_reclaim,structure_skip,739,88.503
setup,pullback,setup_filtered,38,100.0
setup,pullback_resumption,context_alignment_filtered,1,100.0
setup,range_rotation,quality_skip,16,26.6667
setup,range_rotation,setup_filtered,15,25.0
setup,range_rotation,structure_skip,29,48.3333
setup,watch_impulse,setup_filtered,16,84.2105
setup,watch_impulse,structure_skip,3,15.7895
