group,value,candidates,allowed,blocked,allowed_pct,avg_risk_pct,min_risk_pct,max_risk_pct,full_risk_trades,reduced_risk_trades,zero_risk_trades
all,all,21695,8,21687,0.04,7e-06,0.0,0.005,0,32,21663
allowed,allowed,8,8,0,100.0,0.005,0.005,0.005,0,8,0
allowed,blocked,21687,0,21687,0.0,6e-06,0.0,0.005,0,24,21663
reason,allowed_full_balanced,8,8,0,100.0,0.005,0.005,0.005,0,8,0
reason,quality_skip,2518,0,2518,0.0,0.0,0.0,0.0,0,0,2518
reason,setup_filtered,1541,0,1541,0.0,7.8e-05,0.0,0.005,0,24,1517
reason,structure_skip,17621,0,17621,0.0,0.0,0.0,0.0,0,0,17621
reason,volume_ratio_filtered,7,0,7,0.0,0.0,0.0,0.0,0,0,7
universe_state,allowed,21695,8,21687,0.04,7e-06,0.0,0.005,0,32,21663
quality_decision,SKIP,2518,0,2518,0.0,0.0,0.0,0.0,0,0,2518
quality_decision,TAKE,67,1,66,1.49,0.001866,0.0,0.005,0,25,42
quality_decision,WATCH,19110,7,19103,0.04,2e-06,0.0,0.005,0,7,19103
structure_decision,SKIP,19560,0,19560,0.0,0.0,0.0,0.0,0,0,19560
structure_decision,TAKE,1023,1,1022,0.1,0.000122,0.0,0.005,0,25,998
structure_decision,WATCH,1112,7,1105,0.63,3.1e-05,0.0,0.005,0,7,1105
quality_x_structure,SKIP+SKIP,1939,0,1939,0.0,0.0,0.0,0.0,0,0,1939
quality_x_structure,SKIP+TAKE,388,0,388,0.0,0.0,0.0,0.0,0,0,388
quality_x_structure,SKIP+WATCH,191,0,191,0.0,0.0,0.0,0.0,0,0,191
quality_x_structure,TAKE+SKIP,27,0,27,0.0,0.0,0.0,0.0,0,0,27
quality_x_structure,TAKE+TAKE,24,0,24,0.0,0.005,0.005,0.005,0,24,0
quality_x_structure,TAKE+WATCH,16,1,15,6.25,0.000313,0.0,0.005,0,1,15
quality_x_structure,WATCH+SKIP,17594,0,17594,0.0,0.0,0.0,0.0,0,0,17594
quality_x_structure,WATCH+TAKE,611,1,610,0.16,8e-06,0.0,0.005,0,1,610
quality_x_structure,WATCH+WATCH,905,6,899,0.66,3.3e-05,0.0,0.005,0,6,899
risk_bucket,reduced_risk,32,8,24,25.0,0.005,0.005,0.005,0,32,0
risk_bucket,zero_risk,21663,0,21663,0.0,0.0,0.0,0.0,0,0,21663
target_policy,allow_wider_trend_target,823,1,822,0.12,0.000115,0.0,0.005,0,19,804
target_policy,no_trade,19560,0,19560,0.0,0.0,0.0,0.0,0,0,19560
target_policy,normal_target,1000,7,993,0.7,6.5e-05,0.0,0.005,0,13,987
target_policy,range_mid_or_opposite_boundary,312,0,312,0.0,0.0,0.0,0.0,0,0,312
setup_type,breakout,17701,0,17701,0.0,5e-06,0.0,0.005,0,18,17683
setup_type,ignition,322,0,322,0.0,0.0,0.0,0.0,0,0,322
setup_type,liquidity_reclaim,1706,0,1706,0.0,3e-06,0.0,0.005,0,1,1705
setup_type,pullback,663,0,663,0.0,3.8e-05,0.0,0.005,0,5,658
setup_type,pullback_resumption,19,8,11,42.11,0.002105,0.0,0.005,0,8,11
setup_type,pullback_resumption_strict,6,0,6,0.0,0.0,0.0,0.0,0,0,6
setup_type,range_rotation,1232,0,1232,0.0,0.0,0.0,0.0,0,0,1232
setup_type,watch_impulse,46,0,46,0.0,0.0,0.0,0.0,0,0,46
trend_context,range,736,0,736,0.0,0.0,0.0,0.0,0,0,736
trend_context,trend,20959,8,20951,0.04,8e-06,0.0,0.005,0,32,20927
volatility_regime,high,16554,0,16554,0.0,0.0,0.0,0.0,0,0,16554
volatility_regime,low,1157,2,1155,0.17,8.2e-05,0.0,0.005,0,19,1138
volatility_regime,normal,3984,6,3978,0.15,1.6e-05,0.0,0.005,0,13,3971
