scope,setup_type,reason,count,pct_of_scope
all,all,structure_skip,9702,93.8389
all,all,setup_filtered,422,4.0816
all,all,quality_skip,215,2.0795
setup,breakout,quality_skip,22,0.2473
setup,breakout,setup_filtered,310,3.4847
setup,breakout,structure_skip,8564,96.268
setup,ignition,setup_filtered,38,27.5362
setup,ignition,structure_skip,100,72.4638
setup,liquidity_reclaim,quality_skip,105,11.9183
setup,liquidity_reclaim,structure_skip,776,88.0817
setup,pullback,setup_filtered,39,51.3158
setup,pullback,structure_skip,37,48.6842
setup,pullback_resumption_strict,setup_filtered,2,100.0
setup,range_rotation,quality_skip,88,27.5862
setup,range_rotation,setup_filtered,33,10.3448
setup,range_rotation,structure_skip,198,62.069
setup,watch_impulse,structure_skip,27,100.0
