symbol,side,entry_time,exit_time,entry,stop,exit,r_mult,source,kind,setup_type,trend_context,volatility_regime,structure_type,confidence_hint,target_policy,risk_grade,exit_reason,bars_held,risk_plan_reason,target_rr,stop_pct
AAVEUSDT,long,2026-02-15T12:45:00,2026-02-15T17:45:00,125.82,124.322742,124.322742,-1.0,candle_exit_simulator,range_rotation,range_rotation,range,low,range_rotation,60.0,range_mid_or_opposite_boundary,C,stop_loss,20,setup=range_rotation|trigger=legacy|side=long|trend=range|dir=neutral|structure=range_rotation|vol=low|entry_trend=range|entry_dir=neutral|entry_vol=low|vr=4.28896|vol_state=surge|candle=bear_impulse|prev_candle=none|liq=none|pos=0.006557|prev_pos=0.5|quality=59.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.0119|rr=1.2|policy=range_mid_or_opposite_boundary|risk_grade=C,1.2,0.0119
AAVEUSDT,short,2026-02-15T13:00:00,2026-02-15T17:45:00,126.94,129.09798,123.271434,1.7,candle_exit_simulator,breakout,breakout,trend,low,breakdown_continuation,74.0,allow_wider_trend_target,B,take_profit,19,setup=breakout|trigger=legacy|side=short|trend=trend|dir=down|structure=breakdown_continuation|vol=low|entry_trend=trend|entry_dir=down|entry_vol=low|vr=1.894514|vol_state=surge|candle=bull_impulse|prev_candle=bear_impulse|liq=none|pos=0.190164|prev_pos=0.006557|quality=72.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.017|rr=1.7|policy=allow_wider_trend_target|risk_grade=B,1.7,0.017
AAVEUSDT,short,2026-02-15T13:30:00,2026-02-15T21:30:00,125.94,128.188029,124.73,0.538249,candle_exit_simulator,breakout,breakout,trend,low,breakdown_continuation,75.0,allow_wider_trend_target,B,time_stop,32,setup=breakout|trigger=legacy|side=short|trend=trend|dir=down|structure=breakdown_continuation|vol=low|entry_trend=trend|entry_dir=down|entry_vol=low|vr=2.221456|vol_state=surge|candle=bear_rejection|prev_candle=bear_impulse|liq=none|pos=0.0496|prev_pos=0.037705|quality=68.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.01785|rr=1.7|policy=allow_wider_trend_target|risk_grade=B,1.7,0.01785
AAVEUSDT,short,2026-02-15T13:45:00,2026-02-15T21:45:00,125.13,127.25721,125.1,0.014103,candle_exit_simulator,breakout,breakout,trend,low,breakdown_continuation,72.0,allow_wider_trend_target,B,time_stop,32,setup=breakout|trigger=legacy|side=short|trend=trend|dir=down|structure=breakdown_continuation|vol=low|entry_trend=trend|entry_dir=down|entry_vol=low|vr=3.616366|vol_state=surge|candle=neutral|prev_candle=bear_rejection|liq=none|pos=0.095174|prev_pos=0.0496|quality=68.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.017|rr=1.7|policy=allow_wider_trend_target|risk_grade=B,1.7,0.017
AAVEUSDT,short,2026-02-15T14:00:00,2026-02-15T22:00:00,125.33,127.5671405,124.83,0.2235,candle_exit_simulator,breakout,breakout,trend,low,breakdown_continuation,75.0,allow_wider_trend_target,B,time_stop,32,setup=breakout|trigger=legacy|side=short|trend=trend|dir=down|structure=breakdown_continuation|vol=low|entry_trend=trend|entry_dir=down|entry_vol=low|vr=1.285392|vol_state=above_average|candle=neutral|prev_candle=neutral|liq=none|pos=0.121984|prev_pos=0.095174|quality=70.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.01785|rr=1.7|policy=allow_wider_trend_target|risk_grade=B,1.7,0.01785
AAVEUSDT,short,2026-02-15T17:45:00,2026-02-16T01:45:00,124.7,126.8199,125.73,-0.485872,candle_exit_simulator,breakout,breakout,trend,low,breakdown_continuation,72.0,allow_wider_trend_target,B,time_stop,32,setup=breakout|trigger=legacy|side=short|trend=trend|dir=down|structure=breakdown_continuation|vol=low|entry_trend=trend|entry_dir=down|entry_vol=low|vr=3.456402|vol_state=surge|candle=neutral|prev_candle=bear_impulse|liq=none|pos=0.203108|prev_pos=0.13941|quality=68.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.017|rr=1.7|policy=allow_wider_trend_target|risk_grade=B,1.7,0.017
AAVEUSDT,short,2026-02-15T19:00:00,2026-02-15T23:45:00,123.73,125.83341,125.83341,-1.0,candle_exit_simulator,breakout,breakout,trend,low,breakdown_continuation,72.0,allow_wider_trend_target,B,stop_loss,19,setup=breakout|trigger=legacy|side=short|trend=trend|dir=down|structure=breakdown_continuation|vol=low|entry_trend=trend|entry_dir=down|entry_vol=low|vr=2.134073|vol_state=surge|candle=neutral|prev_candle=indecision|liq=none|pos=0.100116|prev_pos=0.179278|quality=68.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.017|rr=1.7|policy=allow_wider_trend_target|risk_grade=B,1.7,0.017
AAVEUSDT,short,2026-02-15T20:00:00,2026-02-15T23:45:00,123.68,125.887688,125.887688,-1.0,candle_exit_simulator,breakout,breakout,trend,low,breakdown_continuation,75.0,allow_wider_trend_target,B,stop_loss,15,setup=breakout|trigger=legacy|side=short|trend=trend|dir=down|structure=breakdown_continuation|vol=low|entry_trend=trend|entry_dir=down|entry_vol=low|vr=2.292628|vol_state=surge|candle=bull_rejection|prev_candle=bear_rejection|liq=none|pos=0.13363|prev_pos=0.076834|quality=68.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.01785|rr=1.7|policy=allow_wider_trend_target|risk_grade=B,1.7,0.01785
AAVEUSDT,short,2026-02-16T03:45:00,2026-02-16T09:00:00,126.34,127.843446,127.843446,-1.0,candle_exit_simulator,range_rotation,range_rotation,range,low,range_rotation,58.0,range_mid_or_opposite_boundary,C,stop_loss,21,setup=range_rotation|trigger=legacy|side=short|trend=range|dir=neutral|structure=range_rotation|vol=low|entry_trend=range|entry_dir=neutral|entry_vol=low|vr=1.099927|vol_state=normal|candle=bull_impulse|prev_candle=indecision|liq=none|pos=0.857778|prev_pos=0.726667|quality=57.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.0119|rr=1.2|policy=range_mid_or_opposite_boundary|risk_grade=C,1.2,0.0119
AAVEUSDT,long,2026-02-16T04:00:00,2026-02-16T05:30:00,127.0,124.73305,124.73305,-1.0,candle_exit_simulator,breakout,breakout,trend,low,breakout_continuation,79.0,allow_wider_trend_target,A,stop_loss,6,setup=breakout|trigger=legacy|side=long|trend=trend|dir=up|structure=breakout_continuation|vol=low|entry_trend=trend|entry_dir=up|entry_vol=low|vr=1.635947|vol_state=above_average|candle=bull_impulse|prev_candle=bull_impulse|liq=none|pos=0.95966|prev_pos=0.857778|quality=74.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.01785|rr=1.85|policy=allow_wider_trend_target|risk_grade=A,1.85,0.01785
