symbol,side,entry_time,exit_time,entry,stop,exit,r_mult,source,kind,setup_type,trend_context,volatility_regime,structure_type,confidence_hint,target_policy,risk_grade,exit_reason,bars_held,risk_plan_reason,target_rr,stop_pct
AAVEUSDT,short,2026-03-17T13:30:00,2026-03-17T21:30:00,120.82,122.5453096,121.78,-0.556422,candle_exit_simulator,pullback,pullback,trend,low,trend_pullback,78.0,normal_target,A,time_stop,32,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=low|entry_trend=trend|entry_dir=down|entry_vol=low|vr=1.890396|vol_state=surge|candle=bear_rejection|prev_candle=bear_impulse|liq=none|pos=0.362319|prev_pos=0.371765|quality=68.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.01428|rr=1.75|policy=normal_target|risk_grade=A,1.75,0.01428
AAVEUSDT,long,2026-03-17T16:00:00,2026-03-17T23:30:00,121.43,119.6959796,119.6959796,-1.0,candle_exit_simulator,pullback,pullback,trend,low,trend_pullback,78.0,normal_target,A,stop_loss,30,setup=pullback|trigger=legacy|side=long|trend=trend|dir=up|structure=trend_pullback|vol=low|entry_trend=trend|entry_dir=up|entry_vol=low|vr=1.52897|vol_state=above_average|candle=indecision|prev_candle=bull_impulse|liq=none|pos=0.558201|prev_pos=0.55291|quality=70.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.01428|rr=1.75|policy=normal_target|risk_grade=A,1.75,0.01428
AAVEUSDT,long,2026-03-17T21:00:00,2026-03-17T23:15:00,122.02,120.2775544,120.2775544,-1.0,candle_exit_simulator,pullback,pullback,trend,low,trend_pullback,75.0,normal_target,B,stop_loss,9,setup=pullback|trigger=legacy|side=long|trend=trend|dir=up|structure=trend_pullback|vol=low|entry_trend=trend|entry_dir=up|entry_vol=low|vr=0.857715|vol_state=normal|candle=bull_impulse|prev_candle=neutral|liq=none|pos=0.656051|prev_pos=0.468153|quality=70.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.01428|rr=1.6|policy=normal_target|risk_grade=B,1.6,0.01428
AAVEUSDT,long,2026-03-17T21:15:00,2026-03-17T23:15:00,121.93,120.271752,120.271752,-1.0,candle_exit_simulator,pullback,pullback,trend,low,trend_pullback,74.0,normal_target,B,stop_loss,8,setup=pullback|trigger=legacy|side=long|trend=trend|dir=up|structure=trend_pullback|vol=low|entry_trend=trend|entry_dir=up|entry_vol=low|vr=0.693187|vol_state=normal|candle=bear_rejection|prev_candle=bull_impulse|liq=none|pos=0.627389|prev_pos=0.656051|quality=66.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.0136|rr=1.6|policy=normal_target|risk_grade=B,1.6,0.0136
AAVEUSDT,short,2026-03-17T23:15:00,2026-03-18T07:15:00,120.18,122.325213,120.51,-0.153831,candle_exit_simulator,breakout,breakout,trend,low,breakdown_continuation,79.0,allow_wider_trend_target,A,time_stop,32,setup=breakout|trigger=legacy|side=short|trend=trend|dir=down|structure=breakdown_continuation|vol=low|entry_trend=trend|entry_dir=down|entry_vol=low|vr=1.373289|vol_state=above_average|candle=bear_impulse|prev_candle=bear_impulse|liq=none|pos=0.070064|prev_pos=0.203822|quality=74.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.01785|rr=1.85|policy=allow_wider_trend_target|risk_grade=A,1.85,0.01785
AAVEUSDT,short,2026-03-17T23:30:00,2026-03-18T03:15:00,119.68,121.816288,121.816288,-1.0,candle_exit_simulator,breakout,breakout,trend,low,breakdown_continuation,79.0,allow_wider_trend_target,A,stop_loss,15,setup=breakout|trigger=legacy|side=short|trend=trend|dir=down|structure=breakdown_continuation|vol=low|entry_trend=trend|entry_dir=down|entry_vol=low|vr=1.662404|vol_state=above_average|candle=bear_impulse|prev_candle=bear_impulse|liq=none|pos=0.014749|prev_pos=0.070064|quality=74.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.01785|rr=1.85|policy=allow_wider_trend_target|risk_grade=A,1.85,0.01785
AAVEUSDT,short,2026-03-17T23:45:00,2026-03-18T03:15:00,119.6,121.73486,121.73486,-1.0,candle_exit_simulator,breakout,breakout,trend,low,breakdown_continuation,75.0,allow_wider_trend_target,B,stop_loss,14,setup=breakout|trigger=legacy|side=short|trend=trend|dir=down|structure=breakdown_continuation|vol=low|entry_trend=trend|entry_dir=down|entry_vol=low|vr=1.389327|vol_state=above_average|candle=neutral|prev_candle=bear_impulse|liq=none|pos=0.029586|prev_pos=0.014749|quality=70.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.01785|rr=1.7|policy=allow_wider_trend_target|risk_grade=B,1.7,0.01785
AAVEUSDT,short,2026-03-18T00:00:00,2026-03-18T03:15:00,119.4,121.53129,121.53129,-1.0,candle_exit_simulator,breakout,breakout,trend,low,breakdown_continuation,78.0,allow_wider_trend_target,A,stop_loss,13,setup=breakout|trigger=legacy|side=short|trend=trend|dir=down|structure=breakdown_continuation|vol=low|entry_trend=trend|entry_dir=down|entry_vol=low|vr=1.429875|vol_state=above_average|candle=bear_rejection|prev_candle=neutral|liq=none|pos=0.011364|prev_pos=0.029586|quality=70.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.01785|rr=1.85|policy=allow_wider_trend_target|risk_grade=A,1.85,0.01785
AAVEUSDT,short,2026-03-18T00:15:00,2026-03-18T03:15:00,119.29,121.31793,121.31793,-1.0,candle_exit_simulator,breakout,breakout,trend,low,breakdown_continuation,72.0,allow_wider_trend_target,B,stop_loss,12,setup=breakout|trigger=legacy|side=short|trend=trend|dir=down|structure=breakdown_continuation|vol=low|entry_trend=trend|entry_dir=down|entry_vol=low|vr=2.71553|vol_state=surge|candle=indecision|prev_candle=bear_rejection|liq=none|pos=0.139205|prev_pos=0.011364|quality=68.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.017|rr=1.7|policy=allow_wider_trend_target|risk_grade=B,1.7,0.017
AAVEUSDT,short,2026-03-18T00:30:00,2026-03-18T03:15:00,119.35,121.4803975,121.4803975,-1.0,candle_exit_simulator,breakout,breakout,trend,low,breakdown_continuation,78.0,allow_wider_trend_target,A,stop_loss,11,setup=breakout|trigger=legacy|side=short|trend=trend|dir=down|structure=breakdown_continuation|vol=low|entry_trend=trend|entry_dir=down|entry_vol=low|vr=1.257519|vol_state=above_average|candle=bull_rejection|prev_candle=indecision|liq=none|pos=0.15625|prev_pos=0.139205|quality=70.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.01785|rr=1.85|policy=allow_wider_trend_target|risk_grade=A,1.85,0.01785
