symbol,trades,winrate,avg_r,pf,total_r,score,coin_class,allowed_setups,risk_multiplier,reason
ONDOUSDT,778,0.5141,0.0888,1.2658,69.0926,12.3035,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
PYTHUSDT,730,0.4863,0.1066,1.2939,77.8371,11.6543,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
INJUSDT,693,0.482,0.1027,1.3119,71.1535,11.0579,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
ARUSDT,720,0.4903,0.085,1.2367,61.1843,7.8984,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
TONUSDT,785,0.4739,0.0549,1.1657,43.0765,5.5332,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
IMXUSDT,714,0.4776,0.044,1.1182,31.44,3.4908,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
RENDERUSDT,700,0.4771,0.034,1.0991,23.825,3.0445,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
JUPUSDT,749,0.466,0.0326,1.091,24.3912,2.8381,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
TAOUSDT,662,0.4668,0.0511,1.128,33.7961,2.2485,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
OPUSDT,741,0.4818,0.0168,1.0465,12.4278,1.5652,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
LINKUSDT,699,0.4907,0.0154,1.0583,10.7466,1.5548,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
XRPUSDT,803,0.5156,0.0131,1.0539,10.5135,1.2305,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
NEARUSDT,701,0.4836,0.0133,1.044,9.3421,1.0566,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SANDUSDT,684,0.4898,0.0233,1.0731,15.9702,0.6,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
UNIUSDT,652,0.5046,0.0157,1.0514,10.2227,-0.0223,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
ARBUSDT,688,0.4535,0.0114,1.0332,7.8516,-0.6193,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
BCHUSDT,819,0.4994,0.0198,1.0904,16.2134,-0.7087,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SOLUSDT,682,0.4677,0.0002,1.0006,0.1225,-2.51,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
DOGEUSDT,627,0.4306,-0.0095,0.9658,-5.9621,-3.9332,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
POLUSDT,716,0.4637,-0.0145,0.9481,-10.3987,-4.5358,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
ETHUSDT,632,0.4668,-0.037,0.87,-23.4041,-7.337,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
FETUSDT,708,0.4421,-0.0411,0.9005,-29.0883,-8.1333,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
FILUSDT,609,0.4236,-0.0376,0.8983,-22.8873,-8.318,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
AAVEUSDT,718,0.4638,-0.0337,0.9158,-24.1709,-9.1567,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
LDOUSDT,671,0.4158,-0.0463,0.8897,-31.046,-9.3161,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
BNBUSDT,1012,0.4526,-0.0566,0.7868,-57.3014,-11.0493,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
PENDLEUSDT,787,0.4269,-0.0794,0.8278,-62.5159,-12.1569,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
BTCUSDT,770,0.4649,-0.0653,0.75,-50.2909,-12.7023,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
LTCUSDT,894,0.443,-0.072,0.7218,-64.4105,-14.2759,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
API3USDT,647,0.4142,-0.0856,0.7628,-55.3878,-15.6109,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
MANAUSDT,699,0.4192,-0.1099,0.679,-76.8289,-17.6633,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
