scope,setup_type,reason,count,pct_of_scope
all,all,structure_skip,9493,95.3112
all,all,setup_filtered,261,2.6205
all,all,quality_skip,202,2.0281
all,all,allowed_full_balanced,2,0.0201
all,all,volume_ratio_filtered,1,0.01
all,all,candle_type_filtered,1,0.01
setup,breakout,quality_skip,50,0.5716
setup,breakout,setup_filtered,76,0.8689
setup,breakout,structure_skip,8621,98.5595
setup,ignition,setup_filtered,79,42.0213
setup,ignition,structure_skip,109,57.9787
setup,liquidity_reclaim,quality_skip,90,14.3312
setup,liquidity_reclaim,setup_filtered,58,9.2357
setup,liquidity_reclaim,structure_skip,480,76.4331
setup,pullback,allowed_full_balanced,1,2.0408
setup,pullback,candle_type_filtered,1,2.0408
setup,pullback,structure_skip,47,95.9184
setup,pullback_resumption,volume_ratio_filtered,1,100.0
setup,pullback_resumption_strict,allowed_full_balanced,1,100.0
setup,range_rotation,quality_skip,62,19.7452
setup,range_rotation,setup_filtered,27,8.5987
setup,range_rotation,structure_skip,225,71.6561
setup,watch_impulse,setup_filtered,21,65.625
setup,watch_impulse,structure_skip,11,34.375
