symbol,trades,winrate,avg_r,pf,total_r,score,coin_class,allowed_setups,risk_multiplier,reason
BCHUSDT,707,0.4936,0.0437,1.1578,30.8709,2.1475,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
XRPUSDT,758,0.4974,0.007,1.0266,5.3359,0.1807,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
LTCUSDT,750,0.5027,0.0016,1.0066,1.2186,0.076,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
ONDOUSDT,744,0.4476,0.0094,1.0204,6.9598,-0.6235,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
ETHUSDT,608,0.4836,0.0104,1.0391,6.3204,-1.3943,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
DOGEUSDT,622,0.455,0.0045,1.0151,2.8056,-1.5424,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
TAOUSDT,708,0.4548,0.0146,1.0356,10.3525,-1.6753,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
PYTHUSDT,723,0.444,0.0027,1.0059,1.968,-2.1156,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SANDUSDT,625,0.4688,0.0244,1.0652,15.2721,-2.2017,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
BTCUSDT,948,0.4947,-0.0043,0.9817,-4.0474,-3.8414,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
JUPUSDT,763,0.4312,-0.0105,0.9767,-8.03,-3.951,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SOLUSDT,687,0.4658,-0.0134,0.9586,-9.1934,-4.7306,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
FETUSDT,709,0.4217,-0.013,0.9704,-9.2002,-4.8882,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
IMXUSDT,766,0.4504,-0.0202,0.9537,-15.4775,-4.9339,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
TONUSDT,729,0.4239,-0.0228,0.9495,-16.6545,-6.1258,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
INJUSDT,736,0.4049,-0.0245,0.9523,-18.0222,-6.2917,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
POLUSDT,645,0.4357,-0.0256,0.9141,-16.5254,-6.772,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
NEARUSDT,678,0.4204,-0.0226,0.9508,-15.3396,-7.2421,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
LINKUSDT,694,0.4683,-0.0428,0.8663,-29.6697,-7.4676,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
OPUSDT,703,0.4296,-0.0509,0.8851,-35.7538,-7.8465,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
RENDERUSDT,703,0.4282,-0.0488,0.8908,-34.2906,-7.9793,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
FILUSDT,649,0.4268,-0.043,0.8953,-27.9197,-8.1357,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
BNBUSDT,982,0.4582,-0.0411,0.8539,-40.3412,-8.8135,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
ARBUSDT,674,0.4407,-0.0554,0.8714,-37.33,-9.4527,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
AAVEUSDT,623,0.4318,-0.0358,0.9081,-22.282,-10.8281,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
API3USDT,619,0.3974,-0.0909,0.7932,-56.2923,-13.0671,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
UNIUSDT,616,0.4237,-0.0755,0.8118,-46.4802,-13.1465,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
ARUSDT,696,0.3937,-0.1261,0.755,-87.778,-16.1059,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
MANAUSDT,638,0.4107,-0.1145,0.7038,-73.0499,-16.7014,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
LDOUSDT,583,0.3859,-0.1175,0.755,-68.5295,-18.2991,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
PENDLEUSDT,715,0.3594,-0.1616,0.71,-115.5211,-20.5328,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
