symbol,side,entry_time,exit_time,entry,stop,exit,r_mult,source,kind,setup_type,trend_context,volatility_regime,structure_type,confidence_hint,target_policy,risk_grade,exit_reason,bars_held,risk_plan_reason,target_rr,stop_pct
AAVEUSDT,long,2026-04-16T13:00:00,2026-04-16T13:45:00,107.76,105.92808,105.92808,-1.0,candle_exit_simulator,breakout,breakout,trend,low,breakout_continuation,74.0,allow_wider_trend_target,B,stop_loss,3,setup=breakout|trigger=legacy|side=long|trend=trend|dir=up|structure=breakout_continuation|vol=low|entry_trend=trend|entry_dir=up|entry_vol=low|vr=2.049567|vol_state=surge|candle=bull_impulse|prev_candle=neutral|liq=none|pos=0.901639|prev_pos=0.609836|quality=72.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.017|rr=1.7|policy=allow_wider_trend_target|risk_grade=B,1.7,0.017
AAVEUSDT,long,2026-04-16T13:15:00,2026-04-16T13:45:00,108.43,106.58669,106.58669,-1.0,candle_exit_simulator,breakout,breakout,trend,low,breakout_continuation,74.0,allow_wider_trend_target,B,stop_loss,2,setup=breakout|trigger=legacy|side=long|trend=trend|dir=up|structure=breakout_continuation|vol=low|entry_trend=trend|entry_dir=up|entry_vol=low|vr=2.053547|vol_state=surge|candle=bull_impulse|prev_candle=bull_impulse|liq=none|pos=0.968839|prev_pos=0.901639|quality=72.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.017|rr=1.7|policy=allow_wider_trend_target|risk_grade=B,1.7,0.017
AAVEUSDT,long,2026-04-16T13:30:00,2026-04-16T13:45:00,108.03,106.19349,106.19349,-1.0,candle_exit_simulator,breakout,breakout,trend,low,breakout_continuation,72.0,allow_wider_trend_target,B,stop_loss,1,setup=breakout|trigger=legacy|side=long|trend=trend|dir=up|structure=breakout_continuation|vol=low|entry_trend=trend|entry_dir=up|entry_vol=low|vr=1.987137|vol_state=surge|candle=neutral|prev_candle=bull_impulse|liq=none|pos=0.855524|prev_pos=0.968839|quality=68.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.017|rr=1.7|policy=allow_wider_trend_target|risk_grade=B,1.7,0.017
AAVEUSDT,long,2026-04-16T13:45:00,2026-04-16T14:00:00,104.84,103.592404,103.592404,-1.0,candle_exit_simulator,range_rotation,range_rotation,range,low,range_rotation,60.0,range_mid_or_opposite_boundary,C,stop_loss,1,setup=range_rotation|trigger=legacy|side=long|trend=range|dir=neutral|structure=range_rotation|vol=low|entry_trend=range|entry_dir=neutral|entry_vol=low|vr=6.995704|vol_state=surge|candle=bear_impulse|prev_candle=neutral|liq=none|pos=0.131455|prev_pos=0.855524|quality=59.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.0119|rr=1.2|policy=range_mid_or_opposite_boundary|risk_grade=C,1.2,0.0119
AAVEUSDT,short,2026-04-16T14:30:00,2026-04-16T15:15:00,105.33,107.099544,107.099544,-1.0,candle_exit_simulator,pullback,pullback,trend,normal,trend_pullback,85.0,normal_target,A,stop_loss,3,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=down|entry_vol=normal|vr=0.980391|vol_state=normal|candle=bull_impulse|prev_candle=indecision|liq=none|pos=0.421622|prev_pos=0.25045|quality=76.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A,1.75,0.0168
AAVEUSDT,short,2026-04-16T14:45:00,2026-04-16T15:30:00,105.88,107.658784,107.658784,-1.0,candle_exit_simulator,pullback,pullback,trend,normal,trend_pullback,85.0,normal_target,A,stop_loss,3,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=down|entry_vol=normal|vr=0.66787|vol_state=normal|candle=bull_impulse|prev_candle=bull_impulse|liq=none|pos=0.520721|prev_pos=0.421622|quality=76.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A,1.75,0.0168
AAVEUSDT,long,2026-04-16T15:45:00,2026-04-16T18:45:00,109.83,107.52357,114.0968955,1.85,candle_exit_simulator,breakout,breakout,trend,normal,breakout_continuation,93.0,allow_wider_trend_target,A,take_profit,12,setup=breakout|trigger=legacy|side=long|trend=trend|dir=up|structure=breakout_continuation|vol=normal|entry_trend=trend|entry_dir=up|entry_vol=normal|vr=1.317949|vol_state=above_average|candle=bull_impulse|prev_candle=bull_impulse|liq=none|pos=0.988439|prev_pos=0.967085|quality=80.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.021|rr=1.85|policy=allow_wider_trend_target|risk_grade=A,1.85,0.021
AAVEUSDT,long,2026-04-16T16:00:00,2026-04-16T18:45:00,109.52,107.22008,113.774852,1.85,candle_exit_simulator,breakout,breakout,trend,normal,breakout_continuation,92.0,allow_wider_trend_target,A,take_profit,11,setup=breakout|trigger=legacy|side=long|trend=trend|dir=up|structure=breakout_continuation|vol=normal|entry_trend=trend|entry_dir=up|entry_vol=normal|vr=1.662949|vol_state=above_average|candle=bear_rejection|prev_candle=bull_impulse|liq=none|pos=0.861478|prev_pos=0.988439|quality=76.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.021|rr=1.85|policy=allow_wider_trend_target|risk_grade=A,1.85,0.021
AAVEUSDT,long,2026-04-16T17:30:00,2026-04-16T19:30:00,111.69,109.34451,116.0291565,1.85,candle_exit_simulator,breakout,breakout,trend,normal,breakout_continuation,93.0,allow_wider_trend_target,A,take_profit,8,setup=breakout|trigger=legacy|side=long|trend=trend|dir=up|structure=breakout_continuation|vol=normal|entry_trend=trend|entry_dir=up|entry_vol=normal|vr=1.438295|vol_state=above_average|candle=bull_impulse|prev_candle=bull_impulse|liq=none|pos=0.966667|prev_pos=0.973615|quality=80.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.021|rr=1.85|policy=allow_wider_trend_target|risk_grade=A,1.85,0.021
AAVEUSDT,short,2026-04-16T18:00:00,2026-04-16T18:45:00,111.94,113.938129,113.938129,-1.0,candle_exit_simulator,liquidity_reclaim,liquidity_reclaim,trend,normal,liquidity_reclaim,87.0,normal_target,B,stop_loss,3,setup=liquidity_reclaim|trigger=legacy|side=short|trend=trend|dir=up|structure=liquidity_reclaim|vol=normal|entry_trend=trend|entry_dir=up|entry_vol=normal|vr=1.053352|vol_state=normal|candle=bear_rejection|prev_candle=bull_rejection|liq=high_sweep_reject|pos=0.908629|prev_pos=0.983871|quality=71.0|ctx4h_trend=|ctx4h_dir=|ctx4h_vol=|ctx4h_vol_state=|ctx1d_trend=|ctx1d_dir=|ctx1d_vol=|ctx1d_vol_state=|ctx_align=fallback_entry|stop_pct=0.01785|rr=1.5|policy=normal_target|risk_grade=B,1.5,0.01785
