symbol,side,entry_time,exit_time,entry,stop,exit,r_mult,source,kind,setup_type,trend_context,volatility_regime,structure_type,confidence_hint,target_policy,risk_grade,exit_reason,bars_held,risk_plan_reason,target_rr,stop_pct
BTCUSDT,short,2026-06-20T16:00:00,2026-06-21T00:00:00,63973.9,65048.66152,64235.0,-0.242938,candle_exit_simulator,pullback,pullback,trend,normal,trend_pullback,85.0,normal_target,A,time_stop,32,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=up|entry_vol=low|vr=0.760982|vol_state=normal|candle=bear_impulse|prev_candle=neutral|liq=none|pos=0.678464|prev_pos=0.812586|quality=76.0|ctx4h_trend=range|ctx4h_dir=neutral|ctx4h_vol=normal|ctx4h_vol_state=surge|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=normal|ctx_align=daily_only|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A,1.75,0.0168
BTCUSDT,short,2026-06-22T00:15:00,2026-06-22T01:15:00,63698.9,64769.04152,64769.04152,-1.0,candle_exit_simulator,pullback,pullback,trend,normal,trend_pullback,85.0,normal_target,A,stop_loss,4,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=down|entry_vol=low|vr=1.194682|vol_state=normal|candle=bull_impulse|prev_candle=bull_impulse|liq=none|pos=0.428623|prev_pos=0.234852|quality=76.0|ctx4h_trend=range|ctx4h_dir=neutral|ctx4h_vol=low|ctx4h_vol_state=surge|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=dry|ctx_align=daily_only|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A,1.75,0.0168
BTCUSDT,short,2026-06-22T07:00:00,2026-06-22T13:30:00,64184.8,65263.10464,65263.10464,-1.0,candle_exit_simulator,pullback,pullback,trend,normal,trend_pullback,85.0,normal_target,A,stop_loss,26,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=up|entry_vol=low|vr=0.968097|vol_state=normal|candle=bull_impulse|prev_candle=indecision|liq=none|pos=0.615306|prev_pos=0.472385|quality=76.0|ctx4h_trend=range|ctx4h_dir=neutral|ctx4h_vol=normal|ctx4h_vol_state=surge|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=dry|ctx_align=daily_only|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A,1.75,0.0168
BTCUSDT,short,2026-06-22T10:00:00,2026-06-22T13:30:00,64186.9,65265.23992,65265.23992,-1.0,candle_exit_simulator,pullback,pullback,trend,normal,trend_pullback,81.0,normal_target,A,stop_loss,14,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=up|entry_vol=low|vr=0.720973|vol_state=normal|candle=neutral|prev_candle=bull_rejection|liq=none|pos=0.616645|prev_pos=0.570663|quality=72.0|ctx4h_trend=range|ctx4h_dir=neutral|ctx4h_vol=normal|ctx4h_vol_state=normal|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=dry|ctx_align=daily_only|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A,1.75,0.0168
BNBUSDT,short,2026-07-01T11:15:00,2026-07-01T14:15:00,543.62,552.752816,552.752816,-1.0,candle_exit_simulator,pullback,pullback,trend,normal,trend_pullback,96.0,normal_target,A,stop_loss,12,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=down|entry_vol=low|vr=2.629064|vol_state=surge|candle=bull_impulse|prev_candle=neutral|liq=none|pos=0.393146|prev_pos=0.206854|quality=83.0|ctx4h_trend=trend|ctx4h_dir=down|ctx4h_vol=normal|ctx4h_vol_state=normal|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=normal|ctx_align=aligned|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A,1.75,0.0168
BNBUSDT,short,2026-07-01T11:30:00,2026-07-01T14:15:00,543.17,552.295256,552.295256,-1.0,candle_exit_simulator,pullback,pullback,trend,normal,trend_pullback,90.0,normal_target,A,stop_loss,11,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=down|entry_vol=low|vr=0.771987|vol_state=normal|candle=neutral|prev_candle=bull_impulse|liq=none|pos=0.365109|prev_pos=0.393146|quality=77.0|ctx4h_trend=trend|ctx4h_dir=down|ctx4h_vol=normal|ctx4h_vol_state=normal|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=normal|ctx_align=aligned|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A,1.75,0.0168
BTCUSDT,short,2026-07-01T12:00:00,2026-07-01T13:45:00,58422.9,59404.40472,59404.40472,-1.0,candle_exit_simulator,pullback,pullback,trend,normal,trend_pullback,98.0,normal_target,A,stop_loss,7,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=down|entry_vol=low|vr=2.397232|vol_state=surge|candle=neutral|prev_candle=neutral|liq=none|pos=0.394033|prev_pos=0.494869|quality=83.0|ctx4h_trend=trend|ctx4h_dir=down|ctx4h_vol=normal|ctx4h_vol_state=dry|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=normal|ctx_align=aligned|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A,1.75,0.0168
BTCUSDT,short,2026-07-01T12:15:00,2026-07-01T14:00:00,58526.0,59509.2368,59509.2368,-1.0,candle_exit_simulator,pullback,pullback,trend,normal,trend_pullback,94.0,normal_target,A,stop_loss,7,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=down|entry_vol=low|vr=1.168695|vol_state=normal|candle=bull_impulse|prev_candle=neutral|liq=none|pos=0.455187|prev_pos=0.394033|quality=81.0|ctx4h_trend=trend|ctx4h_dir=down|ctx4h_vol=normal|ctx4h_vol_state=dry|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=normal|ctx_align=aligned|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A,1.75,0.0168
BTCUSDT,short,2026-07-01T12:45:00,2026-07-01T13:45:00,58495.6,59478.32608,59478.32608,-1.0,candle_exit_simulator,pullback,pullback,trend,normal,trend_pullback,100.0,normal_target,A,stop_loss,4,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=down|entry_vol=low|vr=1.779377|vol_state=above_average|candle=neutral|prev_candle=bear_impulse|liq=none|pos=0.437155|prev_pos=0.364434|quality=85.0|ctx4h_trend=trend|ctx4h_dir=down|ctx4h_vol=normal|ctx4h_vol_state=dry|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=normal|ctx_align=aligned|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A,1.75,0.0168
RENDERUSDT,short,2026-07-13T00:15:00,2026-07-13T08:15:00,1.536,1.5618048,1.517,0.736297,candle_exit_simulator,pullback_resumption_strict,pullback_resumption_strict,trend,normal,trend_pullback,100.0,normal_target,A,time_stop,32,setup=pullback_resumption_strict|trigger=two_bar_strict|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=down|entry_vol=low|vr=2.207762|vol_state=surge|candle=bear_impulse|prev_candle=bull_impulse|liq=none|pos=0.375|prev_pos=0.625|quality=83.0|ctx4h_trend=trend|ctx4h_dir=down|ctx4h_vol=normal|ctx4h_vol_state=normal|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=normal|ctx_align=aligned|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A,1.75,0.0168
