symbol,side,entry_time,priority_score,quality_decision,structure_decision,confidence_hint,risk_plan_reason
BTCUSDT,short,2026-06-20T16:00:00,94.560982,WATCH,TAKE,85.0,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=up|entry_vol=low|vr=0.760982|vol_state=normal|candle=bear_impulse|prev_candle=neutral|liq=none|pos=0.678464|prev_pos=0.812586|quality=76.0|ctx4h_trend=range|ctx4h_dir=neutral|ctx4h_vol=normal|ctx4h_vol_state=surge|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=normal|ctx_align=daily_only|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A
BTCUSDT,short,2026-06-22T00:15:00,94.994682,WATCH,TAKE,85.0,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=down|entry_vol=low|vr=1.194682|vol_state=normal|candle=bull_impulse|prev_candle=bull_impulse|liq=none|pos=0.428623|prev_pos=0.234852|quality=76.0|ctx4h_trend=range|ctx4h_dir=neutral|ctx4h_vol=low|ctx4h_vol_state=surge|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=dry|ctx_align=daily_only|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A
BTCUSDT,short,2026-06-22T07:00:00,94.768097,WATCH,TAKE,85.0,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=up|entry_vol=low|vr=0.968097|vol_state=normal|candle=bull_impulse|prev_candle=indecision|liq=none|pos=0.615306|prev_pos=0.472385|quality=76.0|ctx4h_trend=range|ctx4h_dir=neutral|ctx4h_vol=normal|ctx4h_vol_state=surge|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=dry|ctx_align=daily_only|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A
BTCUSDT,short,2026-06-22T10:00:00,90.320973,WATCH,TAKE,81.0,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=up|entry_vol=low|vr=0.720973|vol_state=normal|candle=neutral|prev_candle=bull_rejection|liq=none|pos=0.616645|prev_pos=0.570663|quality=72.0|ctx4h_trend=range|ctx4h_dir=neutral|ctx4h_vol=normal|ctx4h_vol_state=normal|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=dry|ctx_align=daily_only|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A
BNBUSDT,short,2026-07-01T11:15:00,107.779064,WATCH,TAKE,96.0,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=down|entry_vol=low|vr=2.629064|vol_state=surge|candle=bull_impulse|prev_candle=neutral|liq=none|pos=0.393146|prev_pos=0.206854|quality=83.0|ctx4h_trend=trend|ctx4h_dir=down|ctx4h_vol=normal|ctx4h_vol_state=normal|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=normal|ctx_align=aligned|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A
BNBUSDT,short,2026-07-01T11:30:00,99.621987,WATCH,TAKE,90.0,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=down|entry_vol=low|vr=0.771987|vol_state=normal|candle=neutral|prev_candle=bull_impulse|liq=none|pos=0.365109|prev_pos=0.393146|quality=77.0|ctx4h_trend=trend|ctx4h_dir=down|ctx4h_vol=normal|ctx4h_vol_state=normal|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=normal|ctx_align=aligned|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A
BTCUSDT,short,2026-07-01T12:00:00,109.547232,WATCH,TAKE,98.0,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=down|entry_vol=low|vr=2.397232|vol_state=surge|candle=neutral|prev_candle=neutral|liq=none|pos=0.394033|prev_pos=0.494869|quality=83.0|ctx4h_trend=trend|ctx4h_dir=down|ctx4h_vol=normal|ctx4h_vol_state=dry|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=normal|ctx_align=aligned|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A
BTCUSDT,short,2026-07-01T12:15:00,104.218695,WATCH,TAKE,94.0,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=down|entry_vol=low|vr=1.168695|vol_state=normal|candle=bull_impulse|prev_candle=neutral|liq=none|pos=0.455187|prev_pos=0.394033|quality=81.0|ctx4h_trend=trend|ctx4h_dir=down|ctx4h_vol=normal|ctx4h_vol_state=dry|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=normal|ctx_align=aligned|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A
BTCUSDT,short,2026-07-01T12:45:00,111.029377,WATCH,TAKE,100.0,setup=pullback|trigger=legacy|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=down|entry_vol=low|vr=1.779377|vol_state=above_average|candle=neutral|prev_candle=bear_impulse|liq=none|pos=0.437155|prev_pos=0.364434|quality=85.0|ctx4h_trend=trend|ctx4h_dir=down|ctx4h_vol=normal|ctx4h_vol_state=dry|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=normal|ctx_align=aligned|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A
RENDERUSDT,short,2026-07-13T00:15:00,106.357762,WATCH,WATCH,100.0,setup=pullback_resumption_strict|trigger=two_bar_strict|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=down|entry_vol=low|vr=2.207762|vol_state=surge|candle=bear_impulse|prev_candle=bull_impulse|liq=none|pos=0.375|prev_pos=0.625|quality=83.0|ctx4h_trend=trend|ctx4h_dir=down|ctx4h_vol=normal|ctx4h_vol_state=normal|ctx1d_trend=trend|ctx1d_dir=down|ctx1d_vol=normal|ctx1d_vol_state=normal|ctx_align=aligned|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A
BTCUSDT,short,2026-07-13T15:30:00,92.572356,WATCH,WATCH,87.0,setup=pullback_resumption|trigger=two_bar_balanced|side=short|trend=trend|dir=down|structure=trend_pullback|vol=normal|entry_trend=trend|entry_dir=down|entry_vol=low|vr=0.772356|vol_state=normal|candle=neutral|prev_candle=indecision|liq=none|pos=0.475432|prev_pos=0.560065|quality=76.0|ctx4h_trend=trend|ctx4h_dir=down|ctx4h_vol=normal|ctx4h_vol_state=normal|ctx1d_trend=range|ctx1d_dir=neutral|ctx1d_vol=normal|ctx1d_vol_state=dry|ctx_align=h4_only|stop_pct=0.0168|rr=1.75|policy=normal_target|risk_grade=A
