group,value,candidates,allowed,blocked,allowed_pct,avg_risk_pct,min_risk_pct,max_risk_pct,full_risk_trades,reduced_risk_trades,zero_risk_trades
all,all,20292,0,20292,0.0,2.2e-05,0.0,0.005,0,90,20202
allowed,blocked,20292,0,20292,0.0,2.2e-05,0.0,0.005,0,90,20202
reason,context_alignment_filtered,32,0,32,0.0,0.0,0.0,0.0,0,0,32
reason,quality_skip,1590,0,1590,0.0,0.0,0.0,0.0,0,0,1590
reason,setup_filtered,2295,0,2295,0.0,0.000196,0.0,0.005,0,90,2205
reason,structure_skip,16373,0,16373,0.0,0.0,0.0,0.0,0,0,16373
reason,volume_ratio_filtered,2,0,2,0.0,0.0,0.0,0.0,0,0,2
universe_state,allowed,20292,0,20292,0.0,2.2e-05,0.0,0.005,0,90,20202
quality_decision,SKIP,1590,0,1590,0.0,0.0,0.0,0.0,0,0,1590
quality_decision,TAKE,224,0,224,0.0,0.002009,0.0,0.005,0,90,134
quality_decision,WATCH,18478,0,18478,0.0,0.0,0.0,0.0,0,0,18478
structure_decision,SKIP,17462,0,17462,0.0,0.0,0.0,0.0,0,0,17462
structure_decision,TAKE,724,0,724,0.0,0.000622,0.0,0.005,0,90,634
structure_decision,WATCH,2106,0,2106,0.0,0.0,0.0,0.0,0,0,2106
quality_x_structure,SKIP+SKIP,1089,0,1089,0.0,0.0,0.0,0.0,0,0,1089
quality_x_structure,SKIP+TAKE,156,0,156,0.0,0.0,0.0,0.0,0,0,156
quality_x_structure,SKIP+WATCH,345,0,345,0.0,0.0,0.0,0.0,0,0,345
quality_x_structure,TAKE+SKIP,82,0,82,0.0,0.0,0.0,0.0,0,0,82
quality_x_structure,TAKE+TAKE,90,0,90,0.0,0.005,0.005,0.005,0,90,0
quality_x_structure,TAKE+WATCH,52,0,52,0.0,0.0,0.0,0.0,0,0,52
quality_x_structure,WATCH+SKIP,16291,0,16291,0.0,0.0,0.0,0.0,0,0,16291
quality_x_structure,WATCH+TAKE,478,0,478,0.0,0.0,0.0,0.0,0,0,478
quality_x_structure,WATCH+WATCH,1709,0,1709,0.0,0.0,0.0,0.0,0,0,1709
risk_bucket,reduced_risk,90,0,90,0.0,0.005,0.005,0.005,0,90,0
risk_bucket,zero_risk,20202,0,20202,0.0,0.0,0.0,0.0,0,0,20202
target_policy,allow_wider_trend_target,545,0,545,0.0,0.000569,0.0,0.005,0,62,483
target_policy,no_trade,17462,0,17462,0.0,0.0,0.0,0.0,0,0,17462
target_policy,normal_target,1985,0,1985,0.0,0.0,0.0,0.0,0,0,1985
target_policy,range_mid_or_opposite_boundary,300,0,300,0.0,0.000467,0.0,0.005,0,28,272
setup_type,breakout,16603,0,16603,0.0,9e-06,0.0,0.005,0,30,16573
setup_type,ignition,377,0,377,0.0,0.0,0.0,0.0,0,0,377
setup_type,liquidity_reclaim,1307,0,1307,0.0,1.9e-05,0.0,0.005,0,5,1302
setup_type,pullback,554,0,554,0.0,0.000244,0.0,0.005,0,27,527
setup_type,pullback_resumption,46,0,46,0.0,0.0,0.0,0.0,0,0,46
setup_type,pullback_resumption_strict,5,0,5,0.0,0.0,0.0,0.0,0,0,5
setup_type,range_rotation,1359,0,1359,0.0,0.000103,0.0,0.005,0,28,1331
setup_type,watch_impulse,41,0,41,0.0,0.0,0.0,0.0,0,0,41
trend_context,range,702,0,702,0.0,0.000199,0.0,0.005,0,28,674
trend_context,trend,19590,0,19590,0.0,1.6e-05,0.0,0.005,0,62,19528
volatility_regime,high,15729,0,15729,0.0,0.0,0.0,0.0,0,0,15729
volatility_regime,low,1269,0,1269,0.0,0.00028,0.0,0.005,0,71,1198
volatility_regime,normal,3294,0,3294,0.0,2.9e-05,0.0,0.005,0,19,3275
