symbol,trades,winrate,avg_r,pf,total_r,score,coin_class,allowed_setups,risk_multiplier,reason
BCHUSDT,578,0.5087,0.1019,1.2906,58.902,7.3171,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
XRPUSDT,669,0.5247,0.0219,1.0893,14.6836,3.1324,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
AAVEUSDT,662,0.4411,0.023,1.057,15.2332,0.0105,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
LTCUSDT,655,0.5145,0.0159,1.063,10.3977,-1.2272,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
BNBUSDT,878,0.4772,-0.0084,0.9673,-7.4149,-2.2044,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
FETUSDT,657,0.417,-0.0136,0.9695,-8.9591,-4.1953,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
NEARUSDT,697,0.429,0.0009,1.0017,0.6032,-4.6087,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
TAOUSDT,663,0.448,-0.0329,0.9237,-21.8425,-5.5664,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SOLUSDT,649,0.4561,-0.0319,0.9066,-20.6765,-5.7522,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
BTCUSDT,818,0.4621,-0.0106,0.9579,-8.6639,-7.2336,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
INJUSDT,687,0.4178,-0.0448,0.9096,-30.7774,-7.6573,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
ETHUSDT,563,0.4192,-0.0211,0.9268,-11.9051,-7.8784,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
FILUSDT,666,0.4505,-0.0711,0.8327,-47.3502,-9.6319,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
PENDLEUSDT,673,0.4264,-0.0738,0.8504,-49.6813,-10.0346,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
UNIUSDT,652,0.4218,-0.0623,0.8614,-40.6241,-10.3586,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
POLUSDT,602,0.4468,-0.0398,0.8731,-23.9493,-10.9153,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
IMXUSDT,667,0.4393,-0.0771,0.8218,-51.4012,-11.3285,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
RENDERUSDT,654,0.3838,-0.0889,0.8188,-58.1516,-12.6056,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SANDUSDT,625,0.3888,-0.0608,0.8521,-38.0017,-14.2752,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
API3USDT,636,0.4245,-0.0889,0.7794,-56.5635,-14.6102,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
PYTHUSDT,649,0.3837,-0.1055,0.8061,-68.4465,-14.7014,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
ONDOUSDT,627,0.4099,-0.0948,0.8008,-59.4432,-14.9671,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
LINKUSDT,613,0.4225,-0.1005,0.7135,-61.6237,-15.507,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
DOGEUSDT,614,0.4446,-0.0716,0.7885,-43.9531,-15.8985,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
OPUSDT,659,0.3961,-0.1205,0.7559,-79.4031,-15.9648,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
LDOUSDT,622,0.3923,-0.1106,0.77,-68.771,-16.7027,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
JUPUSDT,744,0.375,-0.1254,0.7616,-93.2889,-16.728,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
MANAUSDT,644,0.4193,-0.1245,0.7149,-80.1967,-16.8101,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
ARBUSDT,661,0.3812,-0.1923,0.6264,-127.0819,-24.1564,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
ARUSDT,634,0.3391,-0.2402,0.5586,-152.2734,-27.8693,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
TONUSDT,474,0.3397,-0.2424,0.5699,-114.9133,-29.5677,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
