group,value,candidates,allowed,blocked,allowed_pct,avg_risk_pct,min_risk_pct,max_risk_pct,full_risk_trades,reduced_risk_trades,zero_risk_trades
all,all,20292,20,20272,0.1,2.7e-05,0.0,0.005,0,110,20182
allowed,allowed,20,20,0,100.0,0.005,0.005,0.005,0,20,0
allowed,blocked,20272,0,20272,0.0,2.2e-05,0.0,0.005,0,90,20182
reason,allowed_full_balanced,20,20,0,100.0,0.005,0.005,0.005,0,20,0
reason,candle_type_filtered,14,0,14,0.0,0.0,0.0,0.0,0,0,14
reason,quality_skip,1590,0,1590,0.0,0.0,0.0,0.0,0,0,1590
reason,setup_filtered,2295,0,2295,0.0,0.000196,0.0,0.005,0,90,2205
reason,structure_skip,16373,0,16373,0.0,0.0,0.0,0.0,0,0,16373
universe_state,allowed,20292,20,20272,0.1,2.7e-05,0.0,0.005,0,110,20182
quality_decision,SKIP,1590,0,1590,0.0,0.0,0.0,0.0,0,0,1590
quality_decision,TAKE,224,4,220,1.79,0.002098,0.0,0.005,0,94,130
quality_decision,WATCH,18478,16,18462,0.09,4e-06,0.0,0.005,0,16,18462
structure_decision,SKIP,17462,0,17462,0.0,0.0,0.0,0.0,0,0,17462
structure_decision,TAKE,724,1,723,0.14,0.000628,0.0,0.005,0,91,633
structure_decision,WATCH,2106,19,2087,0.9,4.5e-05,0.0,0.005,0,19,2087
quality_x_structure,SKIP+SKIP,1089,0,1089,0.0,0.0,0.0,0.0,0,0,1089
quality_x_structure,SKIP+TAKE,156,0,156,0.0,0.0,0.0,0.0,0,0,156
quality_x_structure,SKIP+WATCH,345,0,345,0.0,0.0,0.0,0.0,0,0,345
quality_x_structure,TAKE+SKIP,82,0,82,0.0,0.0,0.0,0.0,0,0,82
quality_x_structure,TAKE+TAKE,90,0,90,0.0,0.005,0.005,0.005,0,90,0
quality_x_structure,TAKE+WATCH,52,4,48,7.69,0.000385,0.0,0.005,0,4,48
quality_x_structure,WATCH+SKIP,16291,0,16291,0.0,0.0,0.0,0.0,0,0,16291
quality_x_structure,WATCH+TAKE,478,1,477,0.21,1e-05,0.0,0.005,0,1,477
quality_x_structure,WATCH+WATCH,1709,15,1694,0.88,4.4e-05,0.0,0.005,0,15,1694
risk_bucket,reduced_risk,110,20,90,18.18,0.005,0.005,0.005,0,110,0
risk_bucket,zero_risk,20182,0,20182,0.0,0.0,0.0,0.0,0,0,20182
target_policy,allow_wider_trend_target,545,1,544,0.18,0.000578,0.0,0.005,0,63,482
target_policy,no_trade,17462,0,17462,0.0,0.0,0.0,0.0,0,0,17462
target_policy,normal_target,1985,19,1966,0.96,4.8e-05,0.0,0.005,0,19,1966
target_policy,range_mid_or_opposite_boundary,300,0,300,0.0,0.000467,0.0,0.005,0,28,272
setup_type,breakout,16603,0,16603,0.0,9e-06,0.0,0.005,0,30,16573
setup_type,ignition,377,0,377,0.0,0.0,0.0,0.0,0,0,377
setup_type,liquidity_reclaim,1307,0,1307,0.0,1.9e-05,0.0,0.005,0,5,1302
setup_type,pullback,554,0,554,0.0,0.000244,0.0,0.005,0,27,527
setup_type,pullback_resumption,46,20,26,43.48,0.002174,0.0,0.005,0,20,26
setup_type,pullback_resumption_strict,5,0,5,0.0,0.0,0.0,0.0,0,0,5
setup_type,range_rotation,1359,0,1359,0.0,0.000103,0.0,0.005,0,28,1331
setup_type,watch_impulse,41,0,41,0.0,0.0,0.0,0.0,0,0,41
trend_context,range,702,0,702,0.0,0.000199,0.0,0.005,0,28,674
trend_context,trend,19590,20,19570,0.1,2.1e-05,0.0,0.005,0,82,19508
volatility_regime,high,15729,0,15729,0.0,0.0,0.0,0.0,0,0,15729
volatility_regime,low,1269,15,1254,1.18,0.000339,0.0,0.005,0,86,1183
volatility_regime,normal,3294,5,3289,0.15,3.6e-05,0.0,0.005,0,24,3270
