scope,setup_type,reason,count,pct_of_scope
all,all,structure_skip,8066,86.443
all,all,setup_filtered,841,9.013
all,all,quality_skip,423,4.5333
all,all,allowed_full_balanced,1,0.0107
setup,breakout,quality_skip,109,1.3407
setup,breakout,setup_filtered,542,6.6667
setup,breakout,structure_skip,7479,91.9926
setup,ignition,setup_filtered,11,5.6995
setup,ignition,structure_skip,182,94.3005
setup,liquidity_reclaim,quality_skip,266,38.1636
setup,liquidity_reclaim,setup_filtered,232,33.2855
setup,liquidity_reclaim,structure_skip,199,28.5509
setup,pullback,setup_filtered,12,33.3333
setup,pullback,structure_skip,24,66.6667
setup,pullback_resumption,allowed_full_balanced,1,100.0
setup,pullback_resumption_strict,setup_filtered,1,100.0
setup,range_rotation,quality_skip,48,19.2
setup,range_rotation,setup_filtered,22,8.8
setup,range_rotation,structure_skip,180,72.0
setup,watch_impulse,setup_filtered,21,91.3043
setup,watch_impulse,structure_skip,2,8.6957
