fold,validation_start,validation_end,plans,generated_trades,ranking_lookback_days,reason_counts
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,193,193,30,"{""60m_trend_filter"": 1283, ""below_15m_ema200"": 25149, ""center_ban"": 148539, ""cooldown"": 94, ""insufficient_future_bars"": 3072, ""minimum_rr"": 16, ""no_lower_boundary_touch"": 57574, ""plan_created"": 193, ""range_too_narrow"": 7504, ""volume_filter"": 896}"
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,352,352,30,"{""60m_trend_filter"": 748, ""below_15m_ema200"": 22372, ""center_ban"": 150863, ""cooldown"": 109, ""insufficient_future_bars"": 3072, ""minimum_rr"": 36, ""no_lower_boundary_touch"": 55036, ""plan_created"": 352, ""range_too_narrow"": 10150, ""volume_filter"": 1550}"
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,312,312,30,"{""60m_trend_filter"": 708, ""below_15m_ema200"": 19624, ""center_ban"": 150402, ""cooldown"": 83, ""insufficient_future_bars"": 3072, ""minimum_rr"": 37, ""no_lower_boundary_touch"": 51973, ""plan_created"": 312, ""range_too_narrow"": 16745, ""volume_filter"": 1364}"
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,354,354,30,"{""60m_trend_filter"": 875, ""below_15m_ema200"": 18634, ""center_ban"": 153639, ""cooldown"": 112, ""insufficient_future_bars"": 3072, ""minimum_rr"": 58, ""no_lower_boundary_touch"": 47831, ""plan_created"": 354, ""range_too_narrow"": 18170, ""volume_filter"": 1543}"
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,292,292,30,"{""60m_trend_filter"": 610, ""below_15m_ema200"": 20481, ""center_ban"": 145834, ""cooldown"": 85, ""insufficient_future_bars"": 3072, ""minimum_rr"": 36, ""no_lower_boundary_touch"": 51994, ""plan_created"": 292, ""range_too_narrow"": 20665, ""volume_filter"": 1251}"
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,218,218,30,"{""60m_trend_filter"": 1050, ""below_15m_ema200"": 21780, ""center_ban"": 148773, ""cooldown"": 69, ""insufficient_future_bars"": 3072, ""minimum_rr"": 37, ""no_lower_boundary_touch"": 54953, ""plan_created"": 218, ""range_too_narrow"": 13370, ""volume_filter"": 966}"
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,211,211,30,"{""60m_trend_filter"": 902, ""below_15m_ema200"": 20324, ""center_ban"": 139565, ""cooldown"": 70, ""insufficient_future_bars"": 3072, ""minimum_rr"": 15, ""no_lower_boundary_touch"": 57167, ""plan_created"": 211, ""range_too_narrow"": 21979, ""volume_filter"": 1015}"
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,238,238,30,"{""60m_trend_filter"": 520, ""below_15m_ema200"": 20236, ""center_ban"": 141197, ""cooldown"": 63, ""insufficient_future_bars"": 3072, ""invalid_range"": 2198, ""minimum_rr"": 37, ""no_lower_boundary_touch"": 57075, ""plan_created"": 238, ""range_too_narrow"": 18312, ""volume_filter"": 1340}"
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,338,338,30,"{""60m_trend_filter"": 534, ""below_15m_ema200"": 17347, ""center_ban"": 130053, ""cooldown"": 91, ""insufficient_future_bars"": 3072, ""invalid_range"": 7152, ""minimum_rr"": 58, ""no_lower_boundary_touch"": 54239, ""plan_created"": 338, ""range_too_narrow"": 29705, ""volume_filter"": 1731}"
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,185,185,30,"{""60m_trend_filter"": 702, ""below_15m_ema200"": 16262, ""center_ban"": 134152, ""cooldown"": 41, ""indicator_warmup"": 8345, ""insufficient_future_bars"": 2880, ""minimum_rr"": 33, ""no_lower_boundary_touch"": 52764, ""plan_created"": 185, ""range_too_narrow"": 27941, ""volume_filter"": 983}"
