fold,candidate,state_counts,blocked_allowed_signals,risk_adjusted_allowed_signals,avg_risk_multiplier,missing_generated_sources
fold_01,RANK_CONTROL_NO_OVERLAY,"{'bottom': 23, 'lower_mid': 12, 'missing': 101, 'top': 28, 'upper_mid': 29}",0,40,1.0,0
fold_01,RANK_SYMBOL_SOFT_RISK,"{'bottom': 23, 'lower_mid': 12, 'missing': 101, 'top': 28, 'upper_mid': 29}",0,40,0.856477,0
fold_01,RANK_SECTOR_SOFT_RISK,"{'bottom': 23, 'lower_mid': 12, 'missing': 101, 'top': 28, 'upper_mid': 29}",0,40,0.856477,0
fold_01,RANK_HYBRID_SOFT_RISK,"{'bottom': 23, 'lower_mid': 12, 'missing': 101, 'top': 28, 'upper_mid': 29}",0,40,0.81658,0
fold_01,RANK_HYBRID_BOTTOM_QUARTILE_GATE,"{'bottom': 23, 'lower_mid': 12, 'missing': 101, 'top': 28, 'upper_mid': 29}",4,36,0.895337,0
fold_02,RANK_CONTROL_NO_OVERLAY,"{'bottom': 47, 'lower_mid': 89, 'missing': 68, 'top': 68, 'upper_mid': 80}",0,60,1.0,0
fold_02,RANK_SYMBOL_SOFT_RISK,"{'bottom': 47, 'lower_mid': 89, 'missing': 68, 'top': 68, 'upper_mid': 80}",0,60,0.857813,0
fold_02,RANK_SECTOR_SOFT_RISK,"{'bottom': 47, 'lower_mid': 89, 'missing': 68, 'top': 68, 'upper_mid': 80}",0,60,0.875568,0
fold_02,RANK_HYBRID_SOFT_RISK,"{'bottom': 47, 'lower_mid': 89, 'missing': 68, 'top': 68, 'upper_mid': 80}",0,60,0.815341,0
fold_02,RANK_HYBRID_BOTTOM_QUARTILE_GATE,"{'bottom': 47, 'lower_mid': 89, 'missing': 68, 'top': 68, 'upper_mid': 80}",3,57,0.961364,0
fold_03,RANK_CONTROL_NO_OVERLAY,"{'bottom': 55, 'lower_mid': 57, 'missing': 77, 'top': 52, 'upper_mid': 71}",0,182,1.0,0
fold_03,RANK_SYMBOL_SOFT_RISK,"{'bottom': 55, 'lower_mid': 57, 'missing': 77, 'top': 52, 'upper_mid': 71}",0,182,0.850801,0
fold_03,RANK_SECTOR_SOFT_RISK,"{'bottom': 55, 'lower_mid': 57, 'missing': 77, 'top': 52, 'upper_mid': 71}",0,182,0.860417,0
fold_03,RANK_HYBRID_SOFT_RISK,"{'bottom': 55, 'lower_mid': 57, 'missing': 77, 'top': 52, 'upper_mid': 71}",0,182,0.801603,0
fold_03,RANK_HYBRID_BOTTOM_QUARTILE_GATE,"{'bottom': 55, 'lower_mid': 57, 'missing': 77, 'top': 52, 'upper_mid': 71}",22,160,0.950641,0
