fold,validation_start,validation_end,candidate,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,risk_state_counts
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,FLAT72_15M_BASELINE_CONTROL,OK,research_500,500.0,20.0,0.005,0.005,121,13,13,0,0,0,0,0,0,0,480.15,-3.97,6.1,0.3566,15.38,9,9,2,3.225,0.005,13,10.10752564,28.34373352,-18.23620788,0.3566053016117405,"{""adverse"": 85, ""neutral"": 97, ""supportive"": 11}"
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,FLAT72_15M_BASELINE_CONTROL,OK,research_500,500.0,20.0,0.005,0.005,281,29,26,3,0,3,0,0,0,0,475.9,-4.82,11.31,0.6746,30.77,6,17,5,16.1375,0.005,26,33.22033489,49.24696522,-16.02663033,0.6745661329663593,"{""adverse"": 144, ""neutral"": 193, ""supportive"": 15}"
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,FLAT72_15M_BASELINE_CONTROL,OK,research_500,500.0,20.0,0.005,0.005,163,49,33,16,0,10,1,0,5,0,461.24,-7.75,18.11,0.5676,24.24,16,18,7,18.4455,0.005,33,38.7665764,68.29993633,-29.53335993,0.5675931558175197,"{""adverse"": 100, ""neutral"": 195, ""supportive"": 17}"
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,FLAT72_15M_BASELINE_CONTROL,OK,research_500,500.0,20.0,0.005,0.005,288,34,28,6,0,5,1,0,0,0,479.63,-4.07,10.37,0.7647,32.14,5,17,7,15.5801,0.005,28,40.87820138,53.45642136,-12.57821998,0.7647014210636274,"{""adverse"": 131, ""neutral"": 211, ""supportive"": 12}"
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,FLAT72_15M_BASELINE_CONTROL,OK,research_500,500.0,20.0,0.005,0.005,191,92,52,40,0,37,1,0,2,0,431.61,-13.68,21.81,0.5362,25.0,8,20,4,37.5198,0.005,52,57.37081871,106.99968464,-49.62886593,0.5361774560389004,"{""adverse"": 116, ""neutral"": 160, ""supportive"": 16}"
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,FLAT72_15M_BASELINE_CONTROL,OK,research_500,500.0,20.0,0.005,0.005,122,43,34,9,0,7,2,0,0,0,495.41,-0.92,12.81,1.144,41.18,6,18,9,24.6523,0.005,34,61.44180427,53.70869095,7.73311331,1.1439825320048305,"{""adverse"": 81, ""neutral"": 127, ""supportive"": 10}"
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,FLAT72_15M_BASELINE_CONTROL,OK,research_500,500.0,20.0,0.005,0.005,161,106,60,46,0,29,4,0,13,0,449.96,-10.01,18.25,0.7295,31.67,14,28,9,38.6344,0.005,60,82.83026852,113.55146713,-30.72119861,0.7294513282016415,"{""adverse"": 85, ""neutral"": 120, ""supportive"": 6}"
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,FLAT72_15M_BASELINE_CONTROL,OK,research_500,500.0,20.0,0.005,0.005,175,37,15,22,0,19,1,0,2,0,464.32,-7.14,10.36,0.1285,6.67,13,11,1,6.7723,0.005,15,4.76286981,37.05895414,-32.29608433,0.12852143083443038,"{""adverse"": 70, ""neutral"": 160, ""supportive"": 8}"
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,FLAT72_15M_BASELINE_CONTROL,OK,research_500,500.0,20.0,0.005,0.005,224,31,25,6,0,5,1,0,0,0,504.77,0.95,7.61,1.2702,40.0,5,15,9,11.8124,0.005,25,50.17674308,39.50273081,10.67401227,1.2702094779632214,"{""adverse"": 100, ""neutral"": 223, ""supportive"": 15}"
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,FLAT72_15M_BASELINE_CONTROL,OK,research_500,500.0,20.0,0.005,0.005,86,45,38,7,0,3,0,0,4,0,466.47,-6.71,14.1,0.678,28.95,10,17,4,19.5972,0.005,38,49.96669675,73.69937233,-23.73267559,0.6779799496962103,"{""adverse"": 79, ""neutral"": 100, ""supportive"": 6}"
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,SOFT_RISK_075_ON_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,121,13,13,0,0,0,0,0,0,0,482.16,-3.57,5.71,0.3829,15.38,9,9,2,3.0284,0.004712,13,10.12819188,26.45250076,-16.32430889,0.3828822070773192,"{""adverse"": 85, ""neutral"": 97, ""supportive"": 11}"
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,SOFT_RISK_075_ON_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,281,29,26,3,0,3,0,0,0,0,479.27,-4.15,10.81,0.7077,30.77,6,17,5,14.7005,0.004712,26,32.37837544,45.75390485,-13.37552941,0.7076636528760675,"{""adverse"": 144, ""neutral"": 193, ""supportive"": 15}"
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,SOFT_RISK_075_ON_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,163,49,35,14,0,10,1,0,3,0,461.49,-7.7,15.57,0.5669,22.86,16,19,8,18.0834,0.004714,35,38.56410892,68.02797007,-29.46386115,0.5668860747002631,"{""adverse"": 100, ""neutral"": 195, ""supportive"": 17}"
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,SOFT_RISK_075_ON_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,288,34,28,6,0,5,1,0,0,0,484.89,-3.02,10.15,0.8311,32.14,5,17,7,14.0307,0.004598,28,39.8386776,47.93732425,-8.09864665,0.831057599063106,"{""adverse"": 131, ""neutral"": 211, ""supportive"": 12}"
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,SOFT_RISK_075_ON_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,191,92,54,38,0,37,1,0,0,0,436.99,-12.6,19.62,0.5494,25.93,8,20,4,35.0584,0.00456,54,55.45686578,100.93524173,-45.47837595,0.5494301577078765,"{""adverse"": 116, ""neutral"": 160, ""supportive"": 16}"
