fold,candidate,validation_start,validation_end,base_plans,generated_trades,overlay_counts
fold_01,FLAT72_15M_BASELINE_CONTROL,2025-01-31T00:00:00,2025-03-23T14:22:30,193,193,"{""adverse"": 85, ""delay_not_requested"": 193, ""neutral"": 97, ""supportive"": 11}"
fold_01,SOFT_RISK_075_ON_ADVERSE,2025-01-31T00:00:00,2025-03-23T14:22:30,193,193,"{""adverse"": 85, ""delay_not_requested"": 193, ""neutral"": 97, ""supportive"": 11}"
fold_01,SOFT_RISK_050_ON_ADVERSE,2025-01-31T00:00:00,2025-03-23T14:22:30,193,193,"{""adverse"": 85, ""delay_not_requested"": 193, ""neutral"": 97, ""supportive"": 11}"
fold_01,SOFT_DELAY_ONE_5M_IF_ADVERSE,2025-01-31T00:00:00,2025-03-23T14:22:30,193,193,"{""adverse"": 85, ""delay_applied"": 68, ""delay_fallback_invalid_levels"": 17, ""delay_not_requested"": 108, ""neutral"": 97, ""supportive"": 11}"
fold_01,SOFT_SUPPORTIVE_110_ADVERSE_060,2025-01-31T00:00:00,2025-03-23T14:22:30,193,193,"{""adverse"": 85, ""delay_not_requested"": 193, ""neutral"": 97, ""supportive"": 11}"
fold_02,FLAT72_15M_BASELINE_CONTROL,2025-03-23T14:22:30,2025-05-14T04:45:00,352,352,"{""adverse"": 144, ""delay_not_requested"": 352, ""neutral"": 193, ""supportive"": 15}"
fold_02,SOFT_RISK_075_ON_ADVERSE,2025-03-23T14:22:30,2025-05-14T04:45:00,352,352,"{""adverse"": 144, ""delay_not_requested"": 352, ""neutral"": 193, ""supportive"": 15}"
fold_02,SOFT_RISK_050_ON_ADVERSE,2025-03-23T14:22:30,2025-05-14T04:45:00,352,352,"{""adverse"": 144, ""delay_not_requested"": 352, ""neutral"": 193, ""supportive"": 15}"
fold_02,SOFT_DELAY_ONE_5M_IF_ADVERSE,2025-03-23T14:22:30,2025-05-14T04:45:00,352,352,"{""adverse"": 144, ""delay_applied"": 132, ""delay_fallback_invalid_levels"": 12, ""delay_not_requested"": 208, ""neutral"": 193, ""supportive"": 15}"
fold_02,SOFT_SUPPORTIVE_110_ADVERSE_060,2025-03-23T14:22:30,2025-05-14T04:45:00,352,352,"{""adverse"": 144, ""delay_not_requested"": 352, ""neutral"": 193, ""supportive"": 15}"
