fold,validation_start,validation_end,candidate,learning,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,FLAT72_RECOVERED_BASE_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,121,121,77,44,0,31,1,0,12,0,413.39,-17.32,24.74,0.5669,25.97,10,27,7,46.6896,0.005,77,82.82800426,146.09688953,-63.26888527,0.5669388617866745
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,FLAT72_RECOVERED_BASE_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,281,281,129,152,0,101,2,0,49,0,403.64,-19.27,27.99,0.7532,32.56,11,32,11,83.1967,0.005,129,167.1385909,221.89980256,-54.76121166,0.7532164921914484
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,FLAT72_RECOVERED_BASE_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,163,163,91,72,0,41,3,0,18,10,384.51,-23.1,31.76,0.5358,24.18,12,27,8,62.4728,0.005,91,97.25903165,181.51066968,-84.25163803,0.5358309339189155
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,FLAT72_RECOVERED_BASE_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,288,288,115,173,0,91,2,0,26,54,315.23,-36.95,40.82,0.3158,17.39,21,32,3,69.2927,0.005,115,69.27754777,219.39816623,-150.12061846,0.31576174477677116
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,FLAT72_RECOVERED_BASE_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,191,191,101,90,0,77,4,0,9,0,427.21,-14.56,27.04,0.8415,35.64,10,29,10,86.7331,0.005,101,156.20109389,185.62329318,-29.42219929,0.8414951120351064
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,FLAT72_RECOVERED_BASE_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,122,122,65,57,0,47,1,0,9,0,436.38,-12.72,21.94,0.6779,29.23,9,23,9,46.6818,0.005,65,84.75943124,125.0359161,-40.27648486,0.6778806753163004
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,FLAT72_RECOVERED_BASE_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,161,161,96,65,0,50,5,0,10,0,427.29,-14.54,25.12,0.8035,35.42,10,31,15,79.374,0.005,96,135.01340398,168.03390166,-33.02049768,0.8034890736097785
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,FLAT72_RECOVERED_BASE_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,175,175,80,95,0,72,2,0,19,2,394.23,-21.15,26.97,0.4813,25.0,24,28,7,54.2912,0.005,80,72.94428241,151.5639689,-78.61968649,0.4812771988957247
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,FLAT72_RECOVERED_BASE_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,224,224,114,110,0,62,3,0,10,35,373.72,-25.26,32.96,0.5931,28.07,9,31,9,84.3329,0.005,114,122.58458993,206.69830404,-84.11371412,0.5930604534716132
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,FLAT72_RECOVERED_BASE_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,86,86,64,22,0,15,0,0,5,2,449.54,-10.09,22.17,0.7444,31.25,13,25,11,38.9347,0.005,64,90.24330474,121.23226741,-30.98896267,0.7443835430014001
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,FLAT72_RECOVERED_BASE_SOFT,soft,OK,research_500,500.0,20.0,0.005,0.005,121,13,13,0,0,0,0,0,0,0,480.15,-3.97,6.1,0.3566,15.38,9,9,2,3.225,0.005,13,10.10752564,28.34373352,-18.23620788,0.3566053016117405
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,FLAT72_RECOVERED_BASE_SOFT,soft,OK,research_500,500.0,20.0,0.005,0.005,281,29,26,3,0,3,0,0,0,0,475.9,-4.82,11.31,0.6746,30.77,6,17,5,16.1375,0.005,26,33.22033489,49.24696522,-16.02663033,0.6745661329663593
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,FLAT72_RECOVERED_BASE_SOFT,soft,OK,research_500,500.0,20.0,0.005,0.005,163,49,33,16,0,10,1,0,5,0,461.24,-7.75,18.11,0.5676,24.24,16,18,7,18.4455,0.005,33,38.7665764,68.29993633,-29.53335993,0.5675931558175197
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,FLAT72_RECOVERED_BASE_SOFT,soft,OK,research_500,500.0,20.0,0.005,0.005,288,34,28,6,0,5,1,0,0,0,479.63,-4.07,10.37,0.7647,32.14,5,17,7,15.5801,0.005,28,40.87820138,53.45642136,-12.57821998,0.7647014210636274
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,FLAT72_RECOVERED_BASE_SOFT,soft,OK,research_500,500.0,20.0,0.005,0.005,191,92,52,40,0,37,1,0,2,0,431.61,-13.68,21.81,0.5362,25.0,8,20,4,37.5198,0.005,52,57.37081871,106.99968464,-49.62886593,0.5361774560389004
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,FLAT72_RECOVERED_BASE_SOFT,soft,OK,research_500,500.0,20.0,0.005,0.005,122,43,34,9,0,7,2,0,0,0,495.41,-0.92,12.81,1.144,41.18,6,18,9,24.6523,0.005,34,61.44180427,53.70869095,7.73311331,1.1439825320048305
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,FLAT72_RECOVERED_BASE_SOFT,soft,OK,research_500,500.0,20.0,0.005,0.005,161,106,60,46,0,29,4,0,13,0,449.96,-10.01,18.25,0.7295,31.67,14,28,9,38.6344,0.005,60,82.83026852,113.55146713,-30.72119861,0.7294513282016415
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,FLAT72_RECOVERED_BASE_SOFT,soft,OK,research_500,500.0,20.0,0.005,0.005,175,37,15,22,0,19,1,0,2,0,464.32,-7.14,10.36,0.1285,6.67,13,11,1,6.7723,0.005,15,4.76286981,37.05895414,-32.29608433,0.12852143083443038
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,FLAT72_RECOVERED_BASE_SOFT,soft,OK,research_500,500.0,20.0,0.005,0.005,224,31,25,6,0,5,1,0,0,0,504.77,0.95,7.61,1.2702,40.0,5,15,9,11.8124,0.005,25,50.17674308,39.50273081,10.67401227,1.2702094779632214
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,FLAT72_RECOVERED_BASE_SOFT,soft,OK,research_500,500.0,20.0,0.005,0.005,86,45,38,7,0,3,0,0,4,0,466.47,-6.71,14.1,0.678,28.95,10,17,4,19.5972,0.005,38,49.96669675,73.69937233,-23.73267559,0.6779799496962103
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,FLAT72_NO_60M_FILTER_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,232,232,120,112,0,79,2,0,30,1,379.19,-24.16,29.66,0.6174,28.33,12,32,12,77.6222,0.005,120,132.32633937,214.32480988,-81.99847051,0.6174102729646774
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,FLAT72_NO_60M_FILTER_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,328,328,149,179,0,128,1,0,50,0,407.15,-18.57,27.37,0.8314,34.9,9,32,11,101.018,0.005,149,208.80454988,251.14296201,-42.33841214,0.8314170869131626
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,FLAT72_NO_60M_FILTER_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,243,243,129,114,0,79,3,0,23,9,346.84,-30.63,38.12,0.5405,24.81,12,30,4,83.8738,0.005,129,130.84764949,242.06943789,-111.2217884,0.5405376681751798
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,FLAT72_NO_60M_FILTER_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,324,324,130,194,0,99,2,0,37,56,311.18,-37.76,41.22,0.3808,20.0,19,32,5,79.7863,0.005,130,91.59392482,240.5235098,-148.92958499,0.380810694520952
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,FLAT72_NO_60M_FILTER_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,247,247,122,125,0,68,2,0,22,33,381.13,-23.77,37.45,0.7066,31.97,9,30,10,104.9584,0.005,122,159.9232223,226.3139517,-66.39072941,0.7066432320732683
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,FLAT72_NO_60M_FILTER_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,258,258,91,167,0,107,1,0,40,19,400.14,-19.97,27.73,0.5955,28.57,8,31,9,65.6281,0.005,91,98.69075715,165.73870148,-67.04794433,0.5954599394641709
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,FLAT72_NO_60M_FILTER_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,189,189,114,75,0,59,5,0,11,0,405.23,-18.95,28.72,0.7477,34.21,9,31,11,91.175,0.005,114,145.73146273,194.91038321,-49.17892048,0.7476844503125841
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,FLAT72_NO_60M_FILTER_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,238,238,115,123,0,100,3,0,19,1,379.49,-24.1,30.87,0.6057,28.7,17,32,11,77.7171,0.005,115,125.4050477,207.0557779,-81.6507302,0.6056582867151539
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,FLAT72_NO_60M_FILTER_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,258,258,122,136,0,85,3,0,33,15,358.83,-28.23,37.59,0.5595,27.05,12,30,6,88.4508,0.005,122,123.11288317,220.05821853,-96.94533536,0.5594559657507645
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,FLAT72_NO_60M_FILTER_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,149,149,90,59,0,36,0,0,14,9,387.7,-22.46,32.84,0.5334,24.44,13,29,8,60.0446,0.005,90,94.04368683,176.32310129,-82.27941447,0.5333599859375786
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,FLAT72_FIXED_VOLUME_18_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,125,125,80,45,0,35,3,0,7,0,422.56,-15.49,22.37,0.635,27.5,7,27,8,45.3585,0.005,80,95.27263915,150.030326,-54.75768685,0.6350225430183661
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,FLAT72_FIXED_VOLUME_18_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,286,286,129,157,0,93,5,0,59,0,419.61,-16.08,23.73,0.8267,34.11,10,31,12,83.4049,0.005,129,184.52304509,223.21445227,-38.69140718,0.8266626251583834
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,FLAT72_FIXED_VOLUME_18_RAW,raw,OK,research_500,500.0,20.0,0.005,0.005,162,162,83,79,0,25,0,0,50,4,393.07,-21.39,30.18,0.5252,24.1,11,26,6,56.1908,0.005,83,87.20559832,166.03749493,-78.83189661,0.5252162974253204
