fold,validation_start,validation_end,candidate,learning,plans,generated_trades,reason_counts
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,FLAT72_RECOVERED_BASE_RAW,raw,193,193,"{""60m_trend_filter"": 1283, ""below_15m_ema200"": 25149, ""center_ban"": 148539, ""cooldown"": 94, ""insufficient_future_bars"": 3072, ""minimum_rr"": 16, ""no_lower_boundary_touch"": 57574, ""plan_created"": 193, ""range_too_narrow"": 7504, ""volume_filter"": 896}"
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,FLAT72_RECOVERED_BASE_SOFT,soft,193,193,"{""60m_trend_filter"": 1283, ""below_15m_ema200"": 25149, ""center_ban"": 148539, ""cooldown"": 94, ""insufficient_future_bars"": 3072, ""minimum_rr"": 16, ""no_lower_boundary_touch"": 57574, ""plan_created"": 193, ""range_too_narrow"": 7504, ""volume_filter"": 896}"
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,FLAT72_NO_60M_FILTER_RAW,raw,426,426,"{""below_15m_ema200"": 25149, ""center_ban"": 148539, ""cooldown"": 182, ""insufficient_future_bars"": 3072, ""minimum_rr"": 34, ""no_lower_boundary_touch"": 57574, ""plan_created"": 426, ""range_too_narrow"": 7504, ""volume_filter"": 1840}"
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,FLAT72_FIXED_VOLUME_18_RAW,raw,199,199,"{""60m_trend_filter"": 1283, ""below_15m_ema200"": 25149, ""center_ban"": 148539, ""cooldown"": 104, ""insufficient_future_bars"": 3072, ""minimum_rr"": 16, ""no_lower_boundary_touch"": 57574, ""plan_created"": 199, ""range_too_narrow"": 7504, ""volume_filter"": 880}"
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,FLAT72_FIXED_RR17_RAW,raw,207,207,"{""60m_trend_filter"": 1283, ""below_15m_ema200"": 25149, ""center_ban"": 148539, ""cooldown"": 96, ""insufficient_future_bars"": 3072, ""no_lower_boundary_touch"": 57574, ""plan_created"": 207, ""range_too_narrow"": 7504, ""volume_filter"": 896}"
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,FLAT72_RANGE_ONLY_RAW,raw,4207,4207,"{""center_ban"": 152504, ""cooldown"": 2746, ""insufficient_future_bars"": 3072, ""minimum_rr"": 285, ""no_lower_boundary_touch"": 58037, ""plan_created"": 4207, ""range_too_narrow"": 7739, ""volume_filter"": 20530}"
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,FLAT72_RECOVERED_BASE_RAW,raw,352,352,"{""60m_trend_filter"": 748, ""below_15m_ema200"": 22372, ""center_ban"": 150863, ""cooldown"": 109, ""insufficient_future_bars"": 3072, ""minimum_rr"": 36, ""no_lower_boundary_touch"": 55036, ""plan_created"": 352, ""range_too_narrow"": 10150, ""volume_filter"": 1550}"
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,FLAT72_RECOVERED_BASE_SOFT,soft,352,352,"{""60m_trend_filter"": 748, ""below_15m_ema200"": 22372, ""center_ban"": 150863, ""cooldown"": 109, ""insufficient_future_bars"": 3072, ""minimum_rr"": 36, ""no_lower_boundary_touch"": 55036, ""plan_created"": 352, ""range_too_narrow"": 10150, ""volume_filter"": 1550}"
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,FLAT72_NO_60M_FILTER_RAW,raw,473,473,"{""below_15m_ema200"": 22372, ""center_ban"": 150863, ""cooldown"": 151, ""insufficient_future_bars"": 3072, ""minimum_rr"": 47, ""no_lower_boundary_touch"": 55036, ""plan_created"": 473, ""range_too_narrow"": 10150, ""volume_filter"": 2124}"
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,FLAT72_FIXED_VOLUME_18_RAW,raw,359,359,"{""60m_trend_filter"": 748, ""below_15m_ema200"": 22372, ""center_ban"": 150863, ""cooldown"": 120, ""insufficient_future_bars"": 3072, ""minimum_rr"": 38, ""no_lower_boundary_touch"": 55036, ""plan_created"": 359, ""range_too_narrow"": 10150, ""volume_filter"": 1530}"
