fold,validation_start,validation_end,candidate,learning,plans,generated_trades,reason_counts
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,FLAT72_EXIT_SOFT_STRUCT_24H_CONTROL,soft,193,193,"{""60m_trend_filter"": 1283, ""below_15m_ema200"": 25149, ""center_ban"": 148539, ""cooldown"": 94, ""insufficient_future_bars"": 3072, ""minimum_rr"": 16, ""no_lower_boundary_touch"": 57574, ""plan_created"": 193, ""range_too_narrow"": 7504, ""volume_filter"": 896}"
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,FLAT72_EXIT_SOFT_STRUCT_8H,soft,196,196,"{""60m_trend_filter"": 1283, ""below_15m_ema200"": 25216, ""center_ban"": 149728, ""cooldown"": 94, ""insufficient_future_bars"": 1024, ""minimum_rr"": 17, ""no_lower_boundary_touch"": 57850, ""plan_created"": 196, ""range_too_narrow"": 7989, ""volume_filter"": 923}"
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,FLAT72_EXIT_SOFT_STRUCT_12H,soft,195,195,"{""60m_trend_filter"": 1283, ""below_15m_ema200"": 25210, ""center_ban"": 149426, ""cooldown"": 94, ""insufficient_future_bars"": 1536, ""minimum_rr"": 17, ""no_lower_boundary_touch"": 57781, ""plan_created"": 195, ""range_too_narrow"": 7868, ""volume_filter"": 910}"
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,FLAT72_EXIT_SOFT_STRUCT_16H,soft,194,194,"{""60m_trend_filter"": 1283, ""below_15m_ema200"": 25178, ""center_ban"": 149176, ""cooldown"": 94, ""insufficient_future_bars"": 2048, ""minimum_rr"": 16, ""no_lower_boundary_touch"": 57695, ""plan_created"": 194, ""range_too_narrow"": 7728, ""volume_filter"": 908}"
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,FLAT72_EXIT_SOFT_FIXED_RR10_8H,soft,211,211,"{""60m_trend_filter"": 1283, ""below_15m_ema200"": 25216, ""center_ban"": 149728, ""cooldown"": 96, ""insufficient_future_bars"": 1024, ""no_lower_boundary_touch"": 57850, ""plan_created"": 211, ""range_too_narrow"": 7989, ""volume_filter"": 923}"
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,FLAT72_EXIT_SOFT_FIXED_RR12_12H,soft,210,210,"{""60m_trend_filter"": 1283, ""below_15m_ema200"": 25210, ""center_ban"": 149426, ""cooldown"": 96, ""insufficient_future_bars"": 1536, ""no_lower_boundary_touch"": 57781, ""plan_created"": 210, ""range_too_narrow"": 7868, ""volume_filter"": 910}"
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,FLAT72_EXIT_SOFT_COMPRESSED_STRUCT_12H,soft,209,209,"{""60m_trend_filter"": 1283, ""below_15m_ema200"": 25210, ""center_ban"": 149426, ""cooldown"": 96, ""insufficient_future_bars"": 1536, ""minimum_rr"": 1, ""no_lower_boundary_touch"": 57781, ""plan_created"": 209, ""range_too_narrow"": 7868, ""volume_filter"": 910}"
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,FLAT72_EXIT_SOFT_COMPRESSED_STRUCT_16H,soft,206,206,"{""60m_trend_filter"": 1283, ""below_15m_ema200"": 25178, ""center_ban"": 149176, ""cooldown"": 96, ""insufficient_future_bars"": 2048, ""minimum_rr"": 2, ""no_lower_boundary_touch"": 57695, ""plan_created"": 206, ""range_too_narrow"": 7728, ""volume_filter"": 908}"
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,FLAT72_EXIT_SOFT_STRUCT_24H_CONTROL,soft,352,352,"{""60m_trend_filter"": 748, ""below_15m_ema200"": 22372, ""center_ban"": 150863, ""cooldown"": 109, ""insufficient_future_bars"": 3072, ""minimum_rr"": 36, ""no_lower_boundary_touch"": 55036, ""plan_created"": 352, ""range_too_narrow"": 10150, ""volume_filter"": 1550}"
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,FLAT72_EXIT_SOFT_STRUCT_8H,soft,352,352,"{""60m_trend_filter"": 748, ""below_15m_ema200"": 22373, ""center_ban"": 152726, ""cooldown"": 109, ""insufficient_future_bars"": 1024, ""minimum_rr"": 36, ""no_lower_boundary_touch"": 55209, ""plan_created"": 352, ""range_too_narrow"": 10161, ""volume_filter"": 1550}"
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,FLAT72_EXIT_SOFT_STRUCT_12H,soft,352,352,"{""60m_trend_filter"": 748, ""below_15m_ema200"": 22373, ""center_ban"": 152215, ""cooldown"": 109, ""insufficient_future_bars"": 1536, ""minimum_rr"": 36, ""no_lower_boundary_touch"": 55209, ""plan_created"": 352, ""range_too_narrow"": 10160, ""volume_filter"": 1550}"
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,FLAT72_EXIT_SOFT_STRUCT_16H,soft,352,352,"{""60m_trend_filter"": 748, ""below_15m_ema200"": 22372, ""center_ban"": 151707, ""cooldown"": 109, ""insufficient_future_bars"": 2048, ""minimum_rr"": 36, ""no_lower_boundary_touch"": 55206, ""plan_created"": 352, ""range_too_narrow"": 10160, ""volume_filter"": 1550}"
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,FLAT72_EXIT_SOFT_FIXED_RR10_8H,soft,386,386,"{""60m_trend_filter"": 748, ""below_15m_ema200"": 22373, ""center_ban"": 152726, ""cooldown"": 111, ""insufficient_future_bars"": 1024, ""no_lower_boundary_touch"": 55209, ""plan_created"": 386, ""range_too_narrow"": 10161, ""volume_filter"": 1550}"
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,FLAT72_EXIT_SOFT_FIXED_RR12_12H,soft,386,386,"{""60m_trend_filter"": 748, ""below_15m_ema200"": 22373, ""center_ban"": 152215, ""cooldown"": 111, ""insufficient_future_bars"": 1536, ""no_lower_boundary_touch"": 55209, ""plan_created"": 386, ""range_too_narrow"": 10160, ""volume_filter"": 1550}"
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,FLAT72_EXIT_SOFT_COMPRESSED_STRUCT_12H,soft,376,376,"{""60m_trend_filter"": 748, ""below_15m_ema200"": 22373, ""center_ban"": 152215, ""cooldown"": 111, ""insufficient_future_bars"": 1536, ""minimum_rr"": 10, ""no_lower_boundary_touch"": 55209, ""plan_created"": 376, ""range_too_narrow"": 10160, ""volume_filter"": 1550}"
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,FLAT72_EXIT_SOFT_COMPRESSED_STRUCT_16H,soft,370,370,"{""60m_trend_filter"": 748, ""below_15m_ema200"": 22372, ""center_ban"": 151707, ""cooldown"": 111, ""insufficient_future_bars"": 2048, ""minimum_rr"": 16, ""no_lower_boundary_touch"": 55206, ""plan_created"": 370, ""range_too_narrow"": 10160, ""volume_filter"": 1550}"
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,FLAT72_EXIT_SOFT_STRUCT_24H_CONTROL,soft,312,312,"{""60m_trend_filter"": 708, ""below_15m_ema200"": 19624, ""center_ban"": 150402, ""cooldown"": 83, ""insufficient_future_bars"": 3072, ""minimum_rr"": 37, ""no_lower_boundary_touch"": 51973, ""plan_created"": 312, ""range_too_narrow"": 16745, ""volume_filter"": 1364}"
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,FLAT72_EXIT_SOFT_STRUCT_8H,soft,317,317,"{""60m_trend_filter"": 708, ""below_15m_ema200"": 19949, ""center_ban"": 151199, ""cooldown"": 86, ""insufficient_future_bars"": 1024, ""minimum_rr"": 38, ""no_lower_boundary_touch"": 52682, ""plan_created"": 317, ""range_too_narrow"": 16923, ""volume_filter"": 1394}"
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,FLAT72_EXIT_SOFT_STRUCT_12H,soft,317,317,"{""60m_trend_filter"": 708, ""below_15m_ema200"": 19802, ""center_ban"": 151155, ""cooldown"": 86, ""insufficient_future_bars"": 1536, ""minimum_rr"": 38, ""no_lower_boundary_touch"": 52393, ""plan_created"": 317, ""range_too_narrow"": 16891, ""volume_filter"": 1394}"
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,FLAT72_EXIT_SOFT_STRUCT_16H,soft,315,315,"{""60m_trend_filter"": 708, ""below_15m_ema200"": 19637, ""center_ban"": 151066, ""cooldown"": 85, ""insufficient_future_bars"": 2048, ""minimum_rr"": 37, ""no_lower_boundary_touch"": 52235, ""plan_created"": 315, ""range_too_narrow"": 16811, ""volume_filter"": 1378}"
