fold,validation_start,validation_end,threshold,mode,guard,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,filter_blocked,cooldown_blocked
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,hard,HIST_HARD_PULLBACK_CONTROL,historical,OK,research_500,500.0,20.0,0.005,0.005,19183,7,7,0,0,0,0,0,0,0,496.62,-0.68,1.99,0.4395,42.86,2,1,0,2.0248,0.005,7,1.85411333,4.21847632,-2.36436299,0.43952204232224273,10546,5
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,hard,HIST_HARD_PULLBACK_CONTROL,historical,OK,research_500,500.0,20.0,0.005,0.005,19465,20,19,1,0,1,0,0,0,0,492.41,-1.52,3.07,0.6364,31.58,6,5,2,5.4918,0.005,19,8.47589252,13.31932993,-4.84343741,0.6363602799118251,9468,19
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,hard,HIST_HARD_PULLBACK_CONTROL,historical,OK,research_500,500.0,20.0,0.005,0.005,20348,27,27,0,0,0,0,0,0,0,492.73,-1.45,4.33,0.8437,51.85,2,3,1,7.7964,0.005,27,18.21678706,21.5911809,-3.37439384,0.8437142528024195,3416,22
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,hard,HIST_HARD_PULLBACK_CONTROL,historical,OK,research_500,500.0,20.0,0.005,0.005,19495,20,20,0,0,0,0,0,0,0,505.57,1.11,2.86,1.7178,60.0,4,5,3,5.8129,0.005,20,20.28023973,11.80562088,8.47461885,1.717846094580509,7123,23
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,hard,HIST_HARD_PULLBACK_CONTROL,historical,OK,research_500,500.0,20.0,0.005,0.005,18926,32,29,3,0,3,0,0,0,0,492.61,-1.48,4.22,0.8482,51.72,2,7,3,8.3884,0.005,29,17.84046374,21.03221005,-3.19174631,0.8482448443403979,2672,40
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,hard,HIST_HARD_PULLBACK_CONTROL,historical,OK,research_500,500.0,20.0,0.005,0.005,17212,7,7,0,0,0,0,0,0,0,500.89,0.18,2.55,1.3612,71.43,2,1,1,2.0311,0.005,7,7.19190857,5.28337074,1.90853783,1.361234887178016,4319,13
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,hard,HIST_HARD_PULLBACK_CONTROL,historical,OK,research_500,500.0,20.0,0.005,0.005,16714,35,32,3,0,3,0,0,0,0,496.94,-0.61,3.64,1.085,53.12,3,6,3,9.1883,0.005,32,19.55120356,18.02003155,1.53117201,1.0849705511463503,1573,33
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,hard,HIST_HARD_PULLBACK_CONTROL,historical,OK,research_500,500.0,20.0,0.005,0.005,17941,22,19,3,0,3,0,0,0,0,512.39,2.48,3.44,2.5373,63.16,2,6,5,5.5177,0.005,19,25.00476139,9.85484882,15.14991256,2.5373054258044294,7980,27
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,hard,HIST_HARD_PULLBACK_CONTROL,historical,OK,research_500,500.0,20.0,0.005,0.005,18206,23,22,1,0,1,0,0,0,0,500.08,0.02,3.86,1.2167,50.0,4,8,5,6.3781,0.005,22,18.34654793,15.07852651,3.26802141,1.2167334727207522,932,32
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,hard,HIST_HARD_PULLBACK_CONTROL,historical,OK,research_500,500.0,20.0,0.005,0.005,17044,12,12,0,0,0,0,0,0,0,499.66,-0.07,3.29,1.1353,50.0,3,5,3,3.4646,0.005,12,11.65979723,10.26989691,1.38990032,1.1353373197715402,1896,6
