fold,validation_start,validation_end,threshold,mode,guard,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,filter_blocked,cooldown_blocked
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,hard,HIST_HARD_REGIME_ROUTER_ALL,historical,OK,research_500,500.0,20.0,0.005,0.005,19183,1747,303,1444,0,1330,0,0,15,99,427.8,-14.44,16.95,0.8644,42.24,9,32,12,53.7545,0.005,303,288.93596968,334.25998358,-45.3240139,0.8644049059689483,0,8811
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,hard,HIST_HARD_REGIME_ROUTER_ALL,historical,OK,research_500,500.0,20.0,0.005,0.005,19465,1636,285,1351,0,1300,0,0,22,29,426.97,-14.61,18.27,0.8241,45.61,10,32,14,52.7509,0.005,285,218.54508375,265.19863258,-46.65354883,0.8240807338295972,0,7871
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,hard,HIST_HARD_REGIME_ROUTER_ALL,historical,OK,research_500,500.0,20.0,0.005,0.005,20348,868,211,657,0,648,0,0,9,0,414.34,-17.13,18.45,0.661,40.76,6,32,12,43.4759,0.005,211,124.64159125,188.56503088,-63.92343963,0.6610005612778542,0,2597
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,hard,HIST_HARD_REGIME_ROUTER_ALL,historical,OK,research_500,500.0,20.0,0.005,0.005,19495,1229,243,986,0,986,0,0,0,0,443.81,-11.24,15.71,0.8437,43.21,13,32,12,46.6336,0.005,243,177.40257752,210.27159371,-32.8690162,0.8436830405085629,0,5937
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,hard,HIST_HARD_REGIME_ROUTER_ALL,historical,OK,research_500,500.0,20.0,0.005,0.005,18926,722,219,503,0,503,0,0,0,0,463.67,-7.27,15.64,0.93,47.49,8,32,16,48.7642,0.005,219,158.78449193,170.72868636,-11.94419443,0.9300399090366941,0,2022
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,hard,HIST_HARD_REGIME_ROUTER_ALL,historical,OK,research_500,500.0,20.0,0.005,0.005,17212,1159,293,866,0,853,0,0,13,0,455.08,-8.98,13.06,0.9477,46.76,8,32,13,60.3125,0.005,293,267.3332495,282.09655638,-14.76330687,0.9476657671270424,0,3180
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,hard,HIST_HARD_REGIME_ROUTER_ALL,historical,OK,research_500,500.0,20.0,0.005,0.005,16714,634,228,406,0,403,0,0,3,0,450.63,-9.87,11.24,0.8853,48.25,9,32,16,52.2078,0.005,228,179.58709972,202.85391777,-23.26681805,0.8853025945784752,0,1007
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,hard,HIST_HARD_REGIME_ROUTER_ALL,historical,OK,research_500,500.0,20.0,0.005,0.005,17941,1385,239,1146,0,1004,0,0,44,98,441.89,-11.62,20.41,0.8568,43.51,10,32,12,46.1364,0.005,239,209.75795497,244.80315748,-35.04520251,0.856843339471732,0,6644
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,hard,HIST_HARD_REGIME_ROUTER_ALL,historical,OK,research_500,500.0,20.0,0.005,0.005,18206,293,173,120,0,120,0,0,0,0,424.85,-15.03,17.57,0.6111,39.88,9,31,13,36.7204,0.005,173,89.25851727,146.05185073,-56.79333346,0.6111426649223448,0,694
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,hard,HIST_HARD_REGIME_ROUTER_ALL,historical,OK,research_500,500.0,20.0,0.005,0.005,17044,698,228,470,0,422,0,0,5,43,389.82,-22.04,25.46,0.6094,39.91,19,31,9,44.0982,0.005,228,137.53086163,225.6642636,-88.13340197,0.609449008166464,0,1216
