fold,validation_start,validation_end,threshold,mode,guard,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,filter_blocked,cooldown_blocked
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,soft,HIST_SOFT_BREAKOUT,historical,OK,research_500,500.0,20.0,0.005,0.005,19183,2487,372,2115,0,2061,0,0,54,0,477.37,-4.53,12.99,1.0315,44.35,10,32,14,70.5452,0.005,372,414.15578875,401.51139288,12.64439587,1.0314919977187493,2126,14562
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,soft,HIST_SOFT_BREAKOUT,historical,OK,research_500,500.0,20.0,0.005,0.005,19465,2446,354,2092,0,2078,0,0,14,0,497.87,-0.43,8.86,1.0935,49.44,8,32,20,65.8947,0.005,354,360.54190233,329.72065227,30.82125006,1.09347685639206,2377,14600
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,soft,HIST_SOFT_BREAKOUT,historical,OK,research_500,500.0,20.0,0.005,0.005,20348,2464,321,2143,0,2082,0,0,12,49,457.5,-8.5,12.06,0.9537,45.48,8,32,13,59.9357,0.005,321,257.92012399,270.45106027,-12.53093628,0.9536665292974382,2696,15132
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,soft,HIST_SOFT_BREAKOUT,historical,OK,research_500,500.0,20.0,0.005,0.005,19495,2469,321,2148,0,1992,0,0,16,140,375.96,-24.81,26.24,0.6761,39.88,12,32,10,53.2122,0.005,321,203.41120991,300.84342995,-97.43222004,0.6761364539046917,2531,14439
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,soft,HIST_SOFT_BREAKOUT,historical,OK,research_500,500.0,20.0,0.005,0.005,18926,2410,301,2109,0,2098,0,0,11,0,486.95,-2.61,7.57,1.0702,47.18,9,32,18,56.9647,0.005,301,235.2738053,219.84340836,15.43039694,1.0701881264379285,2737,13708
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,soft,HIST_SOFT_BREAKOUT,historical,OK,research_500,500.0,20.0,0.005,0.005,17212,2417,374,2043,0,2021,0,0,22,0,410.87,-17.83,21.66,0.8513,42.51,10,32,12,65.3718,0.005,374,323.20623669,379.65373354,-56.44749684,0.8513184729719845,1898,12891
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,soft,HIST_SOFT_BREAKOUT,historical,OK,research_500,500.0,20.0,0.005,0.005,16714,2373,307,2066,0,1989,0,0,40,37,403.17,-19.37,22.3,0.726,43.65,12,32,11,53.3756,0.005,307,185.8775023,256.02455336,-70.14705107,0.726014360163971,2336,11946
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,soft,HIST_SOFT_BREAKOUT,historical,OK,research_500,500.0,20.0,0.005,0.005,17941,2345,319,2026,0,1865,0,0,34,127,419.31,-16.14,23.59,0.8404,41.38,9,32,11,57.3712,0.005,319,273.89701668,325.90094508,-52.0039284,0.8404302620699529,1954,13619
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,soft,HIST_SOFT_BREAKOUT,historical,OK,research_500,500.0,20.0,0.005,0.005,18206,2342,308,2034,0,2020,0,0,14,0,435.48,-12.9,14.36,0.8454,44.16,8,31,13,57.5465,0.005,308,195.52116031,231.27196444,-35.75080413,0.8454166106404407,3079,12684
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,soft,HIST_SOFT_BREAKOUT,historical,OK,research_500,500.0,20.0,0.005,0.005,17044,2321,343,1978,0,1971,0,0,7,0,440.86,-11.83,18.17,0.9141,44.61,9,31,12,64.8614,0.005,343,284.06301256,310.77319021,-26.71017765,0.9140525035786287,2123,12550
