fold,validation_start,validation_end,threshold,mode,guard,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,filter_blocked,cooldown_blocked
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,soft,HIST_SOFT_IGNITION,historical,OK,research_500,500.0,20.0,0.005,0.005,19183,285,168,117,0,117,0,0,0,0,582.16,16.43,4.03,1.7707,58.33,7,31,21,27.2493,0.005,168,220.07627135,124.28935501,95.78691634,1.770676751317119,18857,33
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,soft,HIST_SOFT_IGNITION,historical,OK,research_500,500.0,20.0,0.005,0.005,19465,315,178,137,0,137,0,0,0,0,485.71,-2.86,8.03,0.9988,50.0,7,32,18,28.2299,0.005,178,141.98205133,142.15528409,-0.17323276,0.9987813836253291,19074,34
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,soft,HIST_SOFT_IGNITION,historical,OK,research_500,500.0,20.0,0.005,0.005,20348,299,165,134,0,134,0,0,0,0,482.18,-3.56,8.85,0.9638,48.48,9,32,16,26.7364,0.005,165,118.34596744,122.79557535,-4.44960792,0.9637641022103591,19957,36
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,soft,HIST_SOFT_IGNITION,historical,OK,research_500,500.0,20.0,0.005,0.005,19495,271,150,121,0,121,0,0,0,0,483.61,-3.28,7.1,0.9638,50.67,6,32,14,24.3203,0.005,150,112.59405992,116.82862513,-4.23456521,0.9637540440047833,19140,28
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,soft,HIST_SOFT_IGNITION,historical,OK,research_500,500.0,20.0,0.005,0.005,18926,244,157,87,0,87,0,0,0,0,445.3,-10.94,14.34,0.6959,36.94,10,32,9,24.1213,0.005,157,97.58727857,140.23096839,-42.64368982,0.6959039054491505,18586,25
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,soft,HIST_SOFT_IGNITION,historical,OK,research_500,500.0,20.0,0.005,0.005,17212,275,149,126,0,126,0,0,0,0,481.34,-3.73,10.5,0.944,44.3,6,28,14,23.1553,0.005,149,119.43327648,126.5187469,-7.08547041,0.9439966756944402,16895,36
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,soft,HIST_SOFT_IGNITION,historical,OK,research_500,500.0,20.0,0.005,0.005,16714,263,151,112,0,112,0,0,0,0,472.35,-5.53,8.01,0.8599,45.7,7,32,12,23.7464,0.005,151,96.85843024,112.63321444,-15.7747842,0.8599455384362648,16373,19
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,soft,HIST_SOFT_IGNITION,historical,OK,research_500,500.0,20.0,0.005,0.005,17941,329,172,157,0,157,0,0,0,0,533.32,6.66,6.94,1.3385,52.33,5,32,20,27.9523,0.005,172,187.01360099,139.71968536,47.29391562,1.3384914266158994,17543,46
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,soft,HIST_SOFT_IGNITION,historical,OK,research_500,500.0,20.0,0.005,0.005,18206,221,155,66,0,66,0,0,0,0,474.07,-5.19,11.19,0.8784,41.94,7,31,14,24.041,0.005,155,100.44811272,114.35297426,-13.90486154,0.8784040237616094,17865,19
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,soft,HIST_SOFT_IGNITION,historical,OK,research_500,500.0,20.0,0.005,0.005,17044,299,168,131,0,131,0,0,0,0,487.38,-2.52,9.24,1.0071,47.62,9,31,13,27.2019,0.005,168,138.62703231,137.64651319,0.98051912,1.0071234577507624,16659,36
