fold,validation_start,validation_end,threshold,mode,guard,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,filter_blocked,cooldown_blocked
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,soft,HIST_SOFT_LIQUIDITY_RECLAIM,historical,OK,research_500,500.0,20.0,0.005,0.005,19183,965,284,681,0,458,0,0,34,189,394.35,-21.13,24.79,0.7566,40.49,14,32,8,57.0427,0.005,284,239.78076052,316.90615854,-77.12539802,0.7566301697135162,17495,715
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,soft,HIST_SOFT_LIQUIDITY_RECLAIM,historical,OK,research_500,500.0,20.0,0.005,0.005,19465,906,313,593,0,566,0,0,27,0,381.72,-23.66,26.73,0.7332,42.49,18,32,11,62.8762,0.005,313,238.68660234,325.52593524,-86.8393329,0.7332337503788303,17895,622
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,soft,HIST_SOFT_LIQUIDITY_RECLAIM,historical,OK,research_500,500.0,20.0,0.005,0.005,20348,979,290,689,0,672,0,0,12,5,394.68,-21.06,21.78,0.735,44.48,11,32,9,58.0395,0.005,290,211.66396253,287.96607779,-76.30211526,0.7350308902758628,18614,699
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,soft,HIST_SOFT_LIQUIDITY_RECLAIM,historical,OK,research_500,500.0,20.0,0.005,0.005,19495,930,256,674,0,581,0,0,22,71,372.2,-25.56,29.0,0.6061,39.45,12,32,8,49.3674,0.005,256,158.64552237,261.76298159,-103.11745922,0.6060655383971008,17869,640
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,soft,HIST_SOFT_LIQUIDITY_RECLAIM,historical,OK,research_500,500.0,20.0,0.005,0.005,18926,926,248,678,0,588,0,0,0,90,424.34,-15.13,19.03,0.7768,43.15,8,32,8,54.3438,0.005,248,168.72032652,217.20931544,-48.48898892,0.776763768992485,17370,559
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,soft,HIST_SOFT_LIQUIDITY_RECLAIM,historical,OK,research_500,500.0,20.0,0.005,0.005,17212,924,295,629,0,613,0,0,4,12,474.35,-5.13,10.11,1.0253,48.81,7,32,16,66.0275,0.005,295,298.95122686,291.58816851,7.36305835,1.0252515676117748,15700,582
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,soft,HIST_SOFT_LIQUIDITY_RECLAIM,historical,OK,research_500,500.0,20.0,0.005,0.005,16714,811,269,542,0,535,0,0,7,0,428.83,-14.23,15.14,0.8289,46.84,10,32,14,56.4765,0.005,269,207.97516046,250.90811981,-42.93295935,0.8288897171562128,15337,507
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,soft,HIST_SOFT_LIQUIDITY_RECLAIM,historical,OK,research_500,500.0,20.0,0.005,0.005,17941,841,278,563,0,503,0,0,22,38,382.14,-23.57,25.41,0.704,40.29,16,32,11,56.3345,0.005,278,213.32508255,303.0165541,-89.69147155,0.7040047141588283,16554,523
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,soft,HIST_SOFT_LIQUIDITY_RECLAIM,historical,OK,research_500,500.0,20.0,0.005,0.005,18206,824,280,544,0,544,0,0,0,0,432.66,-13.47,16.24,0.8331,47.5,8,31,11,60.5412,0.005,280,185.06249974,222.13173536,-37.06923562,0.8331204879094654,16755,526
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,soft,HIST_SOFT_LIQUIDITY_RECLAIM,historical,OK,research_500,500.0,20.0,0.005,0.005,17044,760,287,473,0,473,0,0,0,0,461.1,-7.78,12.29,0.9738,49.83,8,31,16,63.4955,0.005,287,265.77111557,272.92271183,-7.15159626,0.9737962582338169,15816,418
