fold,validation_start,validation_end,threshold,mode,guard,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,filter_blocked,cooldown_blocked
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,soft,HIST_SOFT_PULLBACK_FAMILY,historical,OK,research_500,500.0,20.0,0.005,0.005,19183,8,8,0,0,0,0,0,0,0,500.52,0.1,1.99,1.3978,50.0,2,1,1,2.3134,0.005,8,5.89648346,4.21847632,1.67800714,1.3977756447181875,19159,8
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,soft,HIST_SOFT_PULLBACK_FAMILY,historical,OK,research_500,500.0,20.0,0.005,0.005,19465,36,34,2,0,2,0,0,0,0,495.91,-0.82,5.67,1.0381,44.12,5,6,3,9.7906,0.005,34,21.92093349,21.11559547,0.80533802,1.0381394889598,19337,50
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,soft,HIST_SOFT_PULLBACK_FAMILY,historical,OK,research_500,500.0,20.0,0.005,0.005,20348,37,37,0,0,0,0,0,0,0,491.15,-1.77,4.14,0.8827,51.35,5,3,0,10.6284,0.005,37,26.65087525,30.19106505,-3.5401898,0.8827404797963972,20223,32
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,soft,HIST_SOFT_PULLBACK_FAMILY,historical,OK,research_500,500.0,20.0,0.005,0.005,19495,34,33,1,0,1,0,0,0,0,502.0,0.4,5.36,1.3103,51.52,5,5,3,9.5879,0.005,33,28.68680625,21.89335802,6.79344823,1.3102972246755038,19360,45
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,soft,HIST_SOFT_PULLBACK_FAMILY,historical,OK,research_500,500.0,20.0,0.005,0.005,18926,48,44,4,0,4,0,0,0,0,488.28,-2.34,4.79,0.8324,47.73,4,7,4,12.6493,0.005,44,26.77746206,32.17019394,-5.39273189,0.8323686858795588,18721,86
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,soft,HIST_SOFT_PULLBACK_FAMILY,historical,OK,research_500,500.0,20.0,0.005,0.005,17212,7,7,0,0,0,0,0,0,0,500.89,0.18,2.55,1.3612,71.43,2,1,1,2.0311,0.005,7,7.19190857,5.28337074,1.90853783,1.361234887178016,17184,15
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,soft,HIST_SOFT_PULLBACK_FAMILY,historical,OK,research_500,500.0,20.0,0.005,0.005,16714,67,59,8,0,8,0,0,0,0,493.09,-1.38,4.81,1.0422,49.15,5,7,3,16.8634,0.005,59,37.55641473,36.03454798,1.52186675,1.0422335463379293,16502,86
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,soft,HIST_SOFT_PULLBACK_FAMILY,historical,OK,research_500,500.0,20.0,0.005,0.005,17941,25,21,4,0,4,0,0,0,0,509.57,1.91,3.46,2.0107,61.9,4,6,5,6.0786,0.005,21,25.08334113,12.47520253,12.60813861,2.0106560259946633,17863,30
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,soft,HIST_SOFT_PULLBACK_FAMILY,historical,OK,research_500,500.0,20.0,0.005,0.005,18206,100,77,23,0,23,0,0,0,0,457.87,-8.43,10.96,0.5322,42.86,6,13,6,21.5869,0.005,77,35.64772284,66.98128749,-31.33356465,0.5322042047752584,17863,142
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,soft,HIST_SOFT_PULLBACK_FAMILY,historical,OK,research_500,500.0,20.0,0.005,0.005,17044,38,36,2,0,2,0,0,0,0,478.57,-4.29,6.1,0.488,33.33,8,8,3,10.2343,0.005,36,15.54219986,31.85049004,-16.30829019,0.48797364921270614,16922,34
