fold,validation_start,validation_end,threshold,mode,guard,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,filter_blocked,cooldown_blocked
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,soft,HIST_SOFT_RANGE_ROTATION,historical,OK,research_500,500.0,20.0,0.005,0.005,19183,20,20,0,0,0,0,0,0,0,505.41,1.08,2.42,1.7211,50.0,3,2,2,6.7931,0.005,20,21.01689943,12.21096866,8.80593077,1.7211492402021662,19063,92
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,soft,HIST_SOFT_RANGE_ROTATION,historical,OK,research_500,500.0,20.0,0.005,0.005,19465,83,76,7,0,7,0,0,0,0,473.54,-5.29,9.27,0.7715,43.42,7,5,2,25.3719,0.005,76,46.51447299,60.29213851,-13.77766552,0.7714848758546649,19009,331
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,soft,HIST_SOFT_RANGE_ROTATION,historical,OK,research_500,500.0,20.0,0.005,0.005,20348,109,104,5,0,5,0,0,0,0,470.04,-5.99,9.46,0.825,45.19,10,4,0,33.9609,0.005,104,61.16294026,74.13937578,-12.97643552,0.8249724201226577,19678,505
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,soft,HIST_SOFT_RANGE_ROTATION,historical,OK,research_500,500.0,20.0,0.005,0.005,19495,98,94,4,0,4,0,0,0,0,462.67,-7.47,10.99,0.6729,44.68,5,5,1,30.3003,0.005,94,45.61819094,67.79765356,-22.17946262,0.6728579610314182,18856,485
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,soft,HIST_SOFT_RANGE_ROTATION,historical,OK,research_500,500.0,20.0,0.005,0.005,18926,148,114,34,0,34,0,0,0,0,453.01,-9.4,13.54,0.6521,42.98,10,8,1,37.1929,0.005,114,53.21575644,81.60675975,-28.39100332,0.65209985786317,18006,701
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,soft,HIST_SOFT_RANGE_ROTATION,historical,OK,research_500,500.0,20.0,0.005,0.005,17212,12,12,0,0,0,0,0,0,0,483.76,-3.25,4.75,0.1888,16.67,5,1,0,4.0175,0.005,12,3.31190055,17.54592911,-14.23402856,0.1887560660453551,17147,47
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,soft,HIST_SOFT_RANGE_ROTATION,historical,OK,research_500,500.0,20.0,0.005,0.005,16714,122,104,18,0,18,0,0,0,0,475.61,-4.88,7.61,0.9022,49.04,6,8,3,34.2276,0.005,104,67.12856555,74.40165597,-7.27309042,0.902245584121678,16072,461
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,soft,HIST_SOFT_RANGE_ROTATION,historical,OK,research_500,500.0,20.0,0.005,0.005,17941,46,36,10,0,10,0,0,0,0,471.05,-5.79,9.13,0.4149,27.78,9,6,0,11.7723,0.005,36,16.35421699,39.41716582,-23.06294882,0.4149008852826154,17758,114
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,soft,HIST_SOFT_RANGE_ROTATION,historical,OK,research_500,500.0,20.0,0.005,0.005,18206,252,138,114,0,114,0,0,0,0,420.52,-15.9,18.43,0.5289,36.96,10,14,4,42.2301,0.005,138,65.52657698,123.89160528,-58.3650283,0.5289024775463519,16858,995
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,soft,HIST_SOFT_RANGE_ROTATION,historical,OK,research_500,500.0,20.0,0.005,0.005,17044,110,93,17,0,17,0,0,0,0,449.16,-10.17,12.25,0.5329,45.16,5,7,3,29.5235,0.005,93,41.16608083,77.24850149,-36.08242066,0.5329045876496418,16456,428
