fold,validation_start,validation_end,threshold,mode,guard,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,filter_blocked,cooldown_blocked
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,soft,HIST_SOFT_REGIME_ROUTER_ALL,historical,OK,research_500,500.0,20.0,0.005,0.005,19183,2540,371,2169,0,2116,0,0,53,0,493.88,-1.22,12.53,1.077,46.63,8,32,20,71.6787,0.005,371,415.94264369,386.21887117,29.72377252,1.0769609533272368,0,16635
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,soft,HIST_SOFT_REGIME_ROUTER_ALL,historical,OK,research_500,500.0,20.0,0.005,0.005,19465,2503,334,2169,0,1968,0,0,11,190,459.37,-8.13,13.59,0.9688,49.1,9,32,13,61.6568,0.005,334,304.289118,314.09464643,-9.80552843,0.9687816123495235,0,16920
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,soft,HIST_SOFT_REGIME_ROUTER_ALL,historical,OK,research_500,500.0,20.0,0.005,0.005,20348,2541,309,2232,0,1963,0,0,52,217,437.16,-12.57,15.82,0.874,44.66,8,32,14,58.4319,0.005,309,233.16824888,266.79004751,-33.62179862,0.8739765634505884,0,17751
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,soft,HIST_SOFT_REGIME_ROUTER_ALL,historical,OK,research_500,500.0,20.0,0.005,0.005,19495,2534,320,2214,0,2082,0,0,0,132,389.04,-22.19,23.84,0.7042,43.12,10,32,9,55.7509,0.005,320,197.76168388,280.84234758,-83.0806637,0.70417330428933,0,16905
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,soft,HIST_SOFT_REGIME_ROUTER_ALL,historical,OK,research_500,500.0,20.0,0.005,0.005,18926,2490,308,2182,0,2150,0,0,32,0,451.6,-9.68,12.63,0.9218,45.13,9,32,16,59.4716,0.005,308,220.00768734,238.67146026,-18.66377291,0.921801404765906,0,16365
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,soft,HIST_SOFT_REGIME_ROUTER_ALL,historical,OK,research_500,500.0,20.0,0.005,0.005,17212,2472,365,2107,0,2047,0,0,60,0,454.24,-9.15,11.6,0.9652,45.75,12,32,14,66.9525,0.005,365,341.14354063,353.42872279,-12.28518216,0.9652400007021681,0,14734
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,soft,HIST_SOFT_REGIME_ROUTER_ALL,historical,OK,research_500,500.0,20.0,0.005,0.005,16714,2448,298,2150,0,1906,0,0,42,202,436.29,-12.74,16.47,0.8589,45.3,9,32,13,57.1641,0.005,298,213.77364572,248.9005548,-35.12690909,0.8588717123848333,0,14207
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,soft,HIST_SOFT_REGIME_ROUTER_ALL,historical,OK,research_500,500.0,20.0,0.005,0.005,17941,2401,341,2060,0,2010,0,0,48,2,441.68,-11.66,20.0,0.9193,44.87,11,32,12,63.218,0.005,341,304.38619849,331.09345541,-26.70725692,0.9193361980453619,0,15517
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,soft,HIST_SOFT_REGIME_ROUTER_ALL,historical,OK,research_500,500.0,20.0,0.005,0.005,18206,2428,331,2097,0,2093,0,0,4,0,397.42,-20.52,22.34,0.7427,42.3,8,31,13,62.3329,0.005,331,206.15283821,277.56241215,-71.40957394,0.7427260651526494,0,15677
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,soft,HIST_SOFT_REGIME_ROUTER_ALL,historical,OK,research_500,500.0,20.0,0.005,0.005,17044,2389,353,2036,0,2031,0,0,5,0,415.14,-16.97,20.23,0.8419,43.91,10,31,12,66.1924,0.005,353,275.60058158,327.36167825,-51.76109667,0.841884068560919,0,14605
