fold,validation_start,validation_end,threshold,mode,guard,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,filter_blocked,cooldown_blocked
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,soft,HIST_SOFT_REGIME_ROUTER_ROLL8,historical,OK,research_500,500.0,20.0,0.005,0.005,19183,261,119,142,0,136,0,0,6,0,487.56,-2.49,8.88,0.9928,42.86,7,16,8,23.1767,0.005,119,117.63985502,118.49014438,-0.85028936,0.9928239655307199,17259,1655
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,soft,HIST_SOFT_REGIME_ROUTER_ROLL8,historical,OK,research_500,500.0,20.0,0.005,0.005,19465,259,119,140,0,137,0,0,3,0,470.65,-5.87,9.2,0.8564,42.86,6,14,5,23.3518,0.005,119,105.35326443,123.02517127,-17.67190684,0.8563553567507328,17492,1672
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,soft,HIST_SOFT_REGIME_ROUTER_ROLL8,historical,OK,research_500,500.0,20.0,0.005,0.005,20348,255,109,146,0,146,0,0,0,0,497.92,-0.42,7.44,1.0999,51.38,4,16,8,22.0233,0.005,109,98.42402239,89.48848614,8.93553625,1.0998512393546027,18321,1716
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,soft,HIST_SOFT_REGIME_ROUTER_ROLL8,historical,OK,research_500,500.0,20.0,0.005,0.005,19495,262,113,149,0,149,0,0,0,0,488.42,-2.32,6.29,0.9935,46.9,6,15,8,21.8809,0.005,113,97.92419513,98.56708237,-0.64288724,0.9934776679943569,17524,1653
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,soft,HIST_SOFT_REGIME_ROUTER_ROLL8,historical,OK,research_500,500.0,20.0,0.005,0.005,18926,267,115,152,0,148,0,0,4,0,479.09,-4.18,9.16,0.9134,46.96,6,15,7,22.4904,0.005,115,101.86664693,111.52915916,-9.66251223,0.9133633544932077,16792,1796
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,soft,HIST_SOFT_REGIME_ROUTER_ROLL8,historical,OK,research_500,500.0,20.0,0.005,0.005,17212,255,110,145,0,145,0,0,0,0,469.92,-6.02,8.18,0.8011,41.82,5,15,4,20.5152,0.005,110,79.83777064,99.65522684,-19.8174562,0.8011398215052905,15522,1429
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,soft,HIST_SOFT_REGIME_ROUTER_ROLL8,historical,OK,research_500,500.0,20.0,0.005,0.005,16714,263,109,154,0,154,0,0,0,0,461.36,-7.73,10.08,0.7085,42.2,7,13,5,21.2954,0.005,109,68.02693588,96.01857248,-27.9916366,0.7084768511428436,14966,1426
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,soft,HIST_SOFT_REGIME_ROUTER_ROLL8,historical,OK,research_500,500.0,20.0,0.005,0.005,17941,256,104,152,0,151,0,0,1,0,505.17,1.03,6.24,1.1934,56.73,10,13,7,20.6133,0.005,104,95.49320012,80.01984984,15.47335027,1.1933688991488114,16038,1624
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,soft,HIST_SOFT_REGIME_ROUTER_ROLL8,historical,OK,research_500,500.0,20.0,0.005,0.005,18206,265,108,157,0,156,0,0,1,0,458.32,-8.34,12.55,0.6825,39.81,8,12,1,20.1894,0.005,108,67.88145565,99.46581255,-31.5843569,0.6824601730495813,16278,1562
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,soft,HIST_SOFT_REGIME_ROUTER_ROLL8,historical,OK,research_500,500.0,20.0,0.005,0.005,17044,252,112,140,0,140,0,0,0,0,468.4,-6.32,9.48,0.8018,42.86,7,11,5,22.1989,0.005,112,82.92064456,103.41786061,-20.49721606,0.8018019717830231,15229,1513
