fold,validation_start,validation_end,threshold,mode,guard,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,filter_blocked,cooldown_blocked
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,soft,HIST_SOFT_REVERSAL_ROUTER,historical,OK,research_500,500.0,20.0,0.005,0.005,19183,976,290,686,0,474,0,0,22,190,404.11,-19.18,22.94,0.7953,41.38,14,32,8,59.4915,0.005,290,257.07037984,323.2180647,-66.14768487,0.7953465722005727,17383,816
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,soft,HIST_SOFT_REVERSAL_ROUTER,historical,OK,research_500,500.0,20.0,0.005,0.005,19465,956,319,637,0,610,0,0,27,0,369.29,-26.14,29.12,0.6936,40.75,19,32,13,65.1833,0.005,319,222.06922756,320.18409469,-98.11486713,0.6935673296676904,17481,986
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,soft,HIST_SOFT_REVERSAL_ROUTER,historical,OK,research_500,500.0,20.0,0.005,0.005,20348,1045,303,742,0,698,0,0,15,29,380.62,-23.88,25.19,0.7085,44.22,9,32,9,65.7237,0.005,303,210.29634658,296.81054513,-86.51419855,0.7085204687943744,18000,1247
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,soft,HIST_SOFT_REVERSAL_ROUTER,historical,OK,research_500,500.0,20.0,0.005,0.005,19495,994,302,692,0,688,0,0,3,1,375.13,-24.97,28.32,0.6839,42.38,9,32,10,63.4564,0.005,302,201.53076152,294.67130147,-93.14053995,0.6839171663857012,17286,1159
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,soft,HIST_SOFT_REVERSAL_ROUTER,historical,OK,research_500,500.0,20.0,0.005,0.005,18926,1017,260,757,0,656,0,0,1,100,428.83,-14.23,18.18,0.8226,45.77,23,32,10,61.682,0.005,260,186.95875019,227.29001401,-40.33126383,0.8225559358438312,16521,1317
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,soft,HIST_SOFT_REVERSAL_ROUTER,historical,OK,research_500,500.0,20.0,0.005,0.005,17212,932,298,634,0,617,0,0,4,13,454.35,-9.13,13.04,0.9573,46.98,8,32,13,66.0003,0.005,298,283.65231015,296.3003162,-12.64800605,0.9573135587156388,15641,633
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,soft,HIST_SOFT_REVERSAL_ROUTER,historical,OK,research_500,500.0,20.0,0.005,0.005,16714,910,287,623,0,614,0,0,9,0,438.94,-12.21,13.01,0.8887,48.78,7,32,15,65.9241,0.005,287,224.30343384,252.400184,-28.09675016,0.8886817366206815,14754,991
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,soft,HIST_SOFT_REVERSAL_ROUTER,historical,OK,research_500,500.0,20.0,0.005,0.005,17941,871,288,583,0,537,0,0,13,33,380.07,-23.99,26.14,0.7119,40.97,10,32,10,60.0698,0.005,288,222.18196169,312.07654072,-89.89457904,0.7119470152139596,16394,653
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,soft,HIST_SOFT_REVERSAL_ROUTER,historical,OK,research_500,500.0,20.0,0.005,0.005,18206,989,292,697,0,697,0,0,0,0,429.37,-14.13,16.92,0.8457,45.21,8,31,10,69.251,0.005,292,197.38131147,233.38500066,-36.00368919,0.8457326345436698,15508,1608
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,soft,HIST_SOFT_REVERSAL_ROUTER,historical,OK,research_500,500.0,20.0,0.005,0.005,17044,830,289,541,0,511,0,0,4,26,456.83,-8.63,12.34,0.9635,49.83,12,31,15,66.6652,0.005,289,259.52965883,269.36741345,-9.83775462,0.9634783046217994,15278,886
