fold,validation_start,validation_end,threshold,mode,guard,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,filter_blocked,cooldown_blocked
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,soft,HIST_SOFT_TREND_ROUTER,historical,OK,research_500,500.0,20.0,0.005,0.005,19183,2499,380,2119,0,2094,0,0,25,0,454.1,-9.18,17.45,0.9748,42.37,10,32,15,70.5845,0.005,380,409.48525273,420.08864855,-10.60339581,0.9747591470264293,1792,14884
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,soft,HIST_SOFT_TREND_ROUTER,historical,OK,research_500,500.0,20.0,0.005,0.005,19465,2460,363,2097,0,2083,0,0,14,0,456.07,-8.79,12.05,0.9706,46.56,8,32,16,67.2805,0.005,363,339.817311,350.10473685,-10.28742585,0.9706161477691193,1942,15021
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,soft,HIST_SOFT_TREND_ROUTER,historical,OK,research_500,500.0,20.0,0.005,0.005,20348,2489,312,2177,0,2057,0,0,13,107,487.31,-2.54,10.62,1.0661,47.76,8,32,17,59.6277,0.005,312,276.26166401,259.13586577,17.12579824,1.0660881047354123,2292,15511
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,soft,HIST_SOFT_TREND_ROUTER,historical,OK,research_500,500.0,20.0,0.005,0.005,19495,2484,331,2153,0,2050,0,0,21,82,374.7,-25.06,26.49,0.6768,42.3,9,32,11,55.4581,0.005,331,204.31086995,301.88597772,-97.57510777,0.6767815832176243,2153,14802
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,soft,HIST_SOFT_TREND_ROUTER,historical,OK,research_500,500.0,20.0,0.005,0.005,18926,2425,300,2125,0,2110,0,0,15,0,497.72,-0.46,6.43,1.1227,48.0,8,32,20,57.7583,0.005,300,243.42419517,216.82506505,26.59913012,1.1226755316200108,2334,14096
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,soft,HIST_SOFT_TREND_ROUTER,historical,OK,research_500,500.0,20.0,0.005,0.005,17212,2425,365,2060,0,2034,0,0,26,0,437.34,-12.53,15.67,0.9183,43.84,10,32,14,66.0479,0.005,365,333.15089402,362.78980295,-29.63890893,0.9183028059540916,1565,13216
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,soft,HIST_SOFT_TREND_ROUTER,historical,OK,research_500,500.0,20.0,0.005,0.005,16714,2398,308,2090,0,2007,0,0,44,39,415.49,-16.9,20.38,0.7769,43.51,10,32,14,54.8874,0.005,308,198.67834366,255.74504499,-57.06670134,0.7768609697241783,1901,12356
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,soft,HIST_SOFT_TREND_ROUTER,historical,OK,research_500,500.0,20.0,0.005,0.005,17941,2367,339,2028,0,1996,0,0,31,1,442.35,-11.53,18.81,0.915,45.72,8,31,15,60.79,0.005,339,293.3720266,320.62303836,-27.25101177,0.9150060709790914,1524,14027
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,soft,HIST_SOFT_TREND_ROUTER,historical,OK,research_500,500.0,20.0,0.005,0.005,18206,2362,307,2055,0,2041,0,0,14,0,455.37,-8.93,11.74,0.9332,45.28,8,31,15,59.3534,0.005,307,208.82388914,223.77440928,-14.95052015,0.9331893213656302,2597,13146
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,soft,HIST_SOFT_TREND_ROUTER,historical,OK,research_500,500.0,20.0,0.005,0.005,17044,2348,327,2021,0,1890,0,0,38,93,461.4,-7.72,17.7,0.9766,47.09,6,31,16,63.0234,0.005,327,295.9418577,303.02889741,-7.08703971,0.9766126604702398,1716,12930
