name,verdict,valid_folds,positive_folds,positive_pct,total_trades,avg_return_pct,median_return_pct,worst_fold_return_pct,pooled_pf,gross_profit,gross_loss,net_pnl,worst_dd_pct,score,development_gate,side_summary
HIST_HARD_PULLBACK_CONTROL,BLOCK_UNSTABLE,10,4,40.0,194,-0.202,-0.34,-1.52,1.1376,148.421715,130.473493,17.948222,4.33,4.2457,BLOCK_DEVELOPMENT,"{'long': {'trades': 127, 'wins': 72, 'losses': 55, 'gross_profit': 105.095892, 'gross_loss': 77.672299, 'net_pnl': 27.423594, 'pf': 1.3531}, 'short': {'trades': 67, 'wins': 29, 'losses': 38, 'gross_profit': 43.325823, 'gross_loss': 52.801194, 'net_pnl': -9.475371, 'pf': 0.8205}}"
HIST_SOFT_PULLBACK_FAMILY,BLOCK_UNSTABLE,10,4,40.0,356,-1.644,-1.1,-8.43,0.8808,230.954148,262.213588,-31.25944,10.96,-1.2816,BLOCK_DEVELOPMENT,"{'long': {'trades': 174, 'wins': 93, 'losses': 81, 'gross_profit': 134.841293, 'gross_loss': 115.717772, 'net_pnl': 19.123521, 'pf': 1.1653}, 'short': {'trades': 182, 'wins': 75, 'losses': 107, 'gross_profit': 96.112854, 'gross_loss': 146.495815, 'net_pnl': -50.382961, 'pf': 0.6561}}"
HIST_SOFT_IGNITION,BLOCK_UNSTABLE,10,2,20.0,1613,-1.452,-3.42,-10.94,1.0437,1332.966081,1277.170942,55.795139,14.34,-3.2909,BLOCK_DEVELOPMENT,"{'long': {'trades': 600, 'wins': 270, 'losses': 330, 'gross_profit': 476.338589, 'gross_loss': 503.129481, 'net_pnl': -26.790891, 'pf': 0.9468}, 'short': {'trades': 1013, 'wins': 501, 'losses': 512, 'gross_profit': 856.627492, 'gross_loss': 774.041461, 'net_pnl': 82.58603, 'pf': 1.1067}}"
HIST_SOFT_REGIME_ROUTER_ROLL5,BLOCK_UNSTABLE,10,0,0.0,960,-2.782,-2.425,-7.07,0.9478,828.975402,874.611241,-45.635839,12.11,-4.7935,BLOCK_DEVELOPMENT,"{'long': {'trades': 298, 'wins': 125, 'losses': 173, 'gross_profit': 257.155901, 'gross_loss': 287.713204, 'net_pnl': -30.557303, 'pf': 0.8938}, 'short': {'trades': 662, 'wins': 317, 'losses': 345, 'gross_profit': 571.819501, 'gross_loss': 586.898037, 'net_pnl': -15.078536, 'pf': 0.9743}}"
HIST_SOFT_REGIME_ROUTER_ROLL8,BLOCK_UNSTABLE,10,1,10.0,1118,-4.266,-5.025,-8.34,0.8977,915.367991,1019.677366,-104.309375,12.55,-6.1479,BLOCK_DEVELOPMENT,"{'long': {'trades': 355, 'wins': 146, 'losses': 209, 'gross_profit': 263.193436, 'gross_loss': 339.394554, 'net_pnl': -76.201118, 'pf': 0.7755}, 'short': {'trades': 763, 'wins': 361, 'losses': 402, 'gross_profit': 652.174555, 'gross_loss': 680.282812, 'net_pnl': -28.108257, 'pf': 0.9587}}"
HIST_SOFT_RANGE_ROTATION,BLOCK_UNSTABLE,10,1,10.0,791,-6.706,-5.89,-15.9,0.6698,421.015601,628.551754,-207.536153,18.43,-12.2115,BLOCK_DEVELOPMENT,"{'long': {'trades': 384, 'wins': 165, 'losses': 219, 'gross_profit': 214.719112, 'gross_loss': 305.430486, 'net_pnl': -90.711374, 'pf': 0.703}, 'short': {'trades': 407, 'wins': 172, 'losses': 235, 'gross_profit': 206.296489, 'gross_loss': 323.121268, 'net_pnl': -116.824779, 'pf': 0.6384}}"
HIST_SOFT_TREND_ROUTER,BLOCK_UNSTABLE,10,0,0.0,3332,-10.364,-9.055,-25.06,0.9301,2803.266304,3014.001487,-210.735183,26.49,-19.6188,BLOCK_DEVELOPMENT,"{'long': {'trades': 1002, 'wins': 432, 'losses': 570, 'gross_profit': 826.057321, 'gross_loss': 956.13129, 'net_pnl': -130.073969, 'pf': 0.864}, 'short': {'trades': 2330, 'wins': 1073, 'losses': 1257, 'gross_profit': 1977.208983, 'gross_loss': 2057.870196, 'net_pnl': -80.661214, 'pf': 0.9608}}"
HIST_SOFT_REGIME_ROUTER_ALL,BLOCK_UNSTABLE,10,0,0.0,3330,-12.483,-12.115,-22.19,0.8966,2712.226186,3024.964196,-312.73801,23.84,-20.5132,BLOCK_DEVELOPMENT,"{'long': {'trades': 1056, 'wins': 449, 'losses': 607, 'gross_profit': 820.292856, 'gross_loss': 1004.852871, 'net_pnl': -184.560015, 'pf': 0.8163}, 'short': {'trades': 2274, 'wins': 1053, 'losses': 1221, 'gross_profit': 1891.93333, 'gross_loss': 2020.111325, 'net_pnl': -128.177995, 'pf': 0.9365}}"
HIST_SOFT_BREAKOUT,BLOCK_UNSTABLE,10,0,0.0,3320,-11.895,-12.365,-24.81,0.9035,2733.867759,3025.99433,-292.126572,26.24,-21.1046,BLOCK_DEVELOPMENT,"{'long': {'trades': 985, 'wins': 403, 'losses': 582, 'gross_profit': 767.959108, 'gross_loss': 960.226138, 'net_pnl': -192.26703, 'pf': 0.7998}, 'short': {'trades': 2335, 'wins': 1067, 'losses': 1268, 'gross_profit': 1965.908651, 'gross_loss': 2065.768193, 'net_pnl': -99.859542, 'pf': 0.9517}}"
HIST_HARD_REGIME_ROUTER_ALL,BLOCK_UNSTABLE,10,0,0.0,2422,-13.223,-13.03,-22.04,0.8156,1851.777397,2270.493673,-418.716276,25.46,-22.3062,BLOCK_DEVELOPMENT,"{'long': {'trades': 897, 'wins': 397, 'losses': 500, 'gross_profit': 682.421278, 'gross_loss': 820.492483, 'net_pnl': -138.071205, 'pf': 0.8317}, 'short': {'trades': 1525, 'wins': 667, 'losses': 858, 'gross_profit': 1169.356119, 'gross_loss': 1450.00119, 'net_pnl': -280.645071, 'pf': 0.8065}}"
HIST_SOFT_LIQUIDITY_RECLAIM,BLOCK_UNSTABLE,10,0,0.0,2800,-17.072,-18.095,-25.56,0.7959,2188.582259,2749.937758,-561.355499,29.0,-27.9844,BLOCK_DEVELOPMENT,"{'long': {'trades': 1460, 'wins': 626, 'losses': 834, 'gross_profit': 1120.272807, 'gross_loss': 1489.576136, 'net_pnl': -369.303329, 'pf': 0.7521}, 'short': {'trades': 1340, 'wins': 617, 'losses': 723, 'gross_profit': 1068.309453, 'gross_loss': 1260.361623, 'net_pnl': -192.05217, 'pf': 0.8476}}"
HIST_SOFT_REVERSAL_ROUTER,BLOCK_UNSTABLE,10,0,0.0,2928,-17.649,-16.705,-26.14,0.8016,2264.974142,2825.703475,-560.729333,29.12,-28.6043,BLOCK_DEVELOPMENT,"{'long': {'trades': 1516, 'wins': 657, 'losses': 859, 'gross_profit': 1158.973351, 'gross_loss': 1498.591753, 'net_pnl': -339.618402, 'pf': 0.7734}, 'short': {'trades': 1412, 'wins': 648, 'losses': 764, 'gross_profit': 1106.00079, 'gross_loss': 1327.111722, 'net_pnl': -221.110932, 'pf': 0.8334}}"
