fold,validation_start,validation_end,threshold,mode,guard,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,filter_blocked,cooldown_blocked
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,soft,LONG_BULL_OR_NEUTRAL_SOFT_RISK,regime,OK,research_500,500.0,20.0,0.005,0.005,19183,1320,343,977,0,962,0,0,5,10,408.62,-18.28,20.18,0.6787,38.19,13,32,11,37.0936,0.002897,343,153.84371845,226.67665262,-72.83293417,0.6786923870359455,13590,4265
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,soft,LONG_BULL_OR_NEUTRAL_SOFT_RISK,regime,OK,research_500,500.0,20.0,0.005,0.005,19465,1480,328,1152,0,1152,0,0,0,0,486.27,-2.75,12.53,1.0483,47.26,13,32,16,50.0078,0.003779,328,244.7339542,233.46069019,11.27326401,1.0482876325014947,11523,6420
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,soft,LONG_BULL_OR_NEUTRAL_SOFT_RISK,regime,OK,research_500,500.0,20.0,0.005,0.005,20348,1349,285,1064,0,1027,0,0,16,21,401.87,-19.63,20.48,0.686,38.95,8,32,9,47.1191,0.004268,285,162.90680193,237.47647675,-74.56967482,0.6859913207369823,14331,4612
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,soft,LONG_BULL_OR_NEUTRAL_SOFT_RISK,regime,OK,research_500,500.0,20.0,0.005,0.005,19495,1650,309,1341,0,1326,0,0,1,14,470.45,-5.91,12.68,0.9839,47.9,9,32,15,51.7312,0.004083,309,224.5830958,228.26316964,-3.68007383,0.9838779342340153,10420,7369
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,soft,LONG_BULL_OR_NEUTRAL_SOFT_RISK,regime,OK,research_500,500.0,20.0,0.005,0.005,18926,1400,292,1108,0,1104,0,0,4,0,440.46,-11.91,14.74,0.7894,43.49,12,32,12,42.2853,0.003495,292,143.89499849,182.28753099,-38.3925325,0.7893847577546296,12231,5224
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,soft,LONG_BULL_OR_NEUTRAL_SOFT_RISK,regime,OK,research_500,500.0,20.0,0.005,0.005,17212,1172,324,848,0,848,0,0,0,0,452.67,-9.47,11.13,0.8418,45.37,9,32,13,34.8597,0.002699,324,159.09018229,188.99292595,-29.90274366,0.8417785030295265,12446,3588
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,soft,LONG_BULL_OR_NEUTRAL_SOFT_RISK,regime,OK,research_500,500.0,20.0,0.005,0.005,16714,1317,303,1014,0,1012,0,0,2,0,422.36,-15.53,16.58,0.7024,40.92,11,32,9,39.0026,0.003243,303,137.21557677,195.35914862,-58.14357185,0.702375996913691,10928,4410
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,soft,LONG_BULL_OR_NEUTRAL_SOFT_RISK,regime,OK,research_500,500.0,20.0,0.005,0.005,17941,1219,303,916,0,910,0,0,6,0,450.47,-9.91,11.28,0.8357,41.91,16,32,11,36.7485,0.00301,303,158.47012064,189.63061077,-31.16049013,0.8356779530351169,12703,3996
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,soft,LONG_BULL_OR_NEUTRAL_SOFT_RISK,regime,OK,research_500,500.0,20.0,0.005,0.005,18206,1503,312,1191,0,1191,0,0,0,0,449.25,-10.15,12.8,0.8638,42.63,10,31,12,50.6044,0.003875,312,161.3756856,186.81955694,-25.44387134,0.8638050974886798,10154,6448
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,soft,LONG_BULL_OR_NEUTRAL_SOFT_RISK,regime,OK,research_500,500.0,20.0,0.005,0.005,17044,1161,318,843,0,836,0,0,7,0,459.77,-8.05,11.34,0.8942,44.65,9,31,11,39.7657,0.002967,318,172.02132665,192.36503022,-20.34370357,0.894244273253418,11969,3864
