fold,validation_start,validation_end,threshold,mode,guard,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,filter_blocked,cooldown_blocked
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,soft,LONG_BULL_TREND_ONLY,regime,OK,research_500,500.0,20.0,0.005,0.005,19183,5,3,2,0,2,0,0,0,0,498.56,-0.29,2.03,0.7791,33.33,2,3,1,0.5815,0.005,3,4.04521568,5.19231016,-1.14709448,0.7790782045059312,19162,8
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,soft,LONG_BULL_TREND_ONLY,regime,OK,research_500,500.0,20.0,0.005,0.005,19465,687,104,583,0,513,0,0,13,57,510.22,2.04,11.39,1.2117,50.96,5,29,18,21.3804,0.005,104,119.6535427,98.7465919,20.9069508,1.2117232645353975,15123,3613
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,soft,LONG_BULL_TREND_ONLY,regime,OK,research_500,500.0,20.0,0.005,0.005,20348,803,156,647,0,631,0,0,16,0,428.26,-14.35,15.26,0.6477,37.82,8,32,10,31.0507,0.005,156,103.33720378,159.55261687,-56.21541309,0.6476684983664479,16405,3084
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,soft,LONG_BULL_TREND_ONLY,regime,OK,research_500,500.0,20.0,0.005,0.005,19495,864,149,715,0,712,0,0,3,0,462.46,-7.51,13.42,0.8506,44.3,9,32,13,30.698,0.005,149,126.35229219,148.54680082,-22.19450863,0.8505891173249648,14645,3930
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,soft,LONG_BULL_TREND_ONLY,regime,OK,research_500,500.0,20.0,0.005,0.005,18926,405,68,337,0,337,0,0,0,0,451.52,-9.7,11.41,0.3769,29.41,12,28,11,13.8162,0.005,68,25.14334686,66.71071528,-41.56736842,0.37690117326803885,17051,1399
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,soft,LONG_BULL_TREND_ONLY,regime,OK,research_500,500.0,20.0,0.005,0.005,17212,0,0,0,0,0,0,0,0,0,500.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,17206,0
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,soft,LONG_BULL_TREND_ONLY,regime,OK,research_500,500.0,20.0,0.005,0.005,16714,204,47,157,0,157,0,0,0,0,481.45,-3.71,6.77,0.743,44.68,5,28,11,10.0199,0.005,47,39.14258552,52.68284209,-13.54025657,0.7429854572592497,15792,659
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,soft,LONG_BULL_TREND_ONLY,regime,OK,research_500,500.0,20.0,0.005,0.005,17941,65,15,50,0,50,0,0,0,0,507.89,1.58,3.57,1.7512,53.33,3,13,7,3.2349,0.005,15,22.15463178,12.6513556,9.50327618,1.7511666322556085,17626,227
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,soft,LONG_BULL_TREND_ONLY,regime,OK,research_500,500.0,20.0,0.005,0.005,18206,718,127,591,0,591,0,0,0,0,474.95,-5.01,8.85,0.8872,42.52,11,30,13,27.1561,0.005,127,90.2254472,101.70042837,-11.47498117,0.8871688019734114,14044,3343
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,soft,LONG_BULL_TREND_ONLY,regime,OK,research_500,500.0,20.0,0.005,0.005,17044,104,23,81,0,81,0,0,0,0,494.21,-1.16,4.62,0.8738,47.83,4,15,7,5.1858,0.005,23,22.12303463,25.31734723,-3.1943126,0.8738290954139221,16509,381
