fold,validation_start,validation_end,threshold,mode,guard,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,filter_blocked,cooldown_blocked
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,soft,LONG_CONTROL_ALL_REGIMES,regime,OK,research_500,500.0,20.0,0.005,0.005,19183,1320,300,1020,0,871,0,0,28,121,394.9,-21.02,24.06,0.7637,40.0,15,32,14,55.436,0.005,300,250.15455838,327.53700179,-77.38244341,0.763744422811017,13590,4265
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,soft,LONG_CONTROL_ALL_REGIMES,regime,OK,research_500,500.0,20.0,0.005,0.005,19465,1480,321,1159,0,1141,0,0,18,0,488.41,-2.32,13.64,1.0677,48.29,8,32,16,64.8273,0.005,321,328.5185856,307.6964281,20.8221575,1.0676711056763843,11523,6420
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,soft,LONG_CONTROL_ALL_REGIMES,regime,OK,research_500,500.0,20.0,0.005,0.005,20348,1349,279,1070,0,993,0,0,42,35,392.22,-21.56,22.39,0.7018,38.71,8,32,8,53.3662,0.005,279,190.89516759,271.99467977,-81.09951217,0.7018341967414942,14331,4612
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,soft,LONG_CONTROL_ALL_REGIMES,regime,OK,research_500,500.0,20.0,0.005,0.005,19495,1650,303,1347,0,1303,0,0,30,14,472.33,-5.53,12.1,1.0136,47.85,9,32,13,62.8071,0.005,303,277.51040558,273.78165339,3.72875219,1.0136194377641963,10420,7369
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,soft,LONG_CONTROL_ALL_REGIMES,regime,OK,research_500,500.0,20.0,0.005,0.005,18926,1400,290,1110,0,1103,0,0,7,0,429.59,-14.08,16.29,0.8379,43.1,12,32,12,59.5416,0.005,290,210.03347514,250.67351103,-40.64003589,0.8378766239841912,12231,5224
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,soft,LONG_CONTROL_ALL_REGIMES,regime,OK,research_500,500.0,20.0,0.005,0.005,17212,1172,302,870,0,803,0,0,45,22,399.95,-20.01,22.14,0.7807,43.38,9,32,14,56.8988,0.005,302,254.93590615,326.5399207,-71.60401455,0.780718956523628,12446,3588
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,soft,LONG_CONTROL_ALL_REGIMES,regime,OK,research_500,500.0,20.0,0.005,0.005,16714,1317,298,1019,0,996,0,0,23,0,391.43,-21.71,24.11,0.7111,40.6,11,32,10,56.7392,0.005,298,197.39667928,277.59697061,-80.20029133,0.7110908986167657,10928,4410
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,soft,LONG_CONTROL_ALL_REGIMES,regime,OK,research_500,500.0,20.0,0.005,0.005,17941,1219,280,939,0,874,0,0,14,51,438.22,-12.36,14.25,0.8775,42.5,16,32,12,55.3239,0.005,280,244.34559777,278.46751173,-34.12191395,0.8774653684346462,12703,3996
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,soft,LONG_CONTROL_ALL_REGIMES,regime,OK,research_500,500.0,20.0,0.005,0.005,18206,1503,310,1193,0,1185,0,0,8,0,429.11,-14.18,17.78,0.8309,42.26,11,31,13,62.6251,0.005,310,194.53660178,234.11772169,-39.58111991,0.8309349688635472,10154,6448
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,soft,LONG_CONTROL_ALL_REGIMES,regime,OK,research_500,500.0,20.0,0.005,0.005,17044,1161,316,845,0,834,0,0,11,0,440.37,-11.93,15.2,0.9133,44.62,9,31,13,65.0381,0.005,316,285.58562863,312.69432722,-27.10869859,0.9133060748727544,11969,3864
