fold,validation_start,validation_end,threshold,mode,guard,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,filter_blocked,cooldown_blocked
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,soft,SHORT_BEAR_OR_NEUTRAL_SOFT_RISK,regime,OK,research_500,500.0,20.0,0.005,0.005,19183,2133,357,1776,0,1683,0,0,10,83,452.3,-9.54,16.28,0.94,45.38,12,32,16,56.2342,0.004193,357,306.64896696,326.22875594,-19.57978898,0.939981412963576,5585,11457
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,soft,SHORT_BEAR_OR_NEUTRAL_SOFT_RISK,regime,OK,research_500,500.0,20.0,0.005,0.005,19465,1980,354,1626,0,1615,0,0,11,0,482.18,-3.56,11.69,1.0242,44.92,12,32,14,46.5026,0.003267,354,229.53110284,224.09974922,5.43135362,1.0242363217357777,7900,9543
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,soft,SHORT_BEAR_OR_NEUTRAL_SOFT_RISK,regime,OK,research_500,500.0,20.0,0.005,0.005,20348,2205,330,1875,0,1875,0,0,0,0,460.96,-7.81,9.92,0.8802,48.48,7,32,14,37.0293,0.002836,330,150.83539626,171.35664828,-20.52125203,0.8802424520357207,5961,12126
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,soft,SHORT_BEAR_OR_NEUTRAL_SOFT_RISK,regime,OK,research_500,500.0,20.0,0.005,0.005,19495,1929,330,1599,0,1586,0,0,5,8,409.51,-18.1,20.92,0.6284,39.09,14,32,9,35.5706,0.002991,330,122.96769907,195.66880781,-72.70110874,0.6284481438254755,9019,8491
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,soft,SHORT_BEAR_OR_NEUTRAL_SOFT_RISK,regime,OK,research_500,500.0,20.0,0.005,0.005,18926,2066,306,1760,0,1760,0,0,0,0,464.29,-7.14,12.7,0.9151,45.42,8,32,15,42.08,0.003539,306,158.10044095,172.76833099,-14.66789004,0.9151008176384718,6624,10165
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,soft,SHORT_BEAR_OR_NEUTRAL_SOFT_RISK,regime,OK,research_500,500.0,20.0,0.005,0.005,17212,2123,354,1769,0,1712,0,0,57,0,460.7,-7.86,11.49,0.968,45.48,7,32,15,58.4001,0.004318,354,305.22145765,315.32257902,-10.10112138,0.9679657530089001,4760,10323
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,soft,SHORT_BEAR_OR_NEUTRAL_SOFT_RISK,regime,OK,research_500,500.0,20.0,0.005,0.005,16714,2051,313,1738,0,1738,0,0,0,0,440.18,-11.96,16.12,0.8079,46.01,10,32,9,46.4787,0.003802,313,153.87668192,190.45517144,-36.57848952,0.8079417363855236,5727,8877
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,soft,SHORT_BEAR_OR_NEUTRAL_SOFT_RISK,regime,OK,research_500,500.0,20.0,0.005,0.005,17941,2035,328,1707,0,1658,0,0,49,0,449.16,-10.17,18.8,0.9094,46.65,13,32,14,51.9965,0.004136,328,249.47762462,274.32096722,-24.8433426,0.9094369531801653,5215,10668
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,soft,SHORT_BEAR_OR_NEUTRAL_SOFT_RISK,regime,OK,research_500,500.0,20.0,0.005,0.005,18206,1922,313,1609,0,1609,0,0,0,0,433.78,-13.24,15.07,0.7071,44.41,12,31,10,39.1653,0.003174,313,112.56772255,159.20214621,-46.63442366,0.7070741521604699,7951,8232
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,soft,SHORT_BEAR_OR_NEUTRAL_SOFT_RISK,regime,OK,research_500,500.0,20.0,0.005,0.005,17044,2076,328,1748,0,1724,0,0,24,0,497.48,-0.5,7.05,1.1034,50.91,8,31,16,54.4359,0.004113,328,263.58232001,238.88443131,24.6978887,1.103388440033064,5025,9893
