fold,validation_start,validation_end,threshold,mode,guard,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,filter_blocked,cooldown_blocked
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,soft,SHORT_BEAR_TREND_ONLY,regime,OK,research_500,500.0,20.0,0.005,0.005,19183,1122,183,939,0,935,0,0,4,0,458.27,-8.35,13.41,0.8731,45.36,9,32,12,33.7036,0.005,183,171.11811458,195.99587073,-24.87775615,0.8730699985839201,12340,5713
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,soft,SHORT_BEAR_TREND_ONLY,regime,OK,research_500,500.0,20.0,0.005,0.005,19465,502,77,425,0,425,0,0,0,0,509.3,1.86,5.92,1.2395,50.65,7,31,15,14.7718,0.005,77,86.37176274,69.68529764,16.68646509,1.2394546003079625,15907,3014
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,soft,SHORT_BEAR_TREND_ONLY,regime,OK,research_500,500.0,20.0,0.005,0.005,20348,77,11,66,0,66,0,0,0,0,498.02,-0.4,4.11,0.9371,36.36,5,10,4,2.194,0.005,11,13.20065671,14.08657853,-0.88592182,0.9371088004423834,19697,518
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,soft,SHORT_BEAR_TREND_ONLY,regime,OK,research_500,500.0,20.0,0.005,0.005,19495,132,21,111,0,111,0,0,0,0,499.18,-0.16,4.82,1.0557,52.38,6,17,9,4.2615,0.005,21,24.75644321,23.45005849,1.30638473,1.05570923103441,18653,654
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,soft,SHORT_BEAR_TREND_ONLY,regime,OK,research_500,500.0,20.0,0.005,0.005,18926,581,76,505,0,458,0,0,0,47,447.27,-10.55,13.45,0.38,31.58,8,24,4,14.0303,0.005,76,28.02148261,73.73842167,-45.71693907,0.3800119662106048,15696,2578
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,soft,SHORT_BEAR_TREND_ONLY,regime,OK,research_500,500.0,20.0,0.005,0.005,17212,1292,214,1078,0,1041,0,0,37,0,477.27,-4.55,10.69,0.9917,41.59,13,32,12,41.5146,0.005,214,235.86081521,237.83468597,-1.97387076,0.9917006606730439,9732,6182
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,soft,SHORT_BEAR_TREND_ONLY,regime,OK,research_500,500.0,20.0,0.005,0.005,16714,865,109,756,0,756,0,0,0,0,476.0,-4.8,9.03,0.8207,45.87,9,31,13,21.6749,0.005,109,60.26088348,73.42375894,-13.16287546,0.8207273006851777,12200,3590
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,soft,SHORT_BEAR_TREND_ONLY,regime,OK,research_500,500.0,20.0,0.005,0.005,17941,1088,166,922,0,894,0,0,28,0,468.29,-6.34,13.07,0.9096,45.78,9,32,13,31.1157,0.005,166,162.43731807,178.58715259,-16.14983453,0.9095688895263929,11008,5822
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,soft,SHORT_BEAR_TREND_ONLY,regime,OK,research_500,500.0,20.0,0.005,0.005,18206,411,57,354,0,354,0,0,0,0,470.82,-5.84,7.73,0.4685,40.35,9,27,8,11.175,0.005,57,20.79768707,44.39056416,-23.59287709,0.4685159440302237,15954,1740
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,soft,SHORT_BEAR_TREND_ONLY,regime,OK,research_500,500.0,20.0,0.005,0.005,17044,1061,164,897,0,885,0,0,12,0,445.6,-10.88,11.63,0.7694,43.9,8,31,12,30.7831,0.005,164,130.17055163,169.18346779,-39.01291617,0.7694046783882921,10869,5064
