fold,validation_start,validation_end,threshold,mode,guard,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,filter_blocked,cooldown_blocked
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,soft,SHORT_CONTROL_ALL_REGIMES,regime,OK,research_500,500.0,20.0,0.005,0.005,19183,2133,355,1778,0,1680,0,0,14,84,465.91,-6.82,16.06,0.9998,45.92,10,32,15,68.0176,0.005,355,380.92278216,381.0004902,-0.07770804,0.9997960421629161,5585,11457
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,soft,SHORT_CONTROL_ALL_REGIMES,regime,OK,research_500,500.0,20.0,0.005,0.005,19465,1980,327,1653,0,1542,0,0,53,58,443.26,-11.35,18.23,0.923,44.95,19,32,13,64.7925,0.005,327,291.68461807,316.0284949,-24.34387683,0.9229693612366842,7900,9543
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,soft,SHORT_CONTROL_ALL_REGIMES,regime,OK,research_500,500.0,20.0,0.005,0.005,20348,2205,306,1899,0,1725,0,0,31,143,420.99,-15.8,19.51,0.8104,47.06,8,32,13,57.7204,0.005,306,214.36799774,264.51809621,-50.15009847,0.8104095742951957,5961,12126
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,soft,SHORT_CONTROL_ALL_REGIMES,regime,OK,research_500,500.0,20.0,0.005,0.005,19495,1929,295,1634,0,1445,0,0,11,178,390.73,-21.85,25.95,0.6935,39.32,11,32,11,51.4876,0.005,295,188.96965646,272.49375479,-83.52409833,0.6934825225773386,9019,8491
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,soft,SHORT_CONTROL_ALL_REGIMES,regime,OK,research_500,500.0,20.0,0.005,0.005,18926,2066,293,1773,0,1684,0,0,15,74,447.52,-10.5,16.77,0.8954,44.03,8,32,16,55.8295,0.005,293,210.18108653,234.74548595,-24.56439942,0.8953573086955459,6624,10165
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,soft,SHORT_CONTROL_ALL_REGIMES,regime,OK,research_500,500.0,20.0,0.005,0.005,17212,2123,353,1770,0,1712,0,0,58,0,463.66,-7.27,12.26,0.9929,45.89,7,32,14,67.6565,0.005,353,352.40510383,354.91968639,-2.51458256,0.992915065974017,4760,10323
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,soft,SHORT_CONTROL_ALL_REGIMES,regime,OK,research_500,500.0,20.0,0.005,0.005,16714,2051,294,1757,0,1622,0,0,23,112,409.32,-18.14,22.05,0.7466,45.92,12,32,9,56.1436,0.005,294,184.4843794,247.09560305,-62.61122366,0.7466113403773609,5727,8877
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,soft,SHORT_CONTROL_ALL_REGIMES,regime,OK,research_500,500.0,20.0,0.005,0.005,17941,2035,320,1715,0,1632,0,0,83,0,427.08,-14.58,24.45,0.8685,45.94,15,32,12,61.1509,0.005,320,279.59309914,321.94032305,-42.34722392,0.8684625041236435,5215,10668
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,soft,SHORT_CONTROL_ALL_REGIMES,regime,OK,research_500,500.0,20.0,0.005,0.005,18206,1922,307,1615,0,1560,0,0,36,19,389.63,-22.07,23.89,0.6631,43.32,12,31,9,57.99,0.005,307,160.15843399,241.52888697,-81.37045298,0.663102604403561,7951,8232
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,soft,SHORT_CONTROL_ALL_REGIMES,regime,OK,research_500,500.0,20.0,0.005,0.005,17044,2076,327,1749,0,1697,0,0,52,0,488.99,-2.2,9.5,1.0768,50.46,10,31,17,66.1094,0.005,327,308.9504081,286.91003234,22.04037576,1.0768198155305422,5025,9893
