group,value,candidates,allowed,blocked,allowed_pct,avg_risk_pct,min_risk_pct,max_risk_pct,full_risk_trades,reduced_risk_trades,zero_risk_trades
all,all,16045,899,15146,5.6,0.000316,0.0,0.0075,0,1005,15040
allowed,allowed,899,899,0,100.0,0.004759,0.00375,0.0075,0,899,0
allowed,blocked,15146,0,15146,0.0,5.2e-05,0.0,0.0075,0,106,15040
reason,allowed_full_balanced,899,899,0,100.0,0.004759,0.00375,0.0075,0,899,0
reason,not_in_current_rolling_top,2678,0,2678,0.0,1.4e-05,0.0,0.0075,0,5,2673
reason,structure_skip,136,0,136,0.0,0.0,0.0,0.0,0,0,136
reason,symbol_not_allowed_by_universe,12332,0,12332,0.0,6.1e-05,0.0,0.0075,0,101,12231
universe_state,allowed,3713,899,2814,24.21,0.001162,0.0,0.0075,0,904,2809
universe_state,blocked,12332,0,12332,0.0,6.1e-05,0.0,0.0075,0,101,12231
quality_decision,SKIP,4685,0,4685,0.0,0.0,0.0,0.0,0,0,4685
quality_decision,TAKE,392,257,135,65.56,0.006802,0.0,0.0075,0,363,29
quality_decision,WATCH,10968,642,10326,5.85,0.00022,0.0,0.00375,0,642,10326
structure_decision,SKIP,7520,0,7520,0.0,0.0,0.0,0.0,0,0,7520
structure_decision,TAKE,5564,764,4800,13.73,0.000821,0.0,0.0075,0,870,4694
structure_decision,WATCH,2961,135,2826,4.56,0.000171,0.0,0.00375,0,135,2826
quality_x_structure,SKIP+SKIP,3980,0,3980,0.0,0.0,0.0,0.0,0,0,3980
quality_x_structure,SKIP+TAKE,421,0,421,0.0,0.0,0.0,0.0,0,0,421
quality_x_structure,SKIP+WATCH,284,0,284,0.0,0.0,0.0,0.0,0,0,284
quality_x_structure,TAKE+SKIP,18,0,18,0.0,0.0,0.0,0.0,0,0,18
quality_x_structure,TAKE+TAKE,348,242,106,69.54,0.0075,0.0075,0.0075,0,348,0
quality_x_structure,TAKE+WATCH,26,15,11,57.69,0.002163,0.0,0.00375,0,15,11
quality_x_structure,WATCH+SKIP,3522,0,3522,0.0,0.0,0.0,0.0,0,0,3522
quality_x_structure,WATCH+TAKE,4795,522,4273,10.89,0.000408,0.0,0.00375,0,522,4273
quality_x_structure,WATCH+WATCH,2651,120,2531,4.53,0.00017,0.0,0.00375,0,120,2531
risk_bucket,base_risk,348,242,106,69.54,0.0075,0.0075,0.0075,0,348,0
risk_bucket,reduced_risk,657,657,0,100.0,0.00375,0.00375,0.00375,0,657,0
risk_bucket,zero_risk,15040,0,15040,0.0,0.0,0.0,0.0,0,0,15040
target_policy,allow_wider_trend_target,5449,746,4703,13.69,0.000822,0.0,0.0075,0,852,4597
target_policy,compressed_countertrend_target,9,0,9,0.0,0.0,0.0,0.0,0,0,9
target_policy,no_trade,7520,0,7520,0.0,0.0,0.0,0.0,0,0,7520
target_policy,normal_target,2678,114,2564,4.26,0.00016,0.0,0.00375,0,114,2564
target_policy,range_mid_or_opposite_boundary,389,39,350,10.03,0.000424,0.0,0.0075,0,39,350
setup_type,runner,16045,899,15146,5.6,0.000316,0.0,0.0075,0,1005,15040
trend_context,countertrend,3886,0,3886,0.0,0.0,0.0,0.0,0,0,3886
trend_context,range,3764,39,3725,1.04,4.4e-05,0.0,0.0075,0,39,3725
trend_context,trend,8395,860,7535,10.24,0.000585,0.0,0.0075,0,966,7429
volatility_regime,high,3196,197,2999,6.16,0.00032,0.0,0.0075,0,214,2982
volatility_regime,low,3246,420,2826,12.94,0.000684,0.0,0.0075,0,428,2818
volatility_regime,normal,9603,282,9321,2.94,0.000191,0.0,0.0075,0,363,9240
