symbol,trades,winrate,avg_r,pf,total_r,score,coin_class,allowed_setups,risk_multiplier,reason
SYM036USDT,472,0.5487,0.3226,1.7074,152.2699,39.5818,trend_friendly,"continuation,pullback,breakout,ignition",1.0,strong PF and positive average R
SYM027USDT,496,0.5685,0.3099,1.7088,153.7,36.0837,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM008USDT,470,0.5426,0.308,1.6644,144.7423,33.5085,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM026USDT,474,0.5675,0.2385,1.5439,113.0412,33.0345,trend_friendly,"continuation,pullback,breakout,ignition",1.0,strong PF and positive average R
SYM018USDT,491,0.554,0.2041,1.4508,100.2133,28.3547,trend_friendly,"continuation,pullback,breakout,ignition",1.0,strong PF and positive average R
SYM035USDT,471,0.5117,0.164,1.3314,77.2593,21.6104,trend_friendly,"continuation,pullback,breakout,ignition",1.0,strong PF and positive average R
SYM007USDT,442,0.5204,0.1902,1.3914,84.0898,19.4164,volatile_clean,"continuation,range_rotation",0.75,tradable but needs controlled risk
SYM016USDT,444,0.5,0.1928,1.3792,85.6018,18.5324,volatile_clean,"continuation,range_rotation",0.75,tradable but needs controlled risk
SYM025USDT,462,0.5346,0.0965,1.2043,44.56,15.3619,volatile_clean,"continuation,range_rotation",0.75,tradable but needs controlled risk
SYM009USDT,496,0.5524,0.1329,1.2929,65.8984,15.0655,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM024USDT,441,0.4785,0.1444,1.2733,63.6762,13.0186,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM034USDT,457,0.5055,0.0847,1.1686,38.7007,10.555,volatile_clean,"continuation,range_rotation",0.75,tradable but needs controlled risk
SYM015USDT,417,0.4844,0.0941,1.1798,39.2319,8.1915,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM032USDT,389,0.4602,0.0926,1.1692,36.0342,6.9403,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM004USDT,391,0.4527,0.0642,1.1158,25.0895,4.4391,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM017USDT,476,0.5084,0.0352,1.0704,16.7368,3.6278,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM006USDT,423,0.4799,0.0312,1.0592,13.1887,1.8236,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM023USDT,407,0.457,0.026,1.0473,10.5808,0.9739,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM031USDT,366,0.4508,0.0116,1.0208,4.2372,-0.4654,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM033USDT,425,0.4918,-0.0046,0.991,-1.973,-0.9749,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM020USDT,346,0.4306,0.0168,1.0291,5.805,-1.1729,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM003USDT,375,0.448,0.0024,1.0043,0.9048,-1.8711,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM014USDT,377,0.4562,-0.0277,0.9496,-10.4533,-4.3011,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM028USDT,348,0.4138,-0.0347,0.9418,-12.0733,-5.7724,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM012USDT,345,0.4145,-0.0228,0.9616,-7.8664,-6.0774,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM019USDT,336,0.4315,-0.0387,0.9329,-12.9939,-6.5324,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM022USDT,389,0.4447,-0.0602,0.8929,-23.4252,-7.3659,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM040USDT,384,0.401,-0.0548,0.9099,-21.0417,-7.8188,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM039USDT,346,0.4162,-0.0687,0.8838,-23.7537,-8.7408,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM011USDT,347,0.415,-0.0754,0.8727,-26.1632,-9.3666,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM002USDT,372,0.4328,-0.0794,0.8617,-29.5416,-9.7188,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM005USDT,411,0.4501,-0.0976,0.8246,-40.1122,-11.0224,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM038USDT,322,0.4255,-0.1035,0.8224,-33.3278,-12.1945,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM013USDT,346,0.4393,-0.1201,0.7886,-41.5499,-13.8411,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM030USDT,360,0.4028,-0.1497,0.7524,-53.8995,-16.3575,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM010USDT,345,0.4029,-0.1555,0.743,-53.6451,-16.9828,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM001USDT,354,0.4181,-0.1632,0.7232,-57.7755,-17.4638,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM037USDT,317,0.4227,-0.163,0.7213,-51.6656,-17.6349,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
SYM021USDT,366,0.4153,-0.1699,0.7131,-62.1692,-17.9756,chaotic_avoid,none,0.0,poor PF/avgR or unstable loss streak
