setup,lev,trades,skipped,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_positive,symbols_traded,avg_selected,windows
ROLL_L30_R7_T5,25,984,1636,3526.39,605.28,11.91,1.931,63.82,4,32,36,5.0,70
ROLL_L30_R7_T5,20,984,1636,3526.39,605.28,13.62,1.931,63.82,4,32,36,5.0,70
ROLL_L30_R7_T5,15,984,1636,3526.39,605.28,16.33,1.931,63.82,4,32,36,5.0,70
ROLL_L30_R7_T5,10,984,1636,3526.39,605.28,21.27,1.931,63.82,4,32,36,5.0,70
ROLL_L30_R7_T8,25,1044,3088,3516.81,603.36,12.43,1.858,62.55,6,27,35,8.0,70
ROLL_L30_R7_T8,20,1044,3088,3516.81,603.36,14.23,1.858,62.55,6,27,35,8.0,70
ROLL_L30_R7_T8,15,1044,3088,3516.81,603.36,17.07,1.858,62.55,6,27,35,8.0,70
ROLL_L30_R7_T8,10,1044,3088,3516.81,603.36,22.23,1.858,62.55,6,27,35,8.0,70
ROLL_L30_R14_T5,25,981,1614,3303.9,560.78,13.47,1.853,62.9,4,25,32,5.0,35
ROLL_L30_R14_T5,20,981,1614,3303.9,560.78,14.79,1.853,62.9,4,25,32,5.0,35
ROLL_L30_R14_T5,15,981,1614,3303.9,560.78,16.91,1.853,62.9,4,25,32,5.0,35
ROLL_L30_R14_T5,10,981,1614,3303.9,560.78,21.27,1.853,62.9,4,25,32,5.0,35
ROLL_L30_R14_T8,25,1047,3052,2931.7,486.34,12.43,1.673,60.17,5,28,35,8.0,35
ROLL_L30_R14_T8,20,1047,3052,2931.7,486.34,14.23,1.673,60.17,5,28,35,8.0,35
ROLL_L30_R14_T8,15,1047,3052,2931.7,486.34,17.07,1.673,60.17,5,28,35,8.0,35
ROLL_L30_R14_T8,10,1047,3052,2931.7,486.34,22.23,1.673,60.17,5,28,35,8.0,35
ROLL_L30_R7_T12,25,1177,4892,2789.34,457.87,10.94,1.58,59.9,6,34,38,12.0,70
ROLL_L30_R7_T12,20,1177,4892,2789.34,457.87,12.59,1.58,59.9,6,34,38,12.0,70
ROLL_L30_R7_T12,15,1177,4892,2789.34,457.87,15.22,1.58,59.9,6,34,38,12.0,70
ROLL_L30_R7_T12,10,1177,4892,2789.34,457.87,20.01,1.58,59.9,6,34,38,12.0,70
ROLL_L30_R14_T12,25,1182,4819,2726.91,445.38,11.07,1.559,59.56,4,31,39,12.0,35
ROLL_L30_R14_T12,20,1182,4819,2726.91,445.38,12.48,1.559,59.56,4,31,39,12.0,35
ROLL_L30_R14_T12,15,1182,4819,2726.91,445.38,14.74,1.559,59.56,4,31,39,12.0,35
ROLL_L30_R14_T12,10,1182,4819,2726.91,445.38,18.91,1.559,59.56,4,31,39,12.0,35
ROLL_L60_R7_T12,25,1121,4198,2168.03,333.61,11.58,1.451,58.07,6,28,38,12.0,65
ROLL_L60_R7_T12,20,1121,4198,2168.03,333.61,13.19,1.451,58.07,6,28,38,12.0,65
ROLL_L60_R7_T12,15,1121,4198,2168.03,333.61,15.74,1.451,58.07,6,28,38,12.0,65
ROLL_L60_R7_T12,10,1121,4198,2168.03,333.61,20.43,1.451,58.07,6,28,38,12.0,65
ROLL_L30_R30_T5,25,985,1538,2154.37,330.87,17.01,1.492,58.07,5,23,28,5.0,17
ROLL_L30_R30_T5,20,985,1538,2154.37,330.87,18.29,1.492,58.07,5,23,28,5.0,17
ROLL_L30_R30_T5,15,985,1538,2154.37,330.87,20.34,1.492,58.07,5,23,28,5.0,17
ROLL_L30_R30_T5,10,985,1538,2154.37,330.87,24.14,1.492,58.07,5,23,28,5.0,17
ROLL_L60_R14_T12,25,1112,4102,2110.06,322.01,11.61,1.441,57.91,5,27,37,12.0,33
ROLL_L60_R14_T12,20,1112,4102,2110.06,322.01,13.19,1.441,57.91,5,27,37,12.0,33
ROLL_L60_R14_T12,15,1112,4102,2110.06,322.01,15.74,1.441,57.91,5,27,37,12.0,33
ROLL_L60_R14_T12,10,1112,4102,2110.06,322.01,20.43,1.441,57.91,5,27,37,12.0,33
ROLL_L30_R30_T12,25,1140,4602,1988.31,297.66,19.65,1.399,56.75,6,24,35,12.0,17
ROLL_L30_R30_T12,20,1140,4602,1988.31,297.66,20.35,1.399,56.75,6,24,35,12.0,17
ROLL_L30_R30_T12,15,1140,4602,1988.31,297.66,21.49,1.399,56.75,6,24,35,12.0,17
ROLL_L30_R30_T12,10,1140,4602,1988.31,297.66,23.67,1.399,56.75,6,24,35,12.0,17
ROLL_L60_R7_T5,25,921,1426,1962.98,292.6,20.25,1.471,57.76,6,23,34,5.0,65
ROLL_L60_R7_T5,20,921,1426,1962.98,292.6,21.13,1.471,57.76,6,23,34,5.0,65
ROLL_L60_R7_T5,15,921,1426,1962.98,292.6,22.55,1.471,57.76,6,23,34,5.0,65
ROLL_L60_R7_T5,10,921,1426,1962.98,292.6,25.24,1.471,57.76,6,23,34,5.0,65
ROLL_L60_R7_T8,25,957,2718,1851.56,270.31,14.29,1.42,56.64,6,27,37,8.0,65
ROLL_L60_R7_T8,20,957,2718,1851.56,270.31,16.03,1.42,56.64,6,27,37,8.0,65
ROLL_L60_R7_T8,15,957,2718,1851.56,270.31,18.78,1.42,56.64,6,27,37,8.0,65
ROLL_L60_R7_T8,10,957,2718,1851.56,270.31,23.77,1.42,56.64,6,27,37,8.0,65
ROLL_L30_R30_T8,25,1004,2951,1788.69,257.74,15.51,1.388,55.78,8,27,35,8.0,17
ROLL_L30_R30_T8,20,1004,2951,1788.69,257.74,16.53,1.388,55.78,8,27,35,8.0,17
ROLL_L30_R30_T8,15,1004,2951,1788.69,257.74,18.18,1.388,55.78,8,27,35,8.0,17
ROLL_L30_R30_T8,10,1004,2951,1788.69,257.74,22.23,1.388,55.78,8,27,35,8.0,17
ROLL_L30_R14_T20,25,1339,7943,1760.57,252.11,15.45,1.327,57.73,5,27,35,20.0,35
ROLL_L30_R14_T20,20,1339,7943,1760.57,252.11,17.04,1.327,57.73,5,27,35,20.0,35
ROLL_L30_R14_T20,15,1339,7943,1760.57,252.11,19.56,1.327,57.73,5,27,35,20.0,35
ROLL_L30_R14_T20,10,1339,7943,1760.57,252.11,24.16,1.327,57.73,5,27,35,20.0,35
ROLL_L60_R14_T8,25,951,2668,1495.92,199.18,15.16,1.331,55.31,6,24,37,8.0,33
ROLL_L60_R14_T8,20,951,2668,1495.92,199.18,16.76,1.331,55.31,6,24,37,8.0,33
ROLL_L60_R14_T8,15,951,2668,1495.92,199.18,19.29,1.331,55.31,6,24,37,8.0,33
ROLL_L60_R14_T8,10,951,2668,1495.92,199.18,23.92,1.331,55.31,6,24,37,8.0,33
ROLL_L60_R14_T5,25,923,1373,1446.92,189.38,22.91,1.329,55.47,6,19,32,5.0,33
ROLL_L60_R14_T5,20,923,1373,1446.92,189.38,23.82,1.329,55.47,6,19,32,5.0,33
ROLL_L60_R14_T5,15,923,1373,1446.92,189.38,25.29,1.329,55.47,6,19,32,5.0,33
ROLL_L60_R14_T5,10,923,1373,1446.92,189.38,28.07,1.329,55.47,6,19,32,5.0,33
ROLL_L30_R30_T20,25,1321,7712,1392.97,178.59,20.86,1.258,56.09,5,25,37,20.0,17
ROLL_L30_R30_T20,20,1321,7712,1392.97,178.59,21.77,1.258,56.09,5,25,37,20.0,17
ROLL_L30_R30_T20,15,1321,7712,1392.97,178.59,23.24,1.258,56.09,5,25,37,20.0,17
ROLL_L30_R30_T20,10,1321,7712,1392.97,178.59,26.03,1.258,56.09,5,25,37,20.0,17
ROLL_L30_R7_T20,25,1331,8106,1302.94,160.59,19.54,1.244,56.2,6,26,38,20.0,70
ROLL_L30_R7_T20,20,1331,8106,1302.94,160.59,20.39,1.244,56.2,6,26,38,20.0,70
ROLL_L30_R7_T20,15,1331,8106,1302.94,160.59,21.78,1.244,56.2,6,26,38,20.0,70
ROLL_L30_R7_T20,10,1331,8106,1302.94,160.59,24.41,1.244,56.2,6,26,38,20.0,70
ROLL_L60_R14_T20,25,1231,6762,1018.93,103.79,36.66,1.196,54.75,5,22,39,20.0,33
ROLL_L60_R14_T20,20,1231,6762,1018.93,103.79,36.99,1.196,54.75,5,22,39,20.0,33
ROLL_L60_R14_T20,15,1231,6762,1018.93,103.79,37.54,1.196,54.75,5,22,39,20.0,33
ROLL_L60_R14_T20,10,1231,6762,1018.93,103.79,39.41,1.196,54.75,5,22,39,20.0,33
ROLL_L60_R7_T20,25,1236,6931,876.42,75.28,44.89,1.171,54.45,5,21,39,20.0,65
ROLL_L60_R7_T20,20,1236,6931,876.42,75.28,45.19,1.171,54.45,5,21,39,20.0,65
ROLL_L60_R7_T20,15,1236,6931,876.42,75.28,45.67,1.171,54.45,5,21,39,20.0,65
ROLL_L60_R7_T20,10,1236,6931,876.42,75.28,47.32,1.171,54.45,5,21,39,20.0,65
ROLL_L90_R7_T5,25,847,1129,785.58,57.12,48.09,1.176,53.01,6,16,30,5.0,61
