scenario,candidates,winrate,avg_r,total_r,raw_pf,symbols,exec_trades,capital_skipped,final_cash,ret_pct,max_dd_pct,capital_pf,capital_winrate,max_loss_streak,symbols_traded,symbols_positive
ALL,16045,47.31,0.0407,652.6931,1.0762,40,1401,14644,293.16,-41.37,43.3,0.9631,51.68,9,29,13
ROLLING_TOP5,2620,64.81,0.4929,1291.3881,2.3804,38,984,1636,1256.6,151.32,3.89,1.9312,63.82,4,36,32
QUALITY_TAKE,392,69.13,0.6357,249.1834,3.0341,18,322,70,886.55,77.31,4.58,2.6199,68.94,5,18,15
STRUCTURE_TAKE,5564,57.23,0.2869,1596.18,1.6616,40,1271,4293,763.82,52.76,12.04,1.292,55.86,6,40,25
QUALITY_AND_STRUCTURE_TAKE,348,69.54,0.6445,224.2689,3.0862,18,288,60,847.4,69.48,4.65,2.6316,69.1,5,18,15
ROLLING_AND_QUALITY_TAKE,369,69.92,0.6566,242.2852,3.1565,16,304,65,887.08,77.42,4.47,2.7708,70.07,5,15,14
ROLLING_AND_STRUCTURE_TAKE,1636,66.32,0.5333,872.4843,2.5605,33,824,812,1225.4,145.08,4.08,2.1052,65.66,4,31,27
FULL_STRICT,326,70.25,0.6637,216.3707,3.2,16,271,55,839.6,67.92,4.56,2.7243,69.74,5,16,14
FULL_BALANCED,2256,66.05,0.5251,1184.5718,2.5241,38,970,1286,1333.21,166.64,3.84,2.0672,65.26,4,36,32
FULL_QUALITY_GATE,351,70.66,0.6756,237.1434,3.2726,16,288,63,875.25,75.05,4.54,2.8321,70.49,5,15,14
FULL_STRUCTURE_GATE,1636,66.32,0.5333,872.4843,2.5605,33,824,812,1225.4,145.08,4.08,2.1052,65.66,4,31,27
FULL_NOT_SKIP,2256,66.05,0.5251,1184.5718,2.5241,38,970,1286,1333.21,166.64,3.84,2.0672,65.26,4,36,32
