group,value,trades,wins,losses,winrate,avg_r,pf,total_r,avg_structure_score
side,long,8017,3796,4221,0.4735,0.0427,1.08,342.4834,48.46
side,short,8028,3795,4233,0.4727,0.0386,1.0723,310.2097,48.14
trend_context,countertrend,3886,1100,2786,0.2831,-0.4044,0.4439,-1571.381,12.37
trend_context,range,3764,1628,2136,0.4325,-0.0687,0.8804,-258.6477,37.6
trend_context,trend,8395,4863,3532,0.5793,0.2957,1.6935,2482.7218,69.73
volatility_regime,high,3196,1462,1734,0.4574,-0.0006,0.999,-1.8421,46.68
volatility_regime,low,3246,1562,1684,0.4812,0.0685,1.1302,222.231,52.12
volatility_regime,normal,9603,4567,5036,0.4756,0.045,1.0847,432.3042,47.55
structure_type,continuation,8395,4863,3532,0.5793,0.2957,1.6935,2482.7218,69.73
structure_type,countertrend_reaction,3886,1100,2786,0.2831,-0.4044,0.4439,-1571.381,12.37
structure_type,range_rotation,3764,1628,2136,0.4325,-0.0687,0.8804,-258.6477,37.6
risk_bucket,normal,9603,4567,5036,0.4756,0.045,1.0847,432.3042,47.55
risk_bucket,tight,3246,1562,1684,0.4812,0.0685,1.1302,222.231,52.12
risk_bucket,wide,3196,1462,1734,0.4574,-0.0006,0.999,-1.8421,46.68
session,asia,6576,3159,3417,0.4804,0.0608,1.1154,399.7481,47.9
session,europe,6452,3057,3395,0.4738,0.0427,1.08,275.3793,49.14
session,us,3017,1375,1642,0.4558,-0.0074,0.9865,-22.4342,47.35
learning_scope,cold_start,20,10,10,0.5,0.1088,1.2144,2.1764,45.0
learning_scope,exact,15901,7528,8373,0.4734,0.0416,1.0779,661.0937,48.36
learning_scope,global,124,53,71,0.4274,-0.0853,0.8529,-10.577,41.24
structure_decision,SKIP,7520,2773,4747,0.3688,-0.2122,0.6683,-1595.8092,23.68
structure_decision,TAKE,5564,3184,2380,0.5723,0.2869,1.6616,1596.18,75.99
structure_decision,WATCH,2961,1634,1327,0.5518,0.2203,1.4848,652.3223,58.78
